row_label_raw,row_label_full,Bên liên quan,Giao dịch,Số cuối năm,Ngàn VND Số đầu năm,numeric__Giao dịch,numeric__Số cuối năm,numeric__Ngàn VND Số đầu năm
Phải thu ngắn hạn khác (TM số 8),Phải thu ngắn hạn khác (TM số 8),Phải thu ngắn hạn khác (TM số 8),Phải thu ngắn hạn khác (TM số 8),Phải thu ngắn hạn khác (TM số 8),Phải thu ngắn hạn khác (TM số 8),,,
Công ty Cổ phần Lê Me,Phải thu ngắn hạn khác (TM số 8) > Công ty Cổ phần Lê Me,Công ty Cổ phần Lê Me,Chi trả hộ,731.094.093,-,,731094093.0,
Công ty TNHH MTV Phát triển Nông nghiệp Đại Thắng,Phải thu ngắn hạn khác (TM số 8) > Công ty TNHH MTV Phát triển Nông nghiệp Đại Thắng,Công ty TNHH MTV Phát triển Nông nghiệp Đại Thắng,Chi trả hộLãi cho vayKhác,592.224.11032.132.634393.410,582.325.53728.223.83656.434,,5.922241103213263e+22,5.823255372822383e+21
Công ty TNHH Dịch vụ Nông nghiệp Tây Nguyên,Phải thu ngắn hạn khác (TM số 8) > Công ty TNHH Dịch vụ Nông nghiệp Tây Nguyên,Công ty TNHH Dịch vụ Nông nghiệp Tây Nguyên,Chi trả hộLãi cho vay,22.000-,196.847.181100.428.011,,,1.96847181100428e+17
Công ty Cổ phần Chế biến thức ăn Gia súc Trà Bá,Phải thu ngắn hạn khác (TM số 8) > Công ty Cổ phần Chế biến thức ăn Gia súc Trà Bá,Công ty Cổ phần Chế biến thức ăn Gia súc Trà Bá,Chi trả hộ,141.346.241,141.346.241,,141346241.0,141346241.0
Công ty Cổ phần Chăn nuôi Gia Lai,Phải thu ngắn hạn khác (TM số 8) > Công ty Cổ phần Chăn nuôi Gia Lai,Công ty Cổ phần Chăn nuôi Gia Lai,Chi trả hộLãi cho vayKhác,117.895.6921.227.942460.292,386.500.732147.444.851-,,1.1789569212279424e+21,
Công ty TNHH Sản xuất Bột Mì,Phải thu ngắn hạn khác (TM số 8) > Công ty TNHH Sản xuất Bột Mì,Công ty TNHH Sản xuất Bột Mì,Chi trả hộKhác,99.770.7251.876.093,96.330.549-,,997707251876093.0,
Công ty TNHH Hưng Thắng Lợi Gia Lai,Phải thu ngắn hạn khác (TM số 8) > Công ty TNHH Hưng Thắng Lợi Gia Lai,Công ty TNHH Hưng Thắng Lợi Gia Lai,Chi trả hộLãi cho vay,141.345.386106.007,207.436.057123.917.035,,141345386106007.0,2.0743605712391702e+17
Công ty Cổ phần Gia súc Lo' Pang,Phải thu ngắn hạn khác (TM số 8) > Công ty Cổ phần Gia súc Lo' Pang,Công ty Cổ phần Gia súc Lo' Pang,Lãi cho vayKhác,8.268.88637.462,143.653.6681.345.345,,826888637462.0,1436536681345345.0
Công ty TNHH MTV Phát triển Nông nghiệp Khăn Xay,Phải thu ngắn hạn khác (TM số 8) > Công ty TNHH MTV Phát triển Nông nghiệp Khăn Xay,Công ty TNHH MTV Phát triển Nông nghiệp Khăn Xay,Chi trả hộ,44.031.381,42.698.900,,44031381.0,42698900.0
Công ty TNHH Phát triển Nông nghiệp Hoàng Anh Attapeu,Phải thu ngắn hạn khác (TM số 8) > Công ty TNHH Phát triển Nông nghiệp Hoàng Anh Attapeu,Công ty TNHH Phát triển Nông nghiệp Hoàng Anh Attapeu,Lãi cho vay,-,10.653.887,,,10653887.0
Các bên khác,Phải thu ngắn hạn khác (TM số 8) > Các bên khác,Các bên khác,Khác,1.263.046,5.850.117,,1263046.0,5850117.0
,,,,1.913.495.400,2.215.058.381,,1913495400.0,2215058381.0
