row_label_raw,row_label_full,col_0,Năm nay,Ngàn VNDNăm trước,numeric__Năm nay,numeric__Ngàn VNDNăm trước
Tổng (lỗ) lợi nhuận kế toán trước thuế,Tổng (lỗ) lợi nhuận kế toán trước thuế,Tổng (lỗ) lợi nhuận kế toán trước thuế,(268.130.157),172.179.799,-268130157.0,172179799.0
Các khoản điều chỉnh:,Các khoản điều chỉnh:,Các khoản điều chỉnh:,Các khoản điều chỉnh:,Các khoản điều chỉnh:,,
Chi phí lãi vay vượt mức (*),Các khoản điều chỉnh: > Chi phí lãi vay vượt mức (*),Chi phí lãi vay vượt mức (*),226.279.373,34.617.599,226279373.0,34617599.0
Lãi suất ấn định,Các khoản điều chỉnh: > Lãi suất ấn định,Lãi suất ấn định,106.187.541,99.668.968,106187541.0,99668968.0
Thay đổi các khoản dự phòng,Các khoản điều chỉnh: > Thay đổi các khoản dự phòng,Thay đổi các khoản dự phòng,(1.518.944.838),81.131.638,-1518944838.0,81131638.0
Chênh lệch tỷ giá chưa thực hiện,Các khoản điều chỉnh: > Chênh lệch tỷ giá chưa thực hiện,Chênh lệch tỷ giá chưa thực hiện,12.025.845,(12.966.425),12025845.0,-12966425.0
Thu nhập cổ tức,Các khoản điều chỉnh: > Thu nhập cổ tức,Thu nhập cổ tức,(30.228.605),-,-30228605.0,
Các chi phí không được khấu trừ khác,Các khoản điều chỉnh: > Các chi phí không được khấu trừ khác,Các chi phí không được khấu trừ khác,13.089.730,8.900.356,13089730.0,8900356.0
(Lỗ tính thuế) thu nhập chịu thuế uốc tính trong năm hiện hành,Các khoản điều chỉnh: > (Lỗ tính thuế) thu nhập chịu thuế uốc tính trong năm hiện hành,(Lỗ tính thuế) thu nhập chịu thuế uốc tính trong năm hiện hành,(1.459.721.111),383.531.935,-1459721111.0,383531935.0
Chi phí thuế TNDN hiện hành,Các khoản điều chỉnh: > Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,37.670,28.546.737,37670.0,28546737.0
Thuế TNDN phải trả đầu năm,Các khoản điều chỉnh: > Thuế TNDN phải trả đầu năm,Thuế TNDN phải trả đầu năm,28.062.353,65.230,28062353.0,65230.0
Thuế TNDN đã trả trong năm,Các khoản điều chỉnh: > Thuế TNDN đã trả trong năm,Thuế TNDN đã trả trong năm,(27.996.398),(549.614),-27996398.0,-549614.0
Thuế TNDN phải trả cuối năm (TM số 17),Các khoản điều chỉnh: > Thuế TNDN phải trả cuối năm (TM số 17),Thuế TNDN phải trả cuối năm (TM số 17),103.625,28.062.353,103625.0,28062353.0
