row_label_raw,row_label_full,col_0,"Ngàn VNDNhà cửa,vật kiến trúc","numeric__Ngàn VNDNhà cửa,vật kiến trúc"
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,
Số đầu năm và số cuối năm,Nguyên giá > Số đầu năm và số cuối năm,Số đầu năm và số cuối năm,47.003.809,47003809.0
Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,
Số đầu năm,Giá trị khấu hao lũy kế > Số đầu năm,Số đầu năm,(10.816.088),-10816088.0
Khấu hao trong năm,Giá trị khấu hao lũy kế > Khấu hao trong năm,Khấu hao trong năm,(1.891.458),-1891458.0
Số cuối năm,Giá trị khấu hao lũy kế > Số cuối năm,Số cuối năm,(12.707.546),-12707546.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,
Số đầu năm,Giá trị còn lại > Số đầu năm,Số đầu năm,36.187.721,36187721.0
Số cuối năm,Giá trị còn lại > Số cuối năm,Số cuối năm,34.296.263,34296263.0
Trong đó:Thế chấp để đảm bảo các khoản vay của Công ty (TM số 20),Giá trị còn lại > Trong đó:Thế chấp để đảm bảo các khoản vay của Công ty (TM số 20),Trong đó:Thế chấp để đảm bảo các khoản vay của Công ty (TM số 20),34.296.263,34296263.0
