row_label_raw,row_label_full,Bên liên quan,Mối quan hệ,Nội dung nghiệp vụ,Đơn vị tính: VND > Năm nay,Đơn vị tính: VND > Năm trước,numeric__Mối quan hệ,numeric__Nội dung nghiệp vụ,numeric__Đơn vị tính: VND > Năm nay,numeric__Đơn vị tính: VND > Năm trước
Công ty Cổ phầnBê tông Xây dựng và Thương mại Phúc Thành,Công ty Cổ phầnBê tông Xây dựng và Thương mại Phúc Thành,Công ty Cổ phầnBê tông Xây dựng và Thương mại Phúc Thành,Công ty liên quancủa thành viênHĐQT,Phải trả tiền xây dựngĐã trả tiền xây dựng,-,1.930.909.897977.220.000,,,,1.93090989797722e+18
Công ty Cổ phầnBắt Động Sản Hải Phát Toàn Cầu,Công ty Cổ phầnBắt Động Sản Hải Phát Toàn Cầu,Công ty Cổ phầnBắt Động Sản Hải Phát Toàn Cầu,Công ty có chungthành viên quảnlý chủ chốt củacông ty con,Phí dịch vụ môi giớiphải trảPhí dịch vụ môi giớidã trả,-,1.279.915.689,,,,1279915689.0
Công ty Cổ phầnBắt Động Sản Hải Phát Toàn Cầu,Công ty Cổ phầnBắt Động Sản Hải Phát Toàn Cầu,Công ty Cổ phầnBắt Động Sản Hải Phát Toàn Cầu,Công ty có chungthành viên quảnlý chủ chốt củacông ty con,Phí dịch vụ môi giớiphải trảPhí dịch vụ môi giớidã trả,242.894.212,2.071.576.632,,,242894212.0,2071576632.0
Công ty Đại Đông Á,Công ty Đại Đông Á,Công ty Đại Đông Á,Công ty liên quancủa thành viênHĐQT,Phải thu phí dịch vụPhí dịch vụ đã thuNhận hoàn trả kí quỹBù trừ ký quỹ theobiền bản thỏa thuận,8.680.484.4214.750.604.0221.855.000.000-,19.863.981.77713.872.976.368-3.228.653.334,,,,
Công ty Cổ phầnHải Phát Kinh Bắc,Công ty Đại Đông Á > Công ty Cổ phầnHải Phát Kinh Bắc,Công ty Cổ phầnHải Phát Kinh Bắc,Công ty có chungthành viên chủchốt,Chuyển tiền hợp tácđầu tư,300.000.000.000,-,,,300000000000.0,
Công ty HP Land,Công ty Đại Đông Á > Công ty HP Land,Công ty HP Land,Công ty có chungthành viên quảnlý chủ chốt vớicông ty con,"Nhận lại tiền đặt cọcChuyển tiền đặt cọcPhải trả tiền mua sầm tài sản, dịch vụPhải thu phí môi giớiTiền mặt bằng đã thuPhí môi giới đã thuPhí dịch vụ đã thuPhải trả tiền thuê xeTiền thuê xe đã trảBù trừ công nợ",-,215.000.000.000215.000.000.000159.876.968,,,,2.15000000000215e+32
Công ty HP Land,Công ty Đại Đông Á > Công ty HP Land,Công ty HP Land,Công ty có chungthành viên quảnlý chủ chốt vớicông ty con,"Nhận lại tiền đặt cọcChuyển tiền đặt cọcPhải trả tiền mua sầm tài sản, dịch vụPhải thu phí môi giớiTiền mặt bằng đã thuPhí môi giới đã thuPhí dịch vụ đã thuPhải trả tiền thuê xeTiền thuê xe đã trảBù trừ công nợ",19.197.684.955,12.790.857.367,,,19197684955.0,12790857367.0
Công ty HP Land,Công ty Đại Đông Á > Công ty HP Land,Công ty HP Land,Công ty có chungthành viên quảnlý chủ chốt vớicông ty con,"Nhận lại tiền đặt cọcChuyển tiền đặt cọcPhải trả tiền mua sầm tài sản, dịch vụPhải thu phí môi giớiTiền mặt bằng đã thuPhí môi giới đã thuPhí dịch vụ đã thuPhải trả tiền thuê xeTiền thuê xe đã trảBù trừ công nợ",-,14.629.606.315,,,,14629606315.0
Công ty HP Land,Công ty Đại Đông Á > Công ty HP Land,Công ty HP Land,Công ty có chungthành viên quảnlý chủ chốt vớicông ty con,"Nhận lại tiền đặt cọcChuyển tiền đặt cọcPhải trả tiền mua sầm tài sản, dịch vụPhải thu phí môi giớiTiền mặt bằng đã thuPhí môi giới đã thuPhí dịch vụ đã thuPhải trả tiền thuê xeTiền thuê xe đã trảBù trừ công nợ",19.860.485.092,42.366.827.305,,,19860485092.0,42366827305.0
Công ty HP Land,Công ty Đại Đông Á > Công ty HP Land,Công ty HP Land,Công ty có chungthành viên quảnlý chủ chốt vớicông ty con,"Nhận lại tiền đặt cọcChuyển tiền đặt cọcPhải trả tiền mua sầm tài sản, dịch vụPhải thu phí môi giớiTiền mặt bằng đã thuPhí môi giới đã thuPhí dịch vụ đã thuPhải trả tiền thuê xeTiền thuê xe đã trảBù trừ công nợ",-,569.104.704,,,,569104704.0
