row_label_raw,row_label_full,col_0,Thuyết minh,Số đầu năm > Giá trị,Số đầu năm > Số có khả năng trả nợ,Số phát sinh trong năm > Tăng,Số phát sinh trong năm > Giảm,Giảm do thanh lý công ty con,Đơn vị tính: VND > Số cuối năm > Giá trị,Đơn vị tính: VND > Số cuối năm > Số có khả năng trả nợ,numeric__Thuyết minh,numeric__Số đầu năm > Giá trị,numeric__Số đầu năm > Số có khả năng trả nợ,numeric__Số phát sinh trong năm > Tăng,numeric__Số phát sinh trong năm > Giảm,numeric__Giảm do thanh lý công ty con,numeric__Đơn vị tính: VND > Số cuối năm > Giá trị,numeric__Đơn vị tính: VND > Số cuối năm > Số có khả năng trả nợ
Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,,,,,,,,
Vay ngân hàng,Vay ngắn hạn > Vay ngân hàng,Vay ngân hàng,24.1,283.343.115.026,283.343.115.026,530.680.640.241,360.239.393.596,128.468.862.531,325.315.499.140,325.315.499.140,241.0,283343115026.0,283343115026.0,530680640241.0,360239393596.0,128468862531.0,325315499140.0,325315499140.0
Vay dài hạn ngân hàng đến hạn trả,Vay ngắn hạn > Vay dài hạn ngân hàng đến hạn trả,Vay dài hạn ngân hàng đến hạn trả,24.1,54.322.163.382,54.322.163.382,123.178.230.878,105.669.304.843,62.546.969.193,9.284.120.224,9.284.120.224,241.0,54322163382.0,54322163382.0,123178230878.0,105669304843.0,62546969193.0,9284120224.0,9284120224.0
Vay cá nhân,Vay ngắn hạn > Vay cá nhân,Vay cá nhân,24.2,-,-,1.042.564.000.000,628.450.000.000,191.664.000.000,222.450.000.000,222.450.000.000,242.0,,,1042564000000.0,628450000000.0,191664000000.0,222450000000.0,222450000000.0
Vay đối tác doanh nghiệp,Vay ngắn hạn > Vay đối tác doanh nghiệp,Vay đối tác doanh nghiệp,,71.000.000.000,71.000.000.000,-,71.000.000.000,-,-,-,,71000000000.0,71000000000.0,,71000000000.0,,,
Vay bên liên quan,Vay ngắn hạn > Vay bên liên quan,Vay bên liên quan,35,50.000.000.000,50.000.000.000,14.695.991.463,64.695.991.463,-,-,-,35.0,50000000000.0,50000000000.0,14695991463.0,64695991463.0,,,
Trái phiếu ngắn hạn,Vay ngắn hạn > Trái phiếu ngắn hạn,Trái phiếu ngắn hạn,24.3,-,-,668.753.348.562,117.634.348.562,-,551.119.000.000,551.119.000.000,243.0,,,668753348562.0,117634348562.0,,551119000000.0,551119000000.0
Trái phiếu dài hạn đến hạn trả,Vay ngắn hạn > Trái phiếu dài hạn đến hạn trả,Trái phiếu dài hạn đến hạn trả,24.4,1.013.504.940.763,1.013.504.940.763,1.264.355.907.157,1.040.606.662.153,-,1.237.254.185.767,1.237.254.185.767,244.0,1013504940763.0,1013504940763.0,1264355907157.0,1040606662153.0,,1237254185767.0,1237254185767.0
TỔNG CỘNG,Vay ngắn hạn > TỔNG CỘNG,TỔNG CỘNG,,1.472.170.219.171,1.472.170.219.171,3.644.228.118.301,2.388.295.700.617,382.679.831.724,2.345.422.805.131,2.345.422.805.131,,1472170219171.0,1472170219171.0,3644228118301.0,2388295700617.0,382679831724.0,2345422805131.0,2345422805131.0
Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,,,,,,,,
Vay ngân hàng,Vay dài hạn > Vay ngân hàng,Vay ngân hàng,24.1,273.043.137.865,273.043.137.865,239.732.348.580,94.993.522.414,239.375.558.411,178.406.405.620,178.406.405.620,241.0,273043137865.0,273043137865.0,239732348580.0,94993522414.0,239375558411.0,178406405620.0,178406405620.0
Trái phiếu,Vay dài hạn > Trái phiếu,Trái phiếu,24.4,695.010.958.904,695.010.958.904,3.165.755.158.667,1.294.173.356.680,398.022.922.440,2.168.569.838.451,2.168.569.838.451,244.0,695010958904.0,695010958904.0,3165755158667.0,1294173356680.0,398022922440.0,2168569838451.0,2168569838451.0
TỔNG CỘNG,Vay dài hạn > TỔNG CỘNG,TỔNG CỘNG,,968.054.096.769,968.054.096.769,3.405.487.507.247,1.389.166.879.094,637.398.480.851,2.346.976.244.071,2.346.976.244.071,,968054096769.0,968054096769.0,3405487507247.0,1389166879094.0,637398480851.0,2346976244071.0,2346976244071.0
