row_label_raw,row_label_full,col_0,Số cuối năm,Số cuối năm > Giá gốc,Đơn vị tính: VND > Dự phòng,Đơn vị tính: VND > Số đầu năm,numeric__Số cuối năm,numeric__Số cuối năm > Giá gốc,numeric__Đơn vị tính: VND > Dự phòng,numeric__Đơn vị tính: VND > Số đầu năm
Bất động sản để bán đang xây dựng,Bất động sản để bán đang xây dựng,Bất động sản để bán đang xây dựng,3.095.717.118.115,-,1.324.684.628.341,-,3095717118115.0,,1324684628341.0,
Dự án Khu đô thị phía Nam Thành phố Bắc Giang,Dự án Khu đô thị phía Nam Thành phố Bắc Giang,Dự án Khu đô thị phía Nam Thành phố Bắc Giang,875.866.349.259,-,-,-,875866349259.0,,,
Dự án Nhà ở Thương mại Thành phố Lào Cai,Dự án Nhà ở Thương mại Thành phố Lào Cai,Dự án Nhà ở Thương mại Thành phố Lào Cai,536.289.771.212,-,-,-,536289771212.0,,,
Dự án Ka Long tỉnh Quảng Ninh,Dự án Ka Long tỉnh Quảng Ninh,Dự án Ka Long tỉnh Quảng Ninh,434.210.077.265,-,-,-,434210077265.0,,,
Dự án Cần Tân Lập,Dự án Cần Tân Lập,Dự án Cần Tân Lập,386.485.727.609,-,386.462.978.518,-,386485727609.0,,386462978518.0,
Dự án Đề Thám Cao Bằng,Dự án Đề Thám Cao Bằng,Dự án Đề Thám Cao Bằng,333.766.239.256,-,235.727.229.117,-,333766239256.0,,235727229117.0,
Dự án Phú Hải Bình Thuận,Dự án Phú Hải Bình Thuận,Dự án Phú Hải Bình Thuận,244.238.100.701,-,202.347.190.520,-,244238100701.0,,202347190520.0,
Dự án Tuy Hòa Phú Yên,Dự án Tuy Hòa Phú Yên,Dự án Tuy Hòa Phú Yên,200.638.911.085,-,156.817.757.614,-,200638911085.0,,156817757614.0,
Các dự án khác,Các dự án khác,Các dự án khác,84.221.941.728,-,343.329.472.572,-,84221941728.0,,343329472572.0,
Bất động sản để bán đã hoàn thành,Bất động sản để bán đã hoàn thành,Bất động sản để bán đã hoàn thành,702.318.276.977,-,941.630.566.506,-,702318276977.0,,941630566506.0,
Chi phí sản xuất kinh doanh dở dang của hoạt động môi giới,Chi phí sản xuất kinh doanh dở dang của hoạt động môi giới,Chi phí sản xuất kinh doanh dở dang của hoạt động môi giới,-,-,21.456.139.710,-,,,21456139710.0,
Hàng tồn kho khác,Hàng tồn kho khác,Hàng tồn kho khác,245.000.000,-,605.781.499,-,245000000.0,,605781499.0,
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,3.798.280.395.092,-,2.288.377.116.056,-,3798280395092.0,,2288377116056.0,
