row_label_raw,row_label_full,col_0,Năm nay,Đơn vị tính: VNDNăm trước,numeric__Năm nay,numeric__Đơn vị tính: VNDNăm trước
Tổng doanh thu,Tổng doanh thu,Tổng doanh thu,1.417.006.429.780,1.329.627.915.814,1417006429780.0,1329627915814.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Doanh thu từ hoạt động chuyển nhượng bất động sản,Trong đó: > Doanh thu từ hoạt động chuyển nhượng bất động sản,Doanh thu từ hoạt động chuyển nhượng bất động sản,630.618.135.346,837.170.327.303,630618135346.0,837170327303.0
Doanh thu từ hoạt động môi giới bất động sản,Trong đó: > Doanh thu từ hoạt động môi giới bất động sản,Doanh thu từ hoạt động môi giới bất động sản,590.090.213.536,361.375.730.661,590090213536.0,361375730661.0
Doanh thu từ hoạt động cho thuê bất động sản và các hoạt động liên quan,Trong đó: > Doanh thu từ hoạt động cho thuê bất động sản và các hoạt động liên quan,Doanh thu từ hoạt động cho thuê bất động sản và các hoạt động liên quan,196.298.080.898,131.081.857.850,196298080898.0,131081857850.0
Các khoản giảm trừ doanh thu,Các khoản giảm trừ doanh thu,Các khoản giảm trừ doanh thu,-,-,,
Doanh thu thuần,Các khoản giảm trừ doanh thu > Doanh thu thuần,Doanh thu thuần,1.417.006.429.780,1.329.627.915.814,1417006429780.0,1329627915814.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Doanh thu đối với bên khác,Trong đó: > Doanh thu đối với bên khác,Doanh thu đối với bên khác,1.351.734.849.519,1.263.139.727.458,1351734849519.0,1263139727458.0
Doanh thu đối với các bên liên quan(Thuyết minh số 35),Trong đó: > Doanh thu đối với các bên liên quan(Thuyết minh số 35),Doanh thu đối với các bên liên quan(Thuyết minh số 35),65.271.580.261,66.488.188.356,65271580261.0,66488188356.0
