row_label_raw,row_label_full,col_0,Năm nay,Đơn vị tính: VNDNăm trước(Trình bày lại),numeric__Năm nay,numeric__Đơn vị tính: VNDNăm trước(Trình bày lại)
Lợi nhuận thuần sau thuế phân bổ cho cổ đông sở hữu cổ phiếu phổ thông,Lợi nhuận thuần sau thuế phân bổ cho cổ đông sở hữu cổ phiếu phổ thông,Lợi nhuận thuần sau thuế phân bổ cho cổ đông sở hữu cổ phiếu phổ thông,249.918.687.400,92.293.322.388,249918687400.0,92293322388.0
Điều chỉnh giảm do trích thù lao HĐQT (*),Điều chỉnh giảm do trích thù lao HĐQT (*),Điều chỉnh giảm do trích thù lao HĐQT (*),(6.704.695.108),(6.398.285.575),-6704695108.0,-6398285575.0
Điều chỉnh giảm do trích quỹ phúc lợi (*),Điều chỉnh giảm do trích quỹ phúc lợi (*),Điều chỉnh giảm do trích quỹ phúc lợi (*),-,(23.317.476.123),,-23317476123.0
Lợi nhuận thuần sau thuế phân bổ cho cổ đông sở hữu cổ phiếu phổ thông sau khi đã điều chỉnh cho các yếu tố suy giảm,Lợi nhuận thuần sau thuế phân bổ cho cổ đông sở hữu cổ phiếu phổ thông sau khi đã điều chỉnh cho các yếu tố suy giảm,Lợi nhuận thuần sau thuế phân bổ cho cổ đông sở hữu cổ phiếu phổ thông sau khi đã điều chỉnh cho các yếu tố suy giảm,243.213.992.292,62.577.560.690,243213992292.0,62577560690.0
Bình quân gia quyền của số cổ phiếu phổ thông (không bao gồm cổ phiếu quỹ) để tính lãi cơ bản trên cổ phiếu,Bình quân gia quyền của số cổ phiếu phổ thông (không bao gồm cổ phiếu quỹ) để tính lãi cơ bản trên cổ phiếu,Bình quân gia quyền của số cổ phiếu phổ thông (không bao gồm cổ phiếu quỹ) để tính lãi cơ bản trên cổ phiếu,304.168.581,264.494.582,304168581.0,264494582.0
Ảnh hưởng của cổ tức bằng cổ phiếu phát hành trong năm 2021 (**),Ảnh hưởng của cổ tức bằng cổ phiếu phát hành trong năm 2021 (**),Ảnh hưởng của cổ tức bằng cổ phiếu phát hành trong năm 2021 (**),-,39.673.999,,39673999.0
"Bình quân gia quyền của số cổ phiếu phổ thông (không bao gồm cổ phiếu quỹ) để tính lãi cơ bản trên cổ phiếu, sau điều chỉnh","Bình quân gia quyền của số cổ phiếu phổ thông (không bao gồm cổ phiếu quỹ) để tính lãi cơ bản trên cổ phiếu, sau điều chỉnh","Bình quân gia quyền của số cổ phiếu phổ thông (không bao gồm cổ phiếu quỹ) để tính lãi cơ bản trên cổ phiếu, sau điều chỉnh",304.168.581,304.168.581,304168581.0,304168581.0
Ảnh hưởng suy giảm,Ảnh hưởng suy giảm,Ảnh hưởng suy giảm,-,-,,
Bình quân gia quyền của số cổ phiếu phổ thông (không bao gồm cổ phiếu quỹ) đã điều chỉnh cho các yếu tố suy giảm,Ảnh hưởng suy giảm > Bình quân gia quyền của số cổ phiếu phổ thông (không bao gồm cổ phiếu quỹ) đã điều chỉnh cho các yếu tố suy giảm,Bình quân gia quyền của số cổ phiếu phổ thông (không bao gồm cổ phiếu quỹ) đã điều chỉnh cho các yếu tố suy giảm,304.168.581,304.168.581,304168581.0,304168581.0
Lãi cơ bản trên cổ phiếu,Ảnh hưởng suy giảm > Lãi cơ bản trên cổ phiếu,Lãi cơ bản trên cổ phiếu,800,206,800.0,206.0
Lãi suy giảm trên cổ phiếu,Ảnh hưởng suy giảm > Lãi suy giảm trên cổ phiếu,Lãi suy giảm trên cổ phiếu,800,206,800.0,206.0
