row_label_raw,row_label_full,col_0,Kinh doanhbất động sản,Kinh doanh dịch vụmôi giới,"Kinh doanh cho thuêBĐS, dịch vụ quản lýBĐS và hoạt độngliên quan khác",Loại trừ,Đơn vị tính: VNDTổng cộng,numeric__Kinh doanhbất động sản,numeric__Kinh doanh dịch vụmôi giới,"numeric__Kinh doanh cho thuêBĐS, dịch vụ quản lýBĐS và hoạt độngliên quan khác",numeric__Loại trừ,numeric__Đơn vị tính: VNDTổng cộng
Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,,,,,
Doanh thu từ bán hàng ra bên ngoài,Doanh thu > Doanh thu từ bán hàng ra bên ngoài,Doanh thu từ bán hàng ra bên ngoài,630.618.135.346,590.090.213.536,196.298.080.898,-,1.417.006.429.780,630618135346.0,590090213536.0,196298080898.0,,1417006429780.0
Doanh thu từ bán hàng cho các bộ phận,Doanh thu > Doanh thu từ bán hàng cho các bộ phận,Doanh thu từ bán hàng cho các bộ phận,128.734.040.644,1.418.766.768,52.344.569.078,(182.497.376.490),-,128734040644.0,1418766768.0,52344569078.0,-182497376490.0,
Tổng doanh thu,Doanh thu > Tổng doanh thu,Tổng doanh thu,759.352.175.990,591.508.980.304,248.642.649.976,(182.497.376.490),1.417.006.429.780,759352175990.0,591508980304.0,248642649976.0,-182497376490.0,1417006429780.0
Kết quả,Kết quả,Kết quả,Kết quả,Kết quả,Kết quả,Kết quả,Kết quả,,,,,
Lợi nhuận thuần trước thuế của bộ phận,Kết quả > Lợi nhuận thuần trước thuế của bộ phận,Lợi nhuận thuần trước thuế của bộ phận,(74.426.738.780),227.341.365.350,49.994.716.573,,202.909.343.143,-74426738780.0,227341365350.0,49994716573.0,,202909343143.0
Thu nhập/(chi phí) không phân bổ (*),Kết quả > Thu nhập/(chi phí) không phân bổ (*),Thu nhập/(chi phí) không phân bổ (*),,,,,202.140.208.079,,,,,202140208079.0
Lợi nhuận thuần trước thuế,Kết quả > Lợi nhuận thuần trước thuế,Lợi nhuận thuần trước thuế,,,,,405.049.551.222,,,,,405049551222.0
Chi phí thuế thu nhập doanh nghiệp,Kết quả > Chi phí thuế thu nhập doanh nghiệp,Chi phí thuế thu nhập doanh nghiệp,,,,,(119.301.298.572),,,,,-119301298572.0
Lợi nhuận thuần sau thuế,Kết quả > Lợi nhuận thuần sau thuế,Lợi nhuận thuần sau thuế,,,,,285.748.252.650,,,,,285748252650.0
Tải sản và công nợ,Tải sản và công nợ,Tải sản và công nợ,Tải sản và công nợ,Tải sản và công nợ,Tải sản và công nợ,Tải sản và công nợ,Tải sản và công nợ,,,,,
Tải sản bộ phận,Tải sản và công nợ > Tải sản bộ phận,Tải sản bộ phận,5.347.907.851.511,-,1.060.144.333.750,-,6.408.052.185.261,5347907851511.0,,1060144333750.0,,6408052185261.0
Tải sản không phân bổ (**),Tải sản và công nợ > Tải sản không phân bổ (**),Tải sản không phân bổ (**),-,-,-,3.170.539.472.681,3.170.539.472.681,,,,3170539472681.0,3170539472681.0
Tổng tài sản,Tải sản và công nợ > Tổng tài sản,Tổng tài sản,5.347.907.851.511,-,1.060.144.333.750,3.170.539.472.681,9.578.591.657.942,5347907851511.0,,1060144333750.0,3170539472681.0,9578591657942.0
Công nợ bộ phận,Tải sản và công nợ > Công nợ bộ phận,Công nợ bộ phận,476.053.874.160,-,204.442.486.938,-,680.496.361.098,476053874160.0,,204442486938.0,,680496361098.0
Công nợ không phân bổ (***),Tải sản và công nợ > Công nợ không phân bổ (***),Công nợ không phân bổ (***),-,-,-,5.371.347.054.390,5.371.347.054.390,,,,5371347054390.0,5371347054390.0
Tổng công nợ,Tải sản và công nợ > Tổng công nợ,Tổng công nợ,476.053.874.160,-,204.442.486.938,5.371.347.054.390,6.051.843.415.488,476053874160.0,,204442486938.0,5371347054390.0,6051843415488.0
