row_label_raw,row_label_full,col_0,Số cuối năm,Đơn vị tính: VND > Số đầu năm,numeric__Số cuối năm,numeric__Đơn vị tính: VND > Số đầu năm
Phải thu từ hoạt động chuyển nhượng cổ phần,Phải thu từ hoạt động chuyển nhượng cổ phần,Phải thu từ hoạt động chuyển nhượng cổ phần,164.240.000.000,30.000.000.000,164240000000.0,30000000000.0
Phải thu từ hoạt động chuyển nhượng bất động sản,Phải thu từ hoạt động chuyển nhượng bất động sản,Phải thu từ hoạt động chuyển nhượng bất động sản,86.905.171.639,114.568.285.102,86905171639.0,114568285102.0
Phải thu từ hoạt động cho thuê và các hoạt động khác,Phải thu từ hoạt động cho thuê và các hoạt động khác,Phải thu từ hoạt động cho thuê và các hoạt động khác,18.192.255.325,19.022.433.273,18192255325.0,19022433273.0
Phải thu từ hoạt động môi giới bất động sản,Phải thu từ hoạt động môi giới bất động sản,Phải thu từ hoạt động môi giới bất động sản,-,108.087.729.275,,108087729275.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,269.337.426.964,271.678.447.650,269337426964.0,271678447650.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Phải thu ngắn hạn từ khách hàng,Trong đó: > Phải thu ngắn hạn từ khách hàng,Phải thu ngắn hạn từ khách hàng,252.199.645.576,233.430.310.446,252199645576.0,233430310446.0
Phải thu ngắn hạn từ các bên liên quan(Thuyết minh số 35),Trong đó: > Phải thu ngắn hạn từ các bên liên quan(Thuyết minh số 35),Phải thu ngắn hạn từ các bên liên quan(Thuyết minh số 35),17.137.781.388,38.248.137.204,17137781388.0,38248137204.0
Chi tiết các khoản phải thu ngắn hạn từ khách hàngchiếm trên 10% tổng phải thu:,Chi tiết các khoản phải thu ngắn hạn từ khách hàngchiếm trên 10% tổng phải thu:,Chi tiết các khoản phải thu ngắn hạn từ khách hàngchiếm trên 10% tổng phải thu:,Chi tiết các khoản phải thu ngắn hạn từ khách hàngchiếm trên 10% tổng phải thu:,Chi tiết các khoản phải thu ngắn hạn từ khách hàngchiếm trên 10% tổng phải thu:,,
Vũ Kim Tuấn,Chi tiết các khoản phải thu ngắn hạn từ khách hàngchiếm trên 10% tổng phải thu: > Vũ Kim Tuấn,Vũ Kim Tuấn,106.927.400.000,-,106927400000.0,
Xí nghiệp Xây dựng Tư nhân Số 1,Chi tiết các khoản phải thu ngắn hạn từ khách hàngchiếm trên 10% tổng phải thu: > Xí nghiệp Xây dựng Tư nhân Số 1,Xí nghiệp Xây dựng Tư nhân Số 1,30.000.000.000,30.000.000.000,30000000000.0,30000000000.0
Vũ Thu Hiên,Chi tiết các khoản phải thu ngắn hạn từ khách hàngchiếm trên 10% tổng phải thu: > Vũ Thu Hiên,Vũ Thu Hiên,27.312.600.000,-,27312600000.0,
"Công ty Cổ phần Đầu tư Hải Phát Thủ Đô (""Công ty Hải Phát Thủ Đô"")","Chi tiết các khoản phải thu ngắn hạn từ khách hàngchiếm trên 10% tổng phải thu: > Công ty Cổ phần Đầu tư Hải Phát Thủ Đô (""Công ty Hải Phát Thủ Đô"")","Công ty Cổ phần Đầu tư Hải Phát Thủ Đô (""Công ty Hải Phát Thủ Đô"")",3.659.741.014,29.157.269.777,3659741014.0,29157269777.0
Dự phòng phải thu khó đòi (Thuyết minh số 10),Chi tiết các khoản phải thu ngắn hạn từ khách hàngchiếm trên 10% tổng phải thu: > Dự phòng phải thu khó đòi (Thuyết minh số 10),Dự phòng phải thu khó đòi (Thuyết minh số 10),(31.358.985.508),(31.358.985.508),-31358985508.0,-31358985508.0
