row_label_raw,row_label_full,Phải trả ngắn hạn khác (Thuyết minh số 23),Phải trả ngắn hạn khác (Thuyết minh số 23)_1,Phải trả ngắn hạn khác (Thuyết minh số 23)_2,Phải trả ngắn hạn khác (Thuyết minh số 23)_3,numeric__Phải trả ngắn hạn khác (Thuyết minh số 23)_1,numeric__Phải trả ngắn hạn khác (Thuyết minh số 23)_2,numeric__Phải trả ngắn hạn khác (Thuyết minh số 23)_3
Công ty Hải Phát Thú Đô,Công ty Hải Phát Thú Đô,Công ty Hải Phát Thú Đô,Công ty liên quan của thành viên HĐQT,"Thu hộ, chi hộ phí dịch vụ",1.215.567.859,,,1215567859.0
Công ty ĐT và KĐ BĐS Hải Phát,Công ty ĐT và KĐ BĐS Hải Phát,Công ty ĐT và KĐ BĐS Hải Phát,"Công ty con đến ngày 29 tháng 12 năm 2021, công ty liên kết từ ngày 30 tháng 12 năm 2021",Phải trả theo thỏa thuận quản lý tập trung,61.478.116.123,,,61478116123.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,,62.693.683.982,1.288.042.384,,62693683982.0,1288042384.0
