row_label_raw,row_label_full,Másố,NGUỒN VỐN,Thuyếtminh,Số cuối năm,Số đầu năm,numeric__NGUỒN VỐN,numeric__Thuyếtminh,numeric__Số cuối năm,numeric__Số đầu năm
400,400,400,D. VỐN CHỦ SỞ HỮU,,3.526.748.242.454,3.620.943.370.992,,,3526748242454.0,3620943370992.0
410,410,410,I. Vốn chủ sở hữu,26,3.526.748.242.454,3.620.943.370.992,,26.0,3526748242454.0,3620943370992.0
411,411,411,1. Vốn cổ phần,26,3.041.685.810.000,2.644.945.820.000,,26.0,3041685810000.0,2644945820000.0
411a,411a,411a,- Cổ phiếu phổ thông có quyềnbiểu quyết,26,3.041.685.810.000,2.644.945.820.000,,26.0,3041685810000.0,2644945820000.0
412,412,412,2. Thắng dư vốn cổ phần,26,60.986.800.000,60.986.800.000,,26.0,60986800000.0,60986800000.0
420,420,420,3. Quỹ khác thuộc vốn chủ sở hữu,26,1.086.479.930,580.012.025,,26.0,1086479930.0,580012025.0
421,421,421,4. Lợi nhuận sau thuế chưa phân phối,26,225.101.331.269,516.430.308.503,,26.0,225101331269.0,516430308503.0
421a,421a,421a,- (Lỗ)/ lợi nhuận sau thuế chưa phân phối lũy kế đến cuối năm trước,26,(18.728.511.146),430.535.271.688,,26.0,-18728511146.0,430535271688.0
421b,421b,421b,- Lợi nhuận sau thuế chưa phân phối năm nay,26,243.829.842.415,85.895.036.815,,26.0,243829842415.0,85895036815.0
429,429,429,5. Lợi ích cổ đông không kiểm soát,27,197.887.821.255,398.000.430.464,,27.0,197887821255.0,398000430464.0
440,440,440,TỔNG CỘNG NGUỒN VỐN,,9.578.591.657.942,7.378.527.085.935,,,9578591657942.0,7378527085935.0
