row_label_raw,row_label_full,col_0,Số đầu năm,Số phải thu trong năm,Số cản trừ trong năm,Đơn vị tính: VND,numeric__Số đầu năm,numeric__Số phải thu trong năm,numeric__Số cản trừ trong năm,numeric__Đơn vị tính: VND
Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,,,,
Thuế giá trị gia tăng,Phải thu > Thuế giá trị gia tăng,Thuế giá trị gia tăng,88.519.265.861,60.690.707.843,55.692.845.447,93.517.128.257,88519265861.0,60690707843.0,55692845447.0,93517128257.0
Thuế thu nhập doanh nghiệp,Phải thu > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,609.582.469,40.397.617,609.582.469,40.397.617,609582469.0,40397617.0,609582469.0,40397617.0
TỔNG CỘNG,Phải thu > TỔNG CỘNG,TỔNG CỘNG,89.128.848.330,60.731.105.460,56.302.427.916,93.557.525.874,89128848330.0,60731105460.0,56302427916.0,93557525874.0
