row_label_raw,row_label_full,col_0,Đơn vị tính: VND > Năm nay,Đơn vị tính: VND > Năm trước,numeric__Đơn vị tính: VND > Năm nay,numeric__Đơn vị tính: VND > Năm trước
Thu nhập khác,Thu nhập khác,Thu nhập khác,20.740.716.955,29.262.106.318,20740716955.0,29262106318.0
Thu nhập tạm thời từ cho thuê căn hộ,Thu nhập tạm thời từ cho thuê căn hộ,Thu nhập tạm thời từ cho thuê căn hộ,16.907.176.821,15.606.589.635,16907176821.0,15606589635.0
"Tiền được bởi thường, phạt vi phạm hợp đồng","Tiền được bởi thường, phạt vi phạm hợp đồng","Tiền được bởi thường, phạt vi phạm hợp đồng",2.914.133.264,3.875.272.189,2914133264.0,3875272189.0
Thu nhập từ các khoản công nợ,Thu nhập từ các khoản công nợ,Thu nhập từ các khoản công nợ,-,9.327.805.985,,9327805985.0
Thu nhập khác,Thu nhập khác,Thu nhập khác,919.406.870,452.438.509,919406870.0,452438509.0
Chi phí khác,Chi phí khác,Chi phí khác,12.583.565.423,12.740.508.007,12583565423.0,12740508007.0
Tiền chậm nộp thuế,Tiền chậm nộp thuế,Tiền chậm nộp thuế,8.138.682.767,9.232.987.063,8138682767.0,9232987063.0
Phạt thanh lý hợp đồng,Phạt thanh lý hợp đồng,Phạt thanh lý hợp đồng,2.106.352.800,1.819.143.978,2106352800.0,1819143978.0
Chi phí khác,Chi phí khác,Chi phí khác,2.338.529.856,1.688.376.966,2338529856.0,1688376966.0
LỢI NHUẬN KHÁC THUÀN,LỢI NHUẬN KHÁC THUÀN,LỢI NHUẬN KHÁC THUÀN,8.157.151.532,16.521.598.311,8157151532.0,16521598311.0
