row_label_raw,row_label_full,col_0,Số cuối năm,Đơn vị tính: VND > Số đầu năm,numeric__Số cuối năm,numeric__Đơn vị tính: VND > Số đầu năm
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,
Quỹ bảo trì căn hộ (i),Ngắn hạn > Quỹ bảo trì căn hộ (i),Quỹ bảo trì căn hộ (i),81.041.652.508,67.998.246.879,81041652508.0,67998246879.0
Phải trả theo dòng tiền quản lý vốn tập trung (ii),Ngắn hạn > Phải trả theo dòng tiền quản lý vốn tập trung (ii),Phải trả theo dòng tiền quản lý vốn tập trung (ii),61.478.116.123,-,61478116123.0,
"Tiền thu từ các hợp đồng đặt cọc, vay vốn và hợp đồng khác liên quan đến các dự án bất động sản","Ngắn hạn > Tiền thu từ các hợp đồng đặt cọc, vay vốn và hợp đồng khác liên quan đến các dự án bất động sản","Tiền thu từ các hợp đồng đặt cọc, vay vốn và hợp đồng khác liên quan đến các dự án bất động sản",81.459.343.747,15.556.933.875,81459343747.0,15556933875.0
Phải trả theo hợp đồng hợp tác đầu tư,Ngắn hạn > Phải trả theo hợp đồng hợp tác đầu tư,Phải trả theo hợp đồng hợp tác đầu tư,19.008.245.670,16.842.956.202,19008245670.0,16842956202.0
Thu chỉ hộ,Ngắn hạn > Thu chỉ hộ,Thu chỉ hộ,12.358.896.648,31.512.076.223,12358896648.0,31512076223.0
Các khoản phải trả ngắn hạn khác,Ngắn hạn > Các khoản phải trả ngắn hạn khác,Các khoản phải trả ngắn hạn khác,13.912.784.750,14.519.761.111,13912784750.0,14519761111.0
TỔNG CỘNG,Ngắn hạn > TỔNG CỘNG,TỔNG CỘNG,269.259.039.446,146.429.974.290,269259039446.0,146429974290.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Phải trả ngắn hạn cho các bên khác,Trong đó: > Phải trả ngắn hạn cho các bên khác,Phải trả ngắn hạn cho các bên khác,206.565.355.464,145.141.931.906,206565355464.0,145141931906.0
Phải trả ngắn hạn cho các bên liên quan (Thuyết minh số 35),Trong đó: > Phải trả ngắn hạn cho các bên liên quan (Thuyết minh số 35),Phải trả ngắn hạn cho các bên liên quan (Thuyết minh số 35),62.693.683.982,1.288.042.384,62693683982.0,1288042384.0
Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,,
Nhận tiền cọc từ hợp đồng cho thuê dài hạn (iii),Dài hạn > Nhận tiền cọc từ hợp đồng cho thuê dài hạn (iii),Nhận tiền cọc từ hợp đồng cho thuê dài hạn (iii),180.296.348.737,178.199.761.578,180296348737.0,178199761578.0
Phải trả theo các hợp đồng hợp tác kinh doanh,Dài hạn > Phải trả theo các hợp đồng hợp tác kinh doanh,Phải trả theo các hợp đồng hợp tác kinh doanh,-,45.242.848.602,,45242848602.0
TỔNG CỘNG,Dài hạn > TỔNG CỘNG,TỔNG CỘNG,180.296.348.737,223.442.610.180,180296348737.0,223442610180.0
