row_label_raw,row_label_full,col_0,Số cuối năm > Tổng số,Số cuối năm > Cổ phiếu thường,Số cuối năm > Cổ phiếu ưu đãi,Số đầu năm > Tổng số,Số đầu năm > Cổ phiếu thường,Số đầu năm > Cổ phiếu ưu đãi,Đơn vị tính: VND,numeric__Số cuối năm > Tổng số,numeric__Số cuối năm > Cổ phiếu thường,numeric__Số cuối năm > Cổ phiếu ưu đãi,numeric__Số đầu năm > Tổng số,numeric__Số đầu năm > Cổ phiếu thường,numeric__Số đầu năm > Cổ phiếu ưu đãi,numeric__Đơn vị tính: VND
Vốn góp của cổ đông,Vốn góp của cổ đông,Vốn góp của cổ đông,3.041.685.810.000,3.041.685.810.000,-,2.644.945.820.000,2.644.945.820.000,-,,3041685810000.0,3041685810000.0,,2644945820000.0,2644945820000.0,,
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,3.041.685.810.000,3.041.685.810.000,-,2.644.945.820.000,2.644.945.820.000,-,,3041685810000.0,3041685810000.0,,2644945820000.0,2644945820000.0,,
26.3 Các giao dịch về vốn với các chủ sở hữu và phân phối cổ tức,26.3 Các giao dịch về vốn với các chủ sở hữu và phân phối cổ tức,26.3 Các giao dịch về vốn với các chủ sở hữu và phân phối cổ tức,26.3 Các giao dịch về vốn với các chủ sở hữu và phân phối cổ tức,26.3 Các giao dịch về vốn với các chủ sở hữu và phân phối cổ tức,26.3 Các giao dịch về vốn với các chủ sở hữu và phân phối cổ tức,26.3 Các giao dịch về vốn với các chủ sở hữu và phân phối cổ tức,26.3 Các giao dịch về vốn với các chủ sở hữu và phân phối cổ tức,26.3 Các giao dịch về vốn với các chủ sở hữu và phân phối cổ tức,26.3 Các giao dịch về vốn với các chủ sở hữu và phân phối cổ tức,,,,,,,
,,,,,,,,Đơn vị tính: VND,,,,,,,,
,,,,,,,Năm nay,Năm trước,,,,,,,,
Vốn đã góp của chủ sở hữu,Vốn đã góp của chủ sở hữu,Vốn đã góp của chủ sở hữu,,,,,,,,,,,,,,
Số đầu năm,Vốn đã góp của chủ sở hữu > Số đầu năm,Số đầu năm,,,,2.644.945.820.000,,1.999.963.050.000,,,,,2644945820000.0,,1999963050000.0,
Tăng từ chia cổ tức bằng cổ phiếu,Vốn đã góp của chủ sở hữu > Tăng từ chia cổ tức bằng cổ phiếu,Tăng từ chia cổ tức bằng cổ phiếu,,,,396.739.990.000,,644.982.770.000,,,,,396739990000.0,,644982770000.0,
Số cuối năm,Vốn đã góp của chủ sở hữu > Số cuối năm,Số cuối năm,,,,3.041.685.810.000,,2.644.945.820.000,,,,,3041685810000.0,,2644945820000.0,
Cổ tức bằng cổ phiếu đã chia,Vốn đã góp của chủ sở hữu > Cổ tức bằng cổ phiếu đã chia,Cổ tức bằng cổ phiếu đã chia,,,,396.739.990.000,,644.982.770.000,,,,,396739990000.0,,644982770000.0,
26.4 Cổ tức,26.4 Cổ tức,26.4 Cổ tức,26.4 Cổ tức,26.4 Cổ tức,26.4 Cổ tức,26.4 Cổ tức,26.4 Cổ tức,26.4 Cổ tức,26.4 Cổ tức,,,,,,,
,,,,,,,,Đơn vị tính: VND,,,,,,,,
,,,,,,,Năm nay,Năm trước,,,,,,,,
Cổ tức đã công bố và đã trả trong năm,Cổ tức đã công bố và đã trả trong năm,Cổ tức đã công bố và đã trả trong năm,,,,,,,,,,,,,,
Cổ tức trên cổ phiếu phổ thông,Cổ tức đã công bố và đã trả trong năm > Cổ tức trên cổ phiếu phổ thông,Cổ tức trên cổ phiếu phổ thông,,,,396.739.990.000,,644.982.770.000,,,,,396739990000.0,,644982770000.0,
Cổ tức trả bằng cổ phiếu cho năm 2020: 39.673.999 cổ phiếu/264.494.582 cổ phiếu hiện hữu,Cổ tức đã công bố và đã trả trong năm > Cổ tức trả bằng cổ phiếu cho năm 2020: 39.673.999 cổ phiếu/264.494.582 cổ phiếu hiện hữu,Cổ tức trả bằng cổ phiếu cho năm 2020: 39.673.999 cổ phiếu/264.494.582 cổ phiếu hiện hữu,,,,396.739.990.000,,-,,,,,396739990000.0,,,
Cổ tức trả bằng cổ phiếu cho năm 2018: 29.999.201 cổ phiếu/199.996.305 cổ phiếu hiện hữu,Cổ tức đã công bố và đã trả trong năm > Cổ tức trả bằng cổ phiếu cho năm 2018: 29.999.201 cổ phiếu/199.996.305 cổ phiếu hiện hữu,Cổ tức trả bằng cổ phiếu cho năm 2018: 29.999.201 cổ phiếu/199.996.305 cổ phiếu hiện hữu,,,,-,,299.992.010.000,,,,,,,299992010000.0,
Cổ tức trả bằng cổ phiếu cho năm 2019: 34.499.076 cổ phiếu/229.995.506 cổ phiếu hiện hữu,Cổ tức đã công bố và đã trả trong năm > Cổ tức trả bằng cổ phiếu cho năm 2019: 34.499.076 cổ phiếu/229.995.506 cổ phiếu hiện hữu,Cổ tức trả bằng cổ phiếu cho năm 2019: 34.499.076 cổ phiếu/229.995.506 cổ phiếu hiện hữu,,,,-,,344.990.760.000,,,,,,,344990760000.0,
Cổ tức trên cổ phiếu ưu đãi,Cổ tức trên cổ phiếu ưu đãi,Cổ tức trên cổ phiếu ưu đãi,,,,-,,-,,,,,,,,
Cổ tức đã công bố sau ngày kết thúc kỳ kế toán và chưa được ghi nhận là nợ phải trả vào ngày 31 tháng 12 năm 2021,Cổ tức đã công bố sau ngày kết thúc kỳ kế toán và chưa được ghi nhận là nợ phải trả vào ngày 31 tháng 12 năm 2021,Cổ tức đã công bố sau ngày kết thúc kỳ kế toán và chưa được ghi nhận là nợ phải trả vào ngày 31 tháng 12 năm 2021,,,,-,,-,,,,,,,,
Cổ tức trên cổ phiếu phổ thông,Cổ tức trên cổ phiếu phổ thông,Cổ tức trên cổ phiếu phổ thông,,,,-,,-,,,,,,,,
Cổ tức trên cổ phiếu ưu đãi,Cổ tức trên cổ phiếu ưu đãi,Cổ tức trên cổ phiếu ưu đãi,,,,-,,-,,,,,,,,
