row_label_raw,row_label_full,col_0,col_1,Số cuối năm > Giá trị,Số cuối năm > Số có khả năngtrả nợ,Số đầu năm > Giá trị,Số đầu năm > Số có khả năngtrả nợ,numeric__col_1,numeric__Số cuối năm > Giá trị,numeric__Số cuối năm > Số có khả năngtrả nợ,numeric__Số đầu năm > Giá trị,numeric__Số đầu năm > Số có khả năngtrả nợ
Phải trả cho người bán ngắn hạn,Phải trả cho người bán ngắn hạn,Phải trả cho người bán ngắn hạn,Phải trả cho người bán ngắn hạn,196.812.047.130,196.812.047.130,501.330.423.572,501.330.423.572,,196812047130.0,196812047130.0,501330423572.0,501330423572.0
- Công ty Cổ phần Xây dựng Số 1 Sông Hồng,- Công ty Cổ phần Xây dựng Số 1 Sông Hồng,- Công ty Cổ phần Xây dựng Số 1 Sông Hồng,- Công ty Cổ phần Xây dựng Số 1 Sông Hồng,23.493.115.910,23.493.115.910,23.493.115.910,23.493.115.910,,23493115910.0,23493115910.0,23493115910.0,23493115910.0
- Bà Nguyễn Hồng Nhung,- Bà Nguyễn Hồng Nhung,- Bà Nguyễn Hồng Nhung,- Bà Nguyễn Hồng Nhung,-,-,163.701.726.450,163.701.726.450,,,,163701726450.0,163701726450.0
- Phải trả đối tượng khác,- Phải trả đối tượng khác,- Phải trả đối tượng khác,- Phải trả đối tượng khác,173.318.931.220,173.318.931.220,314.135.581.212,314.135.581.212,,173318931220.0,173318931220.0,314135581212.0,314135581212.0
Phải trả cho các bên liên quan ngắn hạn (Thuyết minh số 35),Phải trả cho các bên liên quan ngắn hạn (Thuyết minh số 35),Phải trả cho các bên liên quan ngắn hạn (Thuyết minh số 35),Phải trả cho các bên liên quan ngắn hạn (Thuyết minh số 35),4.420.272.385,4.420.272.385,3.718.981.070,3.718.981.070,,4420272385.0,4420272385.0,3718981070.0,3718981070.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,201.232.319.515,201.232.319.515,505.049.404.642,505.049.404.642,,201232319515.0,201232319515.0,505049404642.0,505049404642.0
19.2 Người mua trả tiền trước ngắn hạn,19.2 Người mua trả tiền trước ngắn hạn,19.2 Người mua trả tiền trước ngắn hạn,19.2 Người mua trả tiền trước ngắn hạn,19.2 Người mua trả tiền trước ngắn hạn,19.2 Người mua trả tiền trước ngắn hạn,19.2 Người mua trả tiền trước ngắn hạn,19.2 Người mua trả tiền trước ngắn hạn,,,,,
"Đây là số dư các khoản thanh toán theo tiến độ từ các khách hàng ký hợp đồng mua bất động sản tại Dự án khu đô thị nhà ở xã hội Phú Lâm, Dự ánKhu đỏ thị mới Phú Lương, Dự án Nhà phố Thương mại Cao Bằng và các dự án khác của Nhóm Công ty.","Đây là số dư các khoản thanh toán theo tiến độ từ các khách hàng ký hợp đồng mua bất động sản tại Dự án khu đô thị nhà ở xã hội Phú Lâm, Dự ánKhu đỏ thị mới Phú Lương, Dự án Nhà phố Thương mại Cao Bằng và các dự án khác của Nhóm Công ty.","Đây là số dư các khoản thanh toán theo tiến độ từ các khách hàng ký hợp đồng mua bất động sản tại Dự án khu đô thị nhà ở xã hội Phú Lâm, Dự ánKhu đỏ thị mới Phú Lương, Dự án Nhà phố Thương mại Cao Bằng và các dự án khác của Nhóm Công ty.","Đây là số dư các khoản thanh toán theo tiến độ từ các khách hàng ký hợp đồng mua bất động sản tại Dự án khu đô thị nhà ở xã hội Phú Lâm, Dự ánKhu đỏ thị mới Phú Lương, Dự án Nhà phố Thương mại Cao Bằng và các dự án khác của Nhóm Công ty.","Đây là số dư các khoản thanh toán theo tiến độ từ các khách hàng ký hợp đồng mua bất động sản tại Dự án khu đô thị nhà ở xã hội Phú Lâm, Dự ánKhu đỏ thị mới Phú Lương, Dự án Nhà phố Thương mại Cao Bằng và các dự án khác của Nhóm Công ty.","Đây là số dư các khoản thanh toán theo tiến độ từ các khách hàng ký hợp đồng mua bất động sản tại Dự án khu đô thị nhà ở xã hội Phú Lâm, Dự ánKhu đỏ thị mới Phú Lương, Dự án Nhà phố Thương mại Cao Bằng và các dự án khác của Nhóm Công ty.","Đây là số dư các khoản thanh toán theo tiến độ từ các khách hàng ký hợp đồng mua bất động sản tại Dự án khu đô thị nhà ở xã hội Phú Lâm, Dự ánKhu đỏ thị mới Phú Lương, Dự án Nhà phố Thương mại Cao Bằng và các dự án khác của Nhóm Công ty.","Đây là số dư các khoản thanh toán theo tiến độ từ các khách hàng ký hợp đồng mua bất động sản tại Dự án khu đô thị nhà ở xã hội Phú Lâm, Dự ánKhu đỏ thị mới Phú Lương, Dự án Nhà phố Thương mại Cao Bằng và các dự án khác của Nhóm Công ty.",,,,,
20. THUẾ VÀ CÁC KHOÀN PHẢI THU/PHẢI NỘP NHÀ NƯỚC,20. THUẾ VÀ CÁC KHOÀN PHẢI THU/PHẢI NỘP NHÀ NƯỚC,20. THUẾ VÀ CÁC KHOÀN PHẢI THU/PHẢI NỘP NHÀ NƯỚC,20. THUẾ VÀ CÁC KHOÀN PHẢI THU/PHẢI NỘP NHÀ NƯỚC,20. THUẾ VÀ CÁC KHOÀN PHẢI THU/PHẢI NỘP NHÀ NƯỚC,20. THUẾ VÀ CÁC KHOÀN PHẢI THU/PHẢI NỘP NHÀ NƯỚC,20. THUẾ VÀ CÁC KHOÀN PHẢI THU/PHẢI NỘP NHÀ NƯỚC,20. THUẾ VÀ CÁC KHOÀN PHẢI THU/PHẢI NỘP NHÀ NƯỚC,,,,,
,,,,Số đầu năm,Số phải nộptrong năm,Giảm do thanh lýcông ty con,Số đã nộp/cán triturong năm,,,,,
Phải nộp,Phải nộp,Phải nộp,Phải nộp,,,,,,,,,
Thuế thu nhập doanh nghiệp,Phải nộp > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,104.025.190.003,90.687.407.740,39.597.312.039,102.136.413.473,,104025190003.0,90687407740.0,39597312039.0,102136413473.0
Thuế giá trị gia tăng,Phải nộp > Thuế giá trị gia tăng,Thuế giá trị gia tăng,Thuế giá trị gia tăng,26.575.652.361,156.911.143.525,19.002.628.227,163.594.409.251,,26575652361.0,156911143525.0,19002628227.0,163594409251.0
Thuế thu nhập cá nhân,Phải nộp > Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,10.082.892.993,35.489.255.322,6.437.444.769,37.813.501.811,,10082892993.0,35489255322.0,6437444769.0,37813501811.0
Tiền đất phải nộp Nhà nước,Phải nộp > Tiền đất phải nộp Nhà nước,Tiền đất phải nộp Nhà nước,Tiền đất phải nộp Nhà nước,-,1.108.036.508.531,-,706.786.508.531,,,1108036508531.0,,706786508531.0
Các khoản phải nộp Nhà nước khác,Phải nộp > Các khoản phải nộp Nhà nước khác,Các khoản phải nộp Nhà nước khác,Các khoản phải nộp Nhà nước khác,2.803.982.622,11.780.487.657,797.123.553,13.787.346.726,,2803982622.0,11780487657.0,797123553.0,13787346726.0
TỔNG CỘNG,Phải nộp > TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,143.487.717.979,1.402.904.802.775,65.834.508.588,1.024.118.179.792,,143487717979.0,1402904802775.0,65834508588.0,1024118179792.0
