row_label_raw,row_label_full,Nội dung,Năm 2021 > Trước Kiểm toán,Năm 2021 > Báo cáo kiểm toán,Năm 2021 > Tỷ lệ %,Năm 2020 > Báo cáo kiểm toán,Tăng(+) / Giảm(-),Tỷ lệ %,numeric__Năm 2021 > Trước Kiểm toán,numeric__Năm 2021 > Báo cáo kiểm toán,numeric__Năm 2021 > Tỷ lệ %,numeric__Năm 2020 > Báo cáo kiểm toán,numeric__Tăng(+) / Giảm(-),numeric__Tỷ lệ %
1,1,1,2,3,4=3/2,5,6=3-5,7=6/5,2.0,3.0,,5.0,,
Báo cáo tài chính riêng,Báo cáo tài chính riêng,Báo cáo tài chính riêng,155.473,155.532,"0,04",338.206,(182.674),"(54,01)",155473.0,155532.0,0.04,338206.0,-182674.0,-54.01
Báo cáo tài chính hợp nhất,Báo cáo tài chính hợp nhất,Báo cáo tài chính hợp nhất,328.207,285.748,"(12,94)",97.611,188.137,"192,74",328207.0,285748.0,-12.94,97611.0,188137.0,192.74
Trong đó : Lợi nhuận sau thuế của Công ty Mệ,Trong đó : Lợi nhuận sau thuế của Công ty Mệ,Trong đó : Lợi nhuận sau thuế của Công ty Mệ,289.283,249.918,"(13,61)",92.293,157.625,"170,79",289283.0,249918.0,-13.61,92293.0,157625.0,170.79
