row_label_raw,row_label_full,Giá trị đầu tư: > Số đầu năm > Tăng trong năm,Công ty ĐT vàKD BĐS Hải Phát > Giá trị đầu tư: > - > 346.300.000.000,Công ty TNHH BTHà Đông > Giá trị đầu tư: > 51.902.886.097 > -,Đơn vị tính: VND > Giá trị đầu tư: > 51.902.886.097 > 346.300.000.000,numeric__Công ty ĐT vàKD BĐS Hải Phát > Giá trị đầu tư: > - > 346.300.000.000,numeric__Công ty TNHH BTHà Đông > Giá trị đầu tư: > 51.902.886.097 > -,numeric__Đơn vị tính: VND > Giá trị đầu tư: > 51.902.886.097 > 346.300.000.000
Tăng do góp vốn,Tăng do góp vốn,Tăng do góp vốn,-,2.660.000.000,2.660.000.000,,2660000000.0,2660000000.0
Số cuối năm,Số cuối năm,Số cuối năm,346.300.000.000,54.562.886.097,400.862.886.097,346300000000.0,54562886097.0,400862886097.0
"Phần lãi lũy kế sau khi mua công ty liên doanh, liên kết:","Phần lãi lũy kế sau khi mua công ty liên doanh, liên kết:","Phần lãi lũy kế sau khi mua công ty liên doanh, liên kết:","Phần lãi lũy kế sau khi mua công ty liên doanh, liên kết:","Phần lãi lũy kế sau khi mua công ty liên doanh, liên kết:","Phần lãi lũy kế sau khi mua công ty liên doanh, liên kết:",,,
Số đầu năm,Số đầu năm,Số đầu năm,-,-,-,,,
Tăng trong năm,Số đầu năm > Tăng trong năm,Tăng trong năm,73.234.119.622,-,73.234.119.622,73234119622.0,,73234119622.0
Số cuối năm,Số đầu năm > Số cuối năm,Số cuối năm,73.234.119.622,-,73.234.119.622,73234119622.0,,73234119622.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,
Số đầu năm,Giá trị còn lại > Số đầu năm,Số đầu năm,-,51.902.886.097,51.902.886.097,,51902886097.0,51902886097.0
Số cuối năm,Giá trị còn lại > Số cuối năm,Số cuối năm,419.534.119.622,54.562.886.097,474.097.005.719,419534119622.0,54562886097.0,474097005719.0
