row_label_raw,row_label_full,col_0,Số lượngcổ phần sở hữu,Số lượngcổ phần sở hữu_1,"Tỷ lệ sở hữu, đồng thờilà tỷ lệ biểu quyết (%)","Tỷ lệ sở hữu, đồng thờilà tỷ lệ biểu quyết (%)_1",numeric__Số lượngcổ phần sở hữu,numeric__Số lượngcổ phần sở hữu_1,"numeric__Tỷ lệ sở hữu, đồng thờilà tỷ lệ biểu quyết (%)","numeric__Tỷ lệ sở hữu, đồng thờilà tỷ lệ biểu quyết (%)_1"
,,,Số cuốinăm,Số đầunăm,Số cuốinăm,Số đầunăm,,,,
Tên đơn vị,Tên đơn vị,Tên đơn vị,,,,,,,,
Công ty Hải Phát Thủ Đô (i),Tên đơn vị > Công ty Hải Phát Thủ Đô (i),Công ty Hải Phát Thủ Đô (i),19.008.000,16.008.000,"19,01","17,78",19008000.0,16008000.0,19.01,17.78
Cienco 5,Tên đơn vị > Cienco 5,Cienco 5,8.354.500,8.354.500,"15,50","15,50",8354500.0,8354500.0,15.5,15.5
