row_label_raw,row_label_full,Bên liên quan > Phải thu ngắn hạn khác(Thuyết minh số 9),Mối quan hệ > Phải thu ngắn hạn khác(Thuyết minh số 9),Nội dung nghiệp vụ > Phải thu ngắn hạn khác(Thuyết minh số 9),Số cuối năm > Phải thu ngắn hạn khác(Thuyết minh số 9),Số đầu năm > Phải thu ngắn hạn khác(Thuyết minh số 9),numeric__Mối quan hệ > Phải thu ngắn hạn khác(Thuyết minh số 9),numeric__Nội dung nghiệp vụ > Phải thu ngắn hạn khác(Thuyết minh số 9),numeric__Số cuối năm > Phải thu ngắn hạn khác(Thuyết minh số 9),numeric__Số đầu năm > Phải thu ngắn hạn khác(Thuyết minh số 9)
Ông Lê Thanh Hải,Ông Lê Thanh Hải,Ông Lê Thanh Hải,Thành viên quản lý chủ chốt,Đặt cọc theo hợp đồng hợp tác chuyển nhượng cổ phần,355.275.600.000,-,,,355275600000.0,
Công ty ĐT và KD BĐS Hải Phát,Công ty ĐT và KD BĐS Hải Phát,Công ty ĐT và KD BĐS Hải Phát,"Công ty con đến ngày 29 tháng 12 năm 2021, công ty liên kết từ ngày 30 tháng 12 năm 2021",Phải thu theo thỏa thuận hợp tác đầu tư,144.091.689.634,-,,,144091689634.0,
Công ty Hải Phát Thủ Đô,Công ty Hải Phát Thủ Đô,Công ty Hải Phát Thủ Đô,Công ty liên quan của thành viên HĐQT,Lãi phải thu,-,949.666.667,,,,949666667.0
Công ty và các cá nhân khác,Công ty và các cá nhân khác,Công ty và các cá nhân khác,Bên liên quan,Phải thu khác,269.600.000,904.600.000,,,269600000.0,904600000.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,,,499.636.889.634,1.854.266.667,,,499636889634.0,1854266667.0
Phải thu dài hạn khác(Thuyết minh số 9),Phải thu dài hạn khác(Thuyết minh số 9),Phải thu dài hạn khác(Thuyết minh số 9),Phải thu dài hạn khác(Thuyết minh số 9),Phải thu dài hạn khác(Thuyết minh số 9),Phải thu dài hạn khác(Thuyết minh số 9),Phải thu dài hạn khác(Thuyết minh số 9),,,,
Công ty ĐT và KD BĐS Hải Phát,Phải thu dài hạn khác(Thuyết minh số 9) > Công ty ĐT và KD BĐS Hải Phát,Công ty ĐT và KD BĐS Hải Phát,"Công ty con đến ngày 29 tháng 12 năm 2021, công ty liên kết từ ngày 30 tháng 12 năm 2021",Phải thu theo hợp đồng hợp tác đầu tư,350.000.000.000,-,,,350000000000.0,
Cienco 5,Phải thu dài hạn khác(Thuyết minh số 9) > Cienco 5,Cienco 5,Công ty cùng thành viên HĐQT,Phải thu theo hợp đồng hợp tác đầu tư,197.000.000.000,197.000.000.000,,,197000000000.0,197000000000.0
TỔNG CỘNG,Phải thu dài hạn khác(Thuyết minh số 9) > TỔNG CỘNG,TỔNG CỘNG,,,547.000.000.000,197.000.000.000,,,547000000000.0,197000000000.0
