row_label_raw,row_label_full,Năm trước > Số đầu năm > - Cổ tức bằng cổ phiếu(Thuyết minh số 26.4),Vốn cổ phần đã góp > Năm trước > 1.999.963.050.000 > 644.982.770.000,Thặng dư vốn cổ phần > Năm trước > 60.986.800.000 > -,Quỹ khác > Năm trước > -,Lợi nhuận sau thuế chưa phân phối > Năm trước > 893.787.588.711 > (644.982.770.000),Lợi ích cổ đông không kiểm soát > Năm trước > 38.062.327.941 > -,Đơn vị tính: VND > Năm trước > 2.992.799.766.652 > -,numeric__Vốn cổ phần đã góp > Năm trước > 1.999.963.050.000 > 644.982.770.000,numeric__Thặng dư vốn cổ phần > Năm trước > 60.986.800.000 > -,numeric__Quỹ khác > Năm trước > -,numeric__Lợi nhuận sau thuế chưa phân phối > Năm trước > 893.787.588.711 > (644.982.770.000),numeric__Lợi ích cổ đông không kiểm soát > Năm trước > 38.062.327.941 > -,numeric__Đơn vị tính: VND > Năm trước > 2.992.799.766.652 > -
- Chia cổ tức,- Chia cổ tức,- Chia cổ tức,-,-,-,-,(7.391.433.189),(7.391.433.189),,,,,-7391433189.0,-7391433189.0
- Lợi nhuận thuần trong năm,- Lợi nhuận thuần trong năm,- Lợi nhuận thuần trong năm,-,-,-,92.293.322.388,5.318.156.823,97.611.479.211,,,,92293322388.0,5318156823.0,97611479211.0
- Trích quỹ khen thưởng phúc lợi,- Trích quỹ khen thưởng phúc lợi,- Trích quỹ khen thưởng phúc lợi,-,-,-,(19.748.623.225),-,(19.748.623.225),,,,-19748623225.0,,-19748623225.0
- Trích lập quỹ khác,- Trích lập quỹ khác,- Trích lập quỹ khác,-,-,580.012.025,(446.609.259),(133.402.766),-,,,580012025.0,-446609259.0,-133402766.0,
- Thù lao HĐQT,- Thù lao HĐQT,- Thù lao HĐQT,-,-,-,(6.402.905.575),(124.912.882),(6.527.818.457),,,,-6402905575.0,-124912882.0,-6527818457.0
- Tăng tỷ lệ sở hữu trong công ty con hiện hữu,- Tăng tỷ lệ sở hữu trong công ty con hiện hữu,- Tăng tỷ lệ sở hữu trong công ty con hiện hữu,-,-,-,8.535.690.655,(7.155.690.655),1.380.000.000,,,,8535690655.0,-7155690655.0,1380000000.0
- Chuyển nhượng một phần sở hữu trong công ty con nhưng không mất quyền kiểm soát,- Chuyển nhượng một phần sở hữu trong công ty con nhưng không mất quyền kiểm soát,- Chuyển nhượng một phần sở hữu trong công ty con nhưng không mất quyền kiểm soát,-,-,-,193.394.614.808,369.425.385.192,562.820.000.000,,,,193394614808.0,369425385192.0,562820000000.0
Số cuối năm,Số cuối năm,Số cuối năm,2.644.945.820.000,60.986.800.000,580.012.025,516.430.308.503,398.000.430.464,3.620.943.370.992,2644945820000.0,60986800000.0,580012025.0,516430308503.0,398000430464.0,3620943370992.0
