row_label_raw,row_label_full,col_0,Số cuối năm,Đơn vị tính: VND Số đầu năm,numeric__Số cuối năm,numeric__Đơn vị tính: VND Số đầu năm
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,
Đặt cọc theo hợp đồng nhận chuyển nhượng cổ phần (i),Ngắn hạn > Đặt cọc theo hợp đồng nhận chuyển nhượng cổ phần (i),Đặt cọc theo hợp đồng nhận chuyển nhượng cổ phần (i),430.775.600.000,-,430775600000.0,
Đặt cọc theo hợp đồng nhận chuyển nhượng dự án (ii),Ngắn hạn > Đặt cọc theo hợp đồng nhận chuyển nhượng dự án (ii),Đặt cọc theo hợp đồng nhận chuyển nhượng dự án (ii),407.771.456.000,349.242.714.823,407771456000.0,349242714823.0
Phải thu theo các hợp đồng hợp tác và biển bản thỏa thuận (iii),Ngắn hạn > Phải thu theo các hợp đồng hợp tác và biển bản thỏa thuận (iii),Phải thu theo các hợp đồng hợp tác và biển bản thỏa thuận (iii),182.730.472.302,50.149.362.338,182730472302.0,50149362338.0
Phải thu theo các biển bản thanh lý thỏa thuận đặt cọc hợp tác đầu tư (iv),Ngắn hạn > Phải thu theo các biển bản thanh lý thỏa thuận đặt cọc hợp tác đầu tư (iv),Phải thu theo các biển bản thanh lý thỏa thuận đặt cọc hợp tác đầu tư (iv),41.648.090.000,829.300.000.000,41648090000.0,829300000000.0
Đặt cọc cho mục đích môi giới và phân phối bất động sản,Ngắn hạn > Đặt cọc cho mục đích môi giới và phân phối bất động sản,Đặt cọc cho mục đích môi giới và phân phối bất động sản,-,105.745.811.312,,105745811312.0
Tạm ứng (v),Ngắn hạn > Tạm ứng (v),Tạm ứng (v),376.111.848.934,94.081.418.610,376111848934.0,94081418610.0
Phải thu ngắn hạn khác,Ngắn hạn > Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,14.387.968.481,20.780.042.767,14387968481.0,20780042767.0
TỔNG CỘNG,Ngắn hạn > TỔNG CỘNG,TỔNG CỘNG,1.453.425.435.717,1.449.299.349.850,1453425435717.0,1449299349850.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Phải thu khác ngắn hạn từ các đối tác doanh nghiệp,Trong đó: > Phải thu khác ngắn hạn từ các đối tác doanh nghiệp,Phải thu khác ngắn hạn từ các đối tác doanh nghiệp,953.788.546.083,1.447.445.083.183,953788546083.0,1447445083183.0
Phải thu khác ngắn hạn từ các bên liên quan (Thuyết minh số 35),Trong đó: > Phải thu khác ngắn hạn từ các bên liên quan (Thuyết minh số 35),Phải thu khác ngắn hạn từ các bên liên quan (Thuyết minh số 35),499.636.889.634,1.854.266.667,499636889634.0,1854266667.0
Dự phòng phải thu khác ngắn hạn khó đòi,Dự phòng phải thu khác ngắn hạn khó đòi,Dự phòng phải thu khác ngắn hạn khó đòi,-,-,,
Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,,
Phải thu theo các hợp đồng hợp tác đầu tư (vi),Dài hạn > Phải thu theo các hợp đồng hợp tác đầu tư (vi),Phải thu theo các hợp đồng hợp tác đầu tư (vi),547.000.000.000,197.000.000.000,547000000000.0,197000000000.0
Ký quỹ thực hiện dự án (vii),Dài hạn > Ký quỹ thực hiện dự án (vii),Ký quỹ thực hiện dự án (vii),15.672.000.000,98.346.015.364,15672000000.0,98346015364.0
Phải thu dài hạn khác,Dài hạn > Phải thu dài hạn khác,Phải thu dài hạn khác,41.000.000,5.000.000,41000000.0,5000000.0
TỔNG CỘNG,Dài hạn > TỔNG CỘNG,TỔNG CỘNG,562.713.000.000,295.351.015.364,562713000000.0,295351015364.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Phải thu khác dài hạn từ các đối tác doanh nghiệp,Trong đó: > Phải thu khác dài hạn từ các đối tác doanh nghiệp,Phải thu khác dài hạn từ các đối tác doanh nghiệp,15.713.000.000,98.351.015.364,15713000000.0,98351015364.0
Phải thu khác dài hạn từ các bên liên quan (Thuyết minh số 35),Trong đó: > Phải thu khác dài hạn từ các bên liên quan (Thuyết minh số 35),Phải thu khác dài hạn từ các bên liên quan (Thuyết minh số 35),547.000.000.000,197.000.000.000,547000000000.0,197000000000.0
Dự phòng phải thu khác dài hạn khó đòi,Dự phòng phải thu khác dài hạn khó đòi,Dự phòng phải thu khác dài hạn khó đòi,-,-,,
