row_label_raw,row_label_full,Bên liên quan > Phải trả người bán ngắn hạn (Thuyết minh số 19.1) > Công ty ĐT vàKD BĐS Hải Phát,"Mối quan hệ > Phải trả người bán ngắn hạn (Thuyết minh số 19.1) > Công ty con đếnngày 29 tháng12 năm 2021,công ty liên kếttừ ngày 30 tháng12 năm 2021",Nội dung nghiệp vụ > Phải trả người bán ngắn hạn (Thuyết minh số 19.1) > Phải trả phí môi giới,Số cuối năm > Phải trả người bán ngắn hạn (Thuyết minh số 19.1) > 1.616.755.280,Số đầu năm > Phải trả người bán ngắn hạn (Thuyết minh số 19.1) > -,"numeric__Mối quan hệ > Phải trả người bán ngắn hạn (Thuyết minh số 19.1) > Công ty con đếnngày 29 tháng12 năm 2021,công ty liên kếttừ ngày 30 tháng12 năm 2021",numeric__Nội dung nghiệp vụ > Phải trả người bán ngắn hạn (Thuyết minh số 19.1) > Phải trả phí môi giới,numeric__Số cuối năm > Phải trả người bán ngắn hạn (Thuyết minh số 19.1) > 1.616.755.280,numeric__Số đầu năm > Phải trả người bán ngắn hạn (Thuyết minh số 19.1) > -
Công ty Hải PhátThủ Đô,Công ty Hải PhátThủ Đô,Công ty Hải PhátThủ Đô,Công ty liênquan của thànhviên HĐQT,"Phải trả tiền điện,thuê mặt bằng",-,2.533.887.608,,,,2533887608.0
Công ty Cổ phầnDịch vụ An NinhANTV,Công ty Cổ phầnDịch vụ An NinhANTV,Công ty Cổ phầnDịch vụ An NinhANTV,Công ty có cùngthành viên quảnlý chủ chốt vớicông ty con,"Phải trả dịch vụ anninh, bảo vệ",2.682.956.400,-,,,2682956400.0,
Các công ty khác,Các công ty khác,Các công ty khác,Bên liên quan,Phải trả khác,120.560.705,1.185.093.462,,,120560705.0,1185093462.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,,,4.420.272.385,3.718.981.070,,,4420272385.0,3718981070.0
