row_label_raw,row_label_full,col_0,Số cuối năm,Đơn vị tính: VND Số đầu năm,numeric__Số cuối năm,numeric__Đơn vị tính: VND Số đầu năm
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,
Chi phí môi giới liên quan đến các căn hộ chưa bàn giao,Ngắn hạn > Chi phí môi giới liên quan đến các căn hộ chưa bàn giao,Chi phí môi giới liên quan đến các căn hộ chưa bàn giao,1.469.777.528,1.733.045.609,1469777528.0,1733045609.0
"Công cụ, dụng cụ","Ngắn hạn > Công cụ, dụng cụ","Công cụ, dụng cụ",178.248.280,1.961.199.529,178248280.0,1961199529.0
"Thuế TNDN tạm tính cho các khoản thanh toán trước tiền mua căn hộ, biệt thực của khách hàng","Ngắn hạn > Thuế TNDN tạm tính cho các khoản thanh toán trước tiền mua căn hộ, biệt thực của khách hàng","Thuế TNDN tạm tính cho các khoản thanh toán trước tiền mua căn hộ, biệt thực của khách hàng",-,2.782.826.890,,2782826890.0
TỔNG CỘNG,Ngắn hạn > TỔNG CỘNG,TỔNG CỘNG,1.648.025.808,6.477.072.028,1648025808.0,6477072028.0
Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,,
Chi phí sửa chữa lớn,Dài hạn > Chi phí sửa chữa lớn,Chi phí sửa chữa lớn,3.572.649.620,7.050.694.637,3572649620.0,7050694637.0
Chi phí thuê mặt bằng,Dài hạn > Chi phí thuê mặt bằng,Chi phí thuê mặt bằng,3.127.059.866,-,3127059866.0,
"Công cụ, dụng cụ","Dài hạn > Công cụ, dụng cụ","Công cụ, dụng cụ",1.414.378.247,9.524.849.372,1414378247.0,9524849372.0
Chi phí bảo trì phần mềm trả trước,Dài hạn > Chi phí bảo trì phần mềm trả trước,Chi phí bảo trì phần mềm trả trước,831.885.481,957.499.996,831885481.0,957499996.0
TỔNG CỘNG,Dài hạn > TỔNG CỘNG,TỔNG CỘNG,8.945.973.214,17.533.044.005,8945973214.0,17533044005.0
