row_label_raw,row_label_full,Bên liên quan > Phải thu ngắn hạn của khách hàng (Thuyết minh số 7.1),Mối quan hệ > Phải thu ngắn hạn của khách hàng (Thuyết minh số 7.1),Nội dung nghiệp vụ > Phải thu ngắn hạn của khách hàng (Thuyết minh số 7.1),Số cuối năm > Phải thu ngắn hạn của khách hàng (Thuyết minh số 7.1),Số đầu năm > Phải thu ngắn hạn của khách hàng (Thuyết minh số 7.1),numeric__Mối quan hệ > Phải thu ngắn hạn của khách hàng (Thuyết minh số 7.1),numeric__Nội dung nghiệp vụ > Phải thu ngắn hạn của khách hàng (Thuyết minh số 7.1),numeric__Số cuối năm > Phải thu ngắn hạn của khách hàng (Thuyết minh số 7.1),numeric__Số đầu năm > Phải thu ngắn hạn của khách hàng (Thuyết minh số 7.1)
Công ty Hải PhátThủ Đỏ,Công ty Hải PhátThủ Đỏ,Công ty Hải PhátThủ Đỏ,Công ty liên quancủa thành viênHĐQT,Phải thu từ hoạtđộng môi giới,-,19.543.221.938,,,,19543221938.0
Công ty Hải PhátThủ Đỏ,Công ty Hải PhátThủ Đỏ,Công ty Hải PhátThủ Đỏ,Công ty liên quancủa thành viênHĐQT,Phải thu phí dịch vụquản lý toả nhà,3.659.741.014,2.778.150.288,,,3659741014.0,2778150288.0
Công ty Hải PhátThủ Đỏ,Công ty Hải PhátThủ Đỏ,Công ty Hải PhátThủ Đỏ,Công ty liên quancủa thành viênHĐQT,Phải thu từ hoạt độngcho thuê,-,6.811.815.617,,,,6811815617.0
Công ty Hải PhátThủ Đỏ,Công ty Hải PhátThủ Đỏ,Công ty Hải PhátThủ Đỏ,Công ty liên quancủa thành viênHĐQT,"Phải thu tiền điệnnước, phí gửi xe",-,24.081.934,,,,24081934.0
Công ty ĐT và KDBĐS Hải Phát,Công ty ĐT và KDBĐS Hải Phát,Công ty ĐT và KDBĐS Hải Phát,"Công ty con đếnngày 29 tháng 12năm 2021, côngty liên kết từ ngày30 tháng 12 năm2021",Phải thu phí thuê mặtbằng và dịch vụ khác,8.773.783.064,-,,,8773783064.0,
Công ty HP Land,Công ty HP Land,Công ty HP Land,Công ty có chungthành viên quảnlý chủ chốt vớicông ty con,Phải thu từ hoạt độngmôi giới,-,5.191.798.732,,,,5191798732.0
Công ty Đại ĐôngÁ,Công ty Đại ĐôngÁ,Công ty Đại ĐôngÁ,Công ty liên quancủa thành viênHĐQT,Phải thu dịch vụ môigiới,-,3.320.934.537,,,,3320934537.0
Ông Đỗ QuýChiến,Ông Đỗ QuýChiến,Ông Đỗ QuýChiến,Cá nhân liènquan của chủ tịchHĐQT,Phải thu từ hoạt độngchuyển nhượng bấtđộng sản,3.718.443.043,-,,,3718443043.0,
Công ty Cổ phầnHải Phát Kinh Bắc,Công ty Cổ phầnHải Phát Kinh Bắc,Công ty Cổ phầnHải Phát Kinh Bắc,Công ty có cùngthành viên quảnlý chủ chốt,Phải thu về cho thuêmặt bằng,240.135.300,-,,,240135300.0,
Các công ty khác,Các công ty khác,Các công ty khác,Bên liên quan,Phải thu từ cung cấpdịch vụ,745.678.967,578.134.158,,,745678967.0,578134158.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,,,17.137.781.388,38.248.137.204,,,17137781388.0,38248137204.0
Trà trước cho người bán ngắn hạn (Thuyết minh số 7.2),Trà trước cho người bán ngắn hạn (Thuyết minh số 7.2),Trà trước cho người bán ngắn hạn (Thuyết minh số 7.2),Trà trước cho người bán ngắn hạn (Thuyết minh số 7.2),Trà trước cho người bán ngắn hạn (Thuyết minh số 7.2),Trà trước cho người bán ngắn hạn (Thuyết minh số 7.2),Trà trước cho người bán ngắn hạn (Thuyết minh số 7.2),,,,
Công ty Cienco 5,Trà trước cho người bán ngắn hạn (Thuyết minh số 7.2) > Công ty Cienco 5,Công ty Cienco 5,Công ty có chungthành viên chủchốt,Chi phí xây dựng,1.723.226.000,-,,,1723226000.0,
TỔNG CỘNG,Trà trước cho người bán ngắn hạn (Thuyết minh số 7.2) > TỔNG CỘNG,TỔNG CỘNG,,,1.723.226.000,-,,,1723226000.0,
