row_label_raw,row_label_full,col_0,Đơn vị tính: VND > Năm nay,Đơn vị tính: VND > Năm trước,numeric__Đơn vị tính: VND > Năm nay,numeric__Đơn vị tính: VND > Năm trước
Chi phí bán hàng,Chi phí bán hàng,Chi phí bán hàng,Chi phí bán hàng,Chi phí bán hàng,,
- Chi phí hoa hồng môi giới,Chi phí bán hàng > - Chi phí hoa hồng môi giới,- Chi phí hoa hồng môi giới,4.919.487.675,15.858.796.163,4919487675.0,15858796163.0
- Chi phí dịch vụ mua ngoài,Chi phí bán hàng > - Chi phí dịch vụ mua ngoài,- Chi phí dịch vụ mua ngoài,6.101.436.323,4.639.534.028,6101436323.0,4639534028.0
- Chi phí nhân viên,Chi phí bán hàng > - Chi phí nhân viên,- Chi phí nhân viên,6.711.889.048,4.243.326.169,6711889048.0,4243326169.0
"- Chi phí quảng cáo, khuyến mãi","Chi phí bán hàng > - Chi phí quảng cáo, khuyến mãi","- Chi phí quảng cáo, khuyến mãi",8.941.066.416,1.141.617.338,8941066416.0,1141617338.0
- Chi phí bán hàng khác,Chi phí bán hàng > - Chi phí bán hàng khác,- Chi phí bán hàng khác,150.524.702,58.948.050,150524702.0,58948050.0
,,,26.824.404.164,25.942.221.748,26824404164.0,25942221748.0
Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,,
- Chi phí nhân viên,Chi phí quản lý doanh nghiệp > - Chi phí nhân viên,- Chi phí nhân viên,74.420.407.120,55.305.745.340,74420407120.0,55305745340.0
- Chi phí dịch vụ mua ngoài,Chi phí quản lý doanh nghiệp > - Chi phí dịch vụ mua ngoài,- Chi phí dịch vụ mua ngoài,37.765.834.111,37.684.465.450,37765834111.0,37684465450.0
- Chi phí khấu hao và hao mòn,Chi phí quản lý doanh nghiệp > - Chi phí khấu hao và hao mòn,- Chi phí khấu hao và hao mòn,8.064.624.269,4.578.823.392,8064624269.0,4578823392.0
- Trích lập dự phòng,Chi phí quản lý doanh nghiệp > - Trích lập dự phòng,- Trích lập dự phòng,-,9.076.033.942,,9076033942.0
- Chi phí quản lý doanh nghiệp khác,Chi phí quản lý doanh nghiệp > - Chi phí quản lý doanh nghiệp khác,- Chi phí quản lý doanh nghiệp khác,16.641.512.012,11.128.231.228,16641512012.0,11128231228.0
,,,136.892.377.512,117.773.299.352,136892377512.0,117773299352.0
TỔNG CỘNG,Chi phí quản lý doanh nghiệp > TỔNG CỘNG,TỔNG CỘNG,163.716.781.676,143.715.521.100,163716781676.0,143715521100.0
