row_label_raw,row_label_full,col_0,Ngày 31 tháng 12 năm 2023(trình bày lại) > Phải thuVND,Ngày 31 tháng 12 năm 2023(trình bày lại) > Phải nộpVND,Số phải nộptrong nămVND,Số đã nộptrong nămVND,Ngày 31 tháng 12 năm 2024 > Phải thuVND,Ngày 31 tháng 12 năm 2024 > Phải nộpVND,numeric__Ngày 31 tháng 12 năm 2023(trình bày lại) > Phải thuVND,numeric__Ngày 31 tháng 12 năm 2023(trình bày lại) > Phải nộpVND,numeric__Số phải nộptrong nămVND,numeric__Số đã nộptrong nămVND,numeric__Ngày 31 tháng 12 năm 2024 > Phải thuVND,numeric__Ngày 31 tháng 12 năm 2024 > Phải nộpVND
Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,(4.788.139.706),-,-,-,(4.788.139.706),-,-4788139706.0,,,,-4788139706.0,
Thuế GTGT được khấu trừ,Thuế GTGT được khấu trừ,Thuế GTGT được khấu trừ,(24.051.688.981),-,29.623.424.883,(5.571.735.902),-,-,-24051688981.0,,29623424883.0,-5571735902.0,,
Thuế GTGT của dự ánđầu tư,Thuế GTGT của dự ánđầu tư,Thuế GTGT của dự ánđầu tư,(24.051.688.981),-,24.051.688.981,-,-,-,-24051688981.0,,24051688981.0,,,
Thuế GTGT hàng bán nộiđịa được khấu trừ củađịch vụ CNTT,Thuế GTGT hàng bán nộiđịa được khấu trừ củađịch vụ CNTT,Thuế GTGT hàng bán nộiđịa được khấu trừ củađịch vụ CNTT,-,-,5.571.735.902,(5.571.735.902),-,-,,,5571735902.0,-5571735902.0,,
Thuế GTGT hàng bán nộiđịa của dịch vụ khác,Thuế GTGT hàng bán nộiđịa của dịch vụ khác,Thuế GTGT hàng bán nộiđịa của dịch vụ khác,-,4.059.959.931,26.583.655.509,(26.771.533.965),-,3.872.081.475,,4059959931.0,26583655509.0,-26771533965.0,,3872081475.0
Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,-,1.714.949.872,25.823.064.213,(25.939.332.959),-,1.598.681.126,,1714949872.0,25823064213.0,-25939332959.0,,1598681126.0
Các loại thuế khác,Các loại thuế khác,Các loại thuế khác,(17.929.009),194.108.971,13.672.578.841,(13.717.227.276),(11.054.150),142.585.677,-17929009.0,194108971.0,13672578841.0,-13717227276.0,-11054150.0,142585677.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,(28.857.757.696),5.969.018.774,95.702.723.446,(71.999.830.102),(4.799.193.856),5.613.348.278,-28857757696.0,5969018774.0,95702723446.0,-71999830102.0,-4799193856.0,5613348278.0
