row_label_raw,row_label_full,col_0,Thuyết minh,Ngày 31 tháng 12 năm 2024 VND,Ngày 31 tháng 12 năm 2023 (trình bày lại) VND,numeric__Thuyết minh,numeric__Ngày 31 tháng 12 năm 2024 VND,numeric__Ngày 31 tháng 12 năm 2023 (trình bày lại) VND
Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,,,
Phải thu từ hoạt động đầu tư,Phải thu ngắn hạn của khách hàng > Phải thu từ hoạt động đầu tư,Phải thu từ hoạt động đầu tư,7.1,1.731.539.104.108,1.208.478.616.426,71.0,1731539104108.0,1208478616426.0
Phải thu từ các hoạt động khác,Phải thu ngắn hạn của khách hàng > Phải thu từ các hoạt động khác,Phải thu từ các hoạt động khác,7.2,63.454.748.382,62.975.595.405,72.0,63454748382.0,62975595405.0
,,,,1.794.993.852.490,1.271.454.211.831,,1794993852490.0,1271454211831.0
Trả trước cho người bán ngắn hạn,Trả trước cho người bán ngắn hạn,Trả trước cho người bán ngắn hạn,Trả trước cho người bán ngắn hạn,Trả trước cho người bán ngắn hạn,Trả trước cho người bán ngắn hạn,,,
Công ty Cổ phần Phát triển Xây dựng và Đầu tư Thương mại An PhátBVSC,Trả trước cho người bán ngắn hạn > Công ty Cổ phần Phát triển Xây dựng và Đầu tư Thương mại An PhátBVSC,Công ty Cổ phần Phát triển Xây dựng và Đầu tư Thương mại An PhátBVSC,,5.089.013.13050.000.000,-50.000.000,,5.0890131305e+17,-50000000.0
Công ty Cổ phần Giải phápEnterprisenao,Trả trước cho người bán ngắn hạn > Công ty Cổ phần Giải phápEnterprisenao,Công ty Cổ phần Giải phápEnterprisenao,,-,244.125.000,,,244125000.0
Công ty Cổ phần Đầu tư Thương mại và sản xuất An Phúc Minh,Trả trước cho người bán ngắn hạn > Công ty Cổ phần Đầu tư Thương mại và sản xuất An Phúc Minh,Công ty Cổ phần Đầu tư Thương mại và sản xuất An Phúc Minh,,-,240.075.000,,,240075000.0
Trả trước cho người bán ngắn hạn khác,Trả trước cho người bán ngắn hạn > Trả trước cho người bán ngắn hạn khác,Trả trước cho người bán ngắn hạn khác,,3.951.733.429,133.740.000,,3951733429.0,133740000.0
,,,,9.090.746.559,667.940.000,,9090746559.0,667940000.0
Phải thu ngắn hạn khác,Trả trước cho người bán ngắn hạn > Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,7.3,5.002.601.494,5.131.740.806,73.0,5002601494.0,5131740806.0
TỔNG CỘNG,Trả trước cho người bán ngắn hạn > TỔNG CỘNG,TỔNG CỘNG,,1.809.087.200.543,1.277.253.892.637,,1809087200543.0,1277253892637.0
Phải thu từ hoạt động đầu tư,Phải thu từ hoạt động đầu tư,Phải thu từ hoạt động đầu tư,Phải thu từ hoạt động đầu tư,Phải thu từ hoạt động đầu tư,Phải thu từ hoạt động đầu tư,,,
,,,,Ngày 31 tháng 12 năm 2024 VND,Ngày 31 tháng 12 năm 2023 VND,,,
Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,,,
Dự thu lãi tiền gửi,Phải thu > Dự thu lãi tiền gửi,Dự thu lãi tiền gửi,,24.307.200.008,5.074.712.326,,24307200008.0,5074712326.0
"Dự thu cổ tức, lợi nhuận được chia","Phải thu > Dự thu cổ tức, lợi nhuận được chia","Dự thu cổ tức, lợi nhuận được chia",,1.707.231.904.100,1.203.403.904.100,,1707231904100.0,1203403904100.0
Lợi nhuận từ Bảo Việt Nhân thọ,Phải thu > Lợi nhuận từ Bảo Việt Nhân thọ,Lợi nhuận từ Bảo Việt Nhân thọ,,1.426.198.904.100,838.430.904.100,,1426198904100.0,838430904100.0
Lợi nhuận từ Bảo hiểm Bảo Việt,Phải thu > Lợi nhuận từ Bảo hiểm Bảo Việt,Lợi nhuận từ Bảo hiểm Bảo Việt,,170.993.000.000,242.721.000.000,,170993000000.0,242721000000.0
Lợi nhuận từ BVF,Phải thu > Lợi nhuận từ BVF,Lợi nhuận từ BVF,,66.695.000.000,70.218.000.000,,66695000000.0,70218000000.0
Lợi nhuận từ BVInvest,Phải thu > Lợi nhuận từ BVInvest,Lợi nhuận từ BVInvest,,7.645.000.000,10.034.000.000,,7645000000.0,10034000000.0
Cổ tức từ BVIF,Phải thu > Cổ tức từ BVIF,Cổ tức từ BVIF,,35.700.000.000,42.000.000.000,,35700000000.0,42000000000.0
TỔNG CỘNG,Phải thu > TỔNG CỘNG,TỔNG CỘNG,,1.731.539.104.108,1.208.478.616.426,,1731539104108.0,1208478616426.0
