row_label_raw,row_label_full,col_0,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2024 VND,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2023 VND,numeric__Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2024 VND,numeric__Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2023 VND
Chi phí hoạt động tài chính,Chi phí hoạt động tài chính,Chi phí hoạt động tài chính,(4.154.176.695),(3.585.265.010),-4154176695.0,-3585265010.0
- Hoàn nhập dự phòng giảm giá đầu tư,- Hoàn nhập dự phòng giảm giá đầu tư,- Hoàn nhập dự phòng giảm giá đầu tư,(4.529.167.223),(3.896.706.206),-4529167223.0,-3896706206.0
- Chi phí lãi vay và chi phí tài chính khác,- Chi phí lãi vay và chi phí tài chính khác,- Chi phí lãi vay và chi phí tài chính khác,374.990.528,311.441.196,374990528.0,311441196.0
Chi phí nhân viên,Chi phí nhân viên,Chi phí nhân viên,81.880.633.230,81.215.334.155,81880633230.0,81215334155.0
Chi phí khấu hao và hao mòn,Chi phí khấu hao và hao mòn,Chi phí khấu hao và hao mòn,117.958.998.814,107.695.500.891,117958998814.0,107695500891.0
Chi phí mua ngoài hoạt động CNTT,Chi phí mua ngoài hoạt động CNTT,Chi phí mua ngoài hoạt động CNTT,79.037.789.858,75.409.464.976,79037789858.0,75409464976.0
Tiền thuê đất,Tiền thuê đất,Tiền thuê đất,9.967.278.849,14.032.599.875,9967278849.0,14032599875.0
Chi phí đào tạo,Chi phí đào tạo,Chi phí đào tạo,1.646.709.119,1.806.231.196,1646709119.0,1806231196.0
Chi phí quản lý tòa nhà,Chi phí quản lý tòa nhà,Chi phí quản lý tòa nhà,3.455.887.614,2.704.681.804,3455887614.0,2704681804.0
Chi khác,Chi khác,Chi khác,36.699.606.530,36.926.752.741,36699606530.0,36926752741.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,326.492.727.319,316.205.300.628,326492727319.0,316205300628.0
