row_label_raw,row_label_full,Giá trị ghi sổ > Nguyên giá VND,Giá trị ghi sổ > Dự phòng giảm giá trị VND,Giá trị ghi sổ > Giá trị thuần VND,Giá trị hợp lý > VND,numeric__Giá trị ghi sổ > Dự phòng giảm giá trị VND,numeric__Giá trị ghi sổ > Giá trị thuần VND,numeric__Giá trị hợp lý > VND
62.063.124.199,62.063.124.199,62.063.124.199,-,62.063.124.199,123.921.900.000,,62063124199.0,123921900000.0
62.063.124.199,62.063.124.199,62.063.124.199,-,62.063.124.199,123.921.900.000,,62063124199.0,123921900000.0
2.945.941.083.570,2.945.941.083.570,2.945.941.083.570,(318.709.500.000),2.627.231.583.570,2.689.293.167.123,-318709500000.0,2627231583570.0,2689293167123.0
2.791.231.583.570,2.791.231.583.570,2.791.231.583.570,(164.000.000.000),2.627.231.583.570,2.689.293.167.123,-164000000000.0,2627231583570.0,2689293167123.0
154.709.500.000,154.709.500.000,154.709.500.000,(154.709.500.000),-,-,-154709500000.0,,
521.335.637.261,521.335.637.261,521.335.637.261,(36.126.746.523),485.208.890.738,1.165.144.988.825,-36126746523.0,485208890738.0,1165144988825.0
1.775.497.782.182,1.775.497.782.182,1.775.497.782.182,-,1.775.497.782.182,1.775.497.782.182,,1775497782182.0,1775497782182.0
63.454.748.382,63.454.748.382,63.454.748.382,-,63.454.748.382,63.454.748.382,,63454748382.0,63454748382.0
1.707.231.904.100,1.707.231.904.100,1.707.231.904.100,-,1.707.231.904.100,1.707.231.904.100,,1707231904100.0,1707231904100.0
4.811.129.700,4.811.129.700,4.811.129.700,-,4.811.129.700,4.811.129.700,,4811129700.0,4811129700.0
121.632.333.139,121.632.333.139,121.632.333.139,-,121.632.333.139,121.632.333.139,,121632333139.0,121632333139.0
5.426.469.960.351,5.426.469.960.351,5.426.469.960.351,(354.836.246.523),5.071.633.713.828,5.875.490.171.269,-354836246523.0,5071633713828.0,5875490171269.0
