row_label_raw,row_label_full,col_0,Quyền sử dụng đất (*) VND,Phần mềm máy tính VND,Tổng cộng VND,numeric__Quyền sử dụng đất (*) VND,numeric__Phần mềm máy tính VND,numeric__Tổng cộng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,
Ngày 31 tháng 12 năm 2023,Nguyên giá > Ngày 31 tháng 12 năm 2023,Ngày 31 tháng 12 năm 2023,63.135.267.200,506.471.120.331,569.606.387.531,63135267200.0,506471120331.0,569606387531.0
- Mua trong năm,Nguyên giá > - Mua trong năm,- Mua trong năm,-,14.523.030.000,14.523.030.000,,14523030000.0,14523030000.0
- Đầu tư XDCB hoàn thành,Nguyên giá > - Đầu tư XDCB hoàn thành,- Đầu tư XDCB hoàn thành,239.753.506.863,-,239.753.506.863,239753506863.0,,239753506863.0
Ngày 31 tháng 12 năm 2024,Nguyên giá > Ngày 31 tháng 12 năm 2024,Ngày 31 tháng 12 năm 2024,302.888.774.063,520.994.150.331,823.882.924.394,302888774063.0,520994150331.0,823882924394.0
Trong đó:Đã hết hao mòn,Nguyên giá > Trong đó:Đã hết hao mòn,Trong đó:Đã hết hao mòn,-,98.877.001.965,98.877.001.965,,98877001965.0,98877001965.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,
Ngày 31 tháng 12 năm 2023,Giá trị hao mòn lũy kế > Ngày 31 tháng 12 năm 2023,Ngày 31 tháng 12 năm 2023,34.386.168.496,289.590.943.442,323.977.111.938,34386168496.0,289590943442.0,323977111938.0
- Hao mòn trong năm,Giá trị hao mòn lũy kế > - Hao mòn trong năm,- Hao mòn trong năm,33.675.254.118,57.174.048.463,90.849.302.581,33675254118.0,57174048463.0,90849302581.0
Ngày 31 tháng 12 năm 2024,Giá trị hao mòn lũy kế > Ngày 31 tháng 12 năm 2024,Ngày 31 tháng 12 năm 2024,68.061.422.614,346.764.991.905,414.826.414.519,68061422614.0,346764991905.0,414826414519.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,
Ngày 31 tháng 12 năm 2023,Giá trị còn lại > Ngày 31 tháng 12 năm 2023,Ngày 31 tháng 12 năm 2023,28.749.098.704,216.880.176.889,245.629.275.593,28749098704.0,216880176889.0,245629275593.0
Ngày 31 tháng 12 năm 2024,Giá trị còn lại > Ngày 31 tháng 12 năm 2024,Ngày 31 tháng 12 năm 2024,234.827.351.449,174.229.158.426,409.056.509.875,234827351449.0,174229158426.0,409056509875.0
"(*) Đối với phần diện tích chưa sử dụng đến tại Tòa nhà Tập đoàn Bảo Việt, Tập đoàn đã cho các công ty con thuê để làm văn phòng.","(*) Đối với phần diện tích chưa sử dụng đến tại Tòa nhà Tập đoàn Bảo Việt, Tập đoàn đã cho các công ty con thuê để làm văn phòng.","(*) Đối với phần diện tích chưa sử dụng đến tại Tòa nhà Tập đoàn Bảo Việt, Tập đoàn đã cho các công ty con thuê để làm văn phòng.","(*) Đối với phần diện tích chưa sử dụng đến tại Tòa nhà Tập đoàn Bảo Việt, Tập đoàn đã cho các công ty con thuê để làm văn phòng.","(*) Đối với phần diện tích chưa sử dụng đến tại Tòa nhà Tập đoàn Bảo Việt, Tập đoàn đã cho các công ty con thuê để làm văn phòng.","(*) Đối với phần diện tích chưa sử dụng đến tại Tòa nhà Tập đoàn Bảo Việt, Tập đoàn đã cho các công ty con thuê để làm văn phòng.",,,
