row_label_raw,row_label_full,col_0,Cho năm tài chínhkết thúc ngày 31tháng 12 năm 2024VND,Cho năm tài chínhkết thúc ngày 31tháng 12 năm 2023(trình bày lại)VND,numeric__Cho năm tài chínhkết thúc ngày 31tháng 12 năm 2024VND,numeric__Cho năm tài chínhkết thúc ngày 31tháng 12 năm 2023(trình bày lại)VND
Chi phí nhân viên,Chi phí nhân viên,Chi phí nhân viên,69.609.206.120,60.955.911.782,69609206120.0,60955911782.0
Chi phí vật liệu quản lý và đồ dùng văn phòng,Chi phí vật liệu quản lý và đồ dùng văn phòng,Chi phí vật liệu quản lý và đồ dùng văn phòng,1.134.510.427,1.287.971.622,1134510427.0,1287971622.0
Chi phí khấu hao và hao mòn tài sản cố định,Chi phí khấu hao và hao mòn tài sản cố định,Chi phí khấu hao và hao mòn tài sản cố định,20.131.004.938,4.997.468.416,20131004938.0,4997468416.0
"Thuế, phí, lệ phí","Thuế, phí, lệ phí","Thuế, phí, lệ phí",248.786.523,89.244.376,248786523.0,89244376.0
Tiền thuê đất,Tiền thuê đất,Tiền thuê đất,1.999.215.271,1.912.569.471,1999215271.0,1912569471.0
Chi phí tư vấn,Chi phí tư vấn,Chi phí tư vấn,4.057.451.440,4.015.101.426,4057451440.0,4015101426.0
Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,46.083.148.380,30.346.109.171,46083148380.0,30346109171.0
"- Chi tuyển truyền, quảng cáo","- Chi tuyển truyền, quảng cáo","- Chi tuyển truyền, quảng cáo",8.211.300.407,5.984.191.235,8211300407.0,5984191235.0
- Chi phí thuê văn phòng,- Chi phí thuê văn phòng,- Chi phí thuê văn phòng,761.020.920,-,761020920.0,
- Chi khác,- Chi khác,- Chi khác,37.110.827.053,24.361.917.936,37110827053.0,24361917936.0
Chi phí quản lý khác,Chi phí quản lý khác,Chi phí quản lý khác,42.567.112.228,32.856.627.459,42567112228.0,32856627459.0
"- Các khoản trích theo lương, công tác phí","- Các khoản trích theo lương, công tác phí","- Các khoản trích theo lương, công tác phí",17.900.026.456,13.005.863.576,17900026456.0,13005863576.0
- Chi đảo tạo,- Chi đảo tạo,- Chi đảo tạo,251.945.592,208.697.363,251945592.0,208697363.0
"- Chi an sinh xã hội, tài trợ giáo dục, y tế","- Chi an sinh xã hội, tài trợ giáo dục, y tế","- Chi an sinh xã hội, tài trợ giáo dục, y tế",1.630.000.000,1.479.990.000,1630000000.0,1479990000.0
"- Chi bảo hiểm con người, bảo hiểm tài sản","- Chi bảo hiểm con người, bảo hiểm tài sản","- Chi bảo hiểm con người, bảo hiểm tài sản",6.718.227.210,6.033.462.579,6718227210.0,6033462579.0
- Chi khác,- Chi khác,- Chi khác,16.066.912.970,12.128.613.941,16066912970.0,12128613941.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,185.830.435.327,136.461.003.723,185830435327.0,136461003723.0
