row_label_raw,row_label_full,col_0,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2024 VND,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2023 VND,numeric__Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2024 VND,numeric__Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2023 VND
Doanh thu từ hoạt động đầu tư tài chính,Doanh thu từ hoạt động đầu tư tài chính,Doanh thu từ hoạt động đầu tư tài chính,1.335.524.771.437,1.222.197.177.103,1335524771437.0,1222197177103.0
- Lãi tiền gửi không kỳ hạn,- Lãi tiền gửi không kỳ hạn,- Lãi tiền gửi không kỳ hạn,186.934.003,342.743.300,186934003.0,342743300.0
- Lãi tiền gửi có kỳ hạn,- Lãi tiền gửi có kỳ hạn,- Lãi tiền gửi có kỳ hạn,96.336.559.013,121.110.768.615,96336559013.0,121110768615.0
- Cổ tức và lợi nhuận được chia,- Cổ tức và lợi nhuận được chia,- Cổ tức và lợi nhuận được chia,1.231.677.263.281,1.098.480.146.036,1231677263281.0,1098480146036.0
- Lãi chênh lệch tỷ giả chưa thực hiện,- Lãi chênh lệch tỷ giả chưa thực hiện,- Lãi chênh lệch tỷ giả chưa thực hiện,10.744.740,5.596.219,10744740.0,5596219.0
- Lãi khác hoạt động đầu tư,- Lãi khác hoạt động đầu tư,- Lãi khác hoạt động đầu tư,7.313.270.400,2.257.922.933,7313270400.0,2257922933.0
Dịch vụ đào tạo,Dịch vụ đào tạo,Dịch vụ đào tạo,2.193.853.274,2.095.878.089,2193853274.0,2095878089.0
Cho thuê văn phòng (*),Cho thuê văn phòng (*),Cho thuê văn phòng (*),101.875.953.254,95.954.677.266,101875953254.0,95954677266.0
Dịch vụ công nghệ thông tin,Dịch vụ công nghệ thông tin,Dịch vụ công nghệ thông tin,252.364.887.913,253.666.304.479,252364887913.0,253666304479.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,1.691.959.465.878,1.573.914.036.937,1691959465878.0,1573914036937.0
