row_label_raw,row_label_full,Bên liên quan,Phải thu/(phải trả),Ngày 31 tháng 12năm 2024VND,Ngày 31 tháng 12năm 2023VND,numeric__Phải thu/(phải trả),numeric__Ngày 31 tháng 12năm 2024VND,numeric__Ngày 31 tháng 12năm 2023VND
Công ty con (tiếp theo),Công ty con (tiếp theo),Công ty con (tiếp theo),Công ty con (tiếp theo),Công ty con (tiếp theo),Công ty con (tiếp theo),,,
BVSC,Công ty con (tiếp theo) > BVSC,BVSC,Tiền gửi giao dịch chứng khoán,49.922.686,3.736.872.648,,49922686.0,3736872648.0
BVSC,Công ty con (tiếp theo) > BVSC,BVSC,Phải thu chi phí CNTT,14.718.164,32.986.657,,14718164.0,32986657.0
BVSC,Công ty con (tiếp theo) > BVSC,BVSC,Phải thu khác,50.000.000,50.000.000,,50000000.0,50000000.0
BVSC,Công ty con (tiếp theo) > BVSC,BVSC,Phải thu tiền cho thuê văn phòng,-,1.271.655.000,,,1271655000.0
BVSC,Công ty con (tiếp theo) > BVSC,BVSC,Phải trả tiền đặt cọc thuê văn phòng,(897.022.170),(1.320.907.170),,-897022170.0,-1320907170.0
BVSC,Công ty con (tiếp theo) > BVSC,BVSC,Phải trả khác,(150.000.000),-,,-150000000.0,
B'Invest,Công ty con (tiếp theo) > B'Invest,B'Invest,Phải thu về lợi nhuận,7.645.000.000,10.034.000.000,,7645000000.0,10034000000.0
B'Invest,Công ty con (tiếp theo) > B'Invest,B'Invest,Phải thu chi phí CNTT,13.200.000,72.365.918,,13200000.0,72365918.0
B'Invest,Công ty con (tiếp theo) > B'Invest,B'Invest,Phải thu tiền cho thuê văn phòng và phí giữ xe,1.168.563.596,1.926.021.359,,1168563596.0,1926021359.0
B'Invest,Công ty con (tiếp theo) > B'Invest,B'Invest,Phải trả phí quản lý tòa nhà và thù lao ủy thác,(1.035.535.059),-,,-1035535059.0,
B'Invest,Công ty con (tiếp theo) > B'Invest,B'Invest,Phải trả khác,(150.244.676),(755.104.082),,-150244676.0,-755104082.0
B'Invest,Công ty con (tiếp theo) > B'Invest,B'Invest,Phải trả tiền đặt cọc thuê văn phòng,(16.932.736.542),(16.003.373.356),,-16932736542.0,-16003373356.0
"Công ty liên doanh, liên kết","Công ty liên doanh, liên kết","Công ty liên doanh, liên kết","Công ty liên doanh, liên kết","Công ty liên doanh, liên kết","Công ty liên doanh, liên kết",,,
Bảo Việt Bank,"Công ty liên doanh, liên kết > Bảo Việt Bank",Bảo Việt Bank,Số dư tiền gửi thanh toán,70.793.717.042,27.606.493.617,,70793717042.0,27606493617.0
Bảo Việt Bank,"Công ty liên doanh, liên kết > Bảo Việt Bank",Bảo Việt Bank,Số dư tiền gửi có kỳ hạn,600.000.000.000,525.000.000.000,,600000000000.0,525000000000.0
Bảo Việt Bank,"Công ty liên doanh, liên kết > Bảo Việt Bank",Bảo Việt Bank,Phải thu từ hoạt động đầu tư tiền gửi,5.158.882.194,855.775.342,,5158882194.0,855775342.0
Bảo Việt Bank,"Công ty liên doanh, liên kết > Bảo Việt Bank",Bảo Việt Bank,Phải thu chi phí CNTT,323.959.327,299.655.766,,323959327.0,299655766.0
Bảo Việt Bank,"Công ty liên doanh, liên kết > Bảo Việt Bank",Bảo Việt Bank,Phải trả tiền đặt cọc thuê văn phòng,(419.139.600),(419.139.600),,-419139600.0,-419139600.0
