row_label_raw,row_label_full,Mã số,CHỈ TIÊU,Thuyết minh,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2024,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2023,numeric__CHỈ TIÊU,numeric__Thuyết minh,numeric__Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2024,numeric__Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2023
01,01,01,I. LƯU CHUYẾN TIỀN TỪ HOẠT ĐỘNG KINH DOANH,,,,,,,
01,01 > 01,01,"1. Tiền thu từ bán hàng, cung cấp dịch vụ và doanh thu khác",,1.200.263.202.574,1.496.050.617.414,,,1200263202574.0,1496050617414.0
01,01 > 01,01,"- Thu lãi tiền gửi, lãi trái phiếu, thu từ bán chứng khoán kinh doanh, cổ tức và lợi nhuận được chia",,812.453.539.015,1.077.141.416.498,,,812453539015.0,1077141416498.0
01,01 > 01,01,- Tiền thu từ cung cấp dịch vụ khác,,387.809.663.559,418.909.200.916,,,387809663559.0,418909200916.0
02,01 > 02,02,"2. Tiền chi trả cho người cung cấp hàng hoá, dịch vụ",,(172.037.024.903),(153.656.471.393),,,-172037024903.0,-153656471393.0
03,01 > 03,03,3. Tiền chi trả cho người lao động,,(157.358.963.658),(146.967.117.476),,,-157358963658.0,-146967117476.0
04,01 > 04,04,4. Tiền lãi vay đã trả,,(659.175.312),(4.707.267.662),,,-659175312.0,-4707267662.0
05,01 > 05,05,5. Thuế thu nhập doanh nghiệp đã nộp,,-,(14.300.000.000),,,,-14300000000.0
06,01 > 06,06,6. Tiền thu khác từ hoạt động kinh doanh,,13.051.908.006,18.217.262.600,,,13051908006.0,18217262600.0
07,01 > 07,07,7. Tiền chi khác cho hoạt động kinh doanh,,(134.230.592.143),(131.492.331.967),,,-134230592143.0,-131492331967.0
20,01 > 20,20,Lưu chuyển tiền thuần từ hoạt động kinh doanh,,749.029.354.564,1.063.144.691.516,,,749029354564.0,1063144691516.0
II. LƯU CHUYẾN TIỀN TỪ HOẠT ĐỘNG ĐẦU TỪ,II. LƯU CHUYẾN TIỀN TỪ HOẠT ĐỘNG ĐẦU TỪ,II. LƯU CHUYẾN TIỀN TỪ HOẠT ĐỘNG ĐẦU TỪ,II. LƯU CHUYẾN TIỀN TỪ HOẠT ĐỘNG ĐẦU TỪ,II. LƯU CHUYẾN TIỀN TỪ HOẠT ĐỘNG ĐẦU TỪ,II. LƯU CHUYẾN TIỀN TỪ HOẠT ĐỘNG ĐẦU TỪ,II. LƯU CHUYẾN TIỀN TỪ HOẠT ĐỘNG ĐẦU TỪ,,,,
21,II. LƯU CHUYẾN TIỀN TỪ HOẠT ĐỘNG ĐẦU TỪ > 21,21,"1. Tiền chi để mua sám, xây dựng TSCĐ và các tài sản dài hạn khác",,(21.715.945.616),(16.847.396.313),,,-21715945616.0,-16847396313.0
23,II. LƯU CHUYẾN TIỀN TỪ HOẠT ĐỘNG ĐẦU TỪ > 23,23,"2. Tiền chi cho vay, mua các công cụ nợ của đơn vị khác",,(4.148.000.000.000),-,,,-4148000000000.0,
24,II. LƯU CHUYẾN TIỀN TỪ HOẠT ĐỘNG ĐẦU TỪ > 24,24,"3. Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác",,1.545.000.000.000,1.163.000.000.000,,,1545000000000.0,1163000000000.0
30,II. LƯU CHUYẾN TIỀN TỪ HOẠT ĐỘNG ĐẦU TỪ > 30,30,Lưu chuyển tiền thuần (sử dụng vào)/từ hoạt động đầu tư,,(2.624.715.945.616),1.146.152.603.687,,,-2624715945616.0,1146152603687.0
