row_label_raw,row_label_full,Giá trị ghi sõ > Nguyên giá VND,Giá trị ghi sõ > Dự phòng giảm giá trị VND,Giá trị ghi sõ > Giá trị thuần VND,Giá trị hợp lý > VND,numeric__Giá trị ghi sõ > Dự phòng giảm giá trị VND,numeric__Giá trị ghi sõ > Giá trị thuần VND,numeric__Giá trị hợp lý > VND
62.063.124.199,62.063.124.199,62.063.124.199,-,62.063.124.199,101.841.514.000,,62063124199.0,101841514000.0
62.063.124.199,62.063.124.199,62.063.124.199,-,62.063.124.199,101.841.514.000,,62063124199.0,101841514000.0
318.709.500.000,318.709.500.000,318.709.500.000,(318.709.500.000),-,-,-318709500000.0,,
164.000.000.000,164.000.000.000,164.000.000.000,(164.000.000.000),-,-,-164000000000.0,,
154.709.500.000,154.709.500.000,154.709.500.000,(154.709.500.000),-,-,-154709500000.0,,
521.335.637.261,521.335.637.261,521.335.637.261,(40.655.913.746),480.679.723.515,937.920.006.801,-40655913746.0,480679723515.0,937920006801.0
1.276.485.849.243,1.276.485.849.243,1.276.485.849.243,-,1.276.485.849.243,1.276.485.849.243,,1276485849243.0,1276485849243.0
62.975.595.405,62.975.595.405,62.975.595.405,-,62.975.595.405,62.975.595.405,,62975595405.0,62975595405.0
1.203.403.904.100,1.203.403.904.100,1.203.403.904.100,-,1.203.403.904.100,1.203.403.904.100,,1203403904100.0,1203403904100.0
10.106.349.738,10.106.349.738,10.106.349.738,-,10.106.349.738,10.106.349.738,,10106349738.0,10106349738.0
2.755.478.660.198,2.755.478.660.198,2.755.478.660.198,-,2.755.478.660.198,2.755.478.660.198,,2755478660198.0,2755478660198.0
4.934.072.770.901,4.934.072.770.901,4.934.072.770.901,(359.365.413.746),4.574.707.357.155,5.071.726.030.242,-359365413746.0,4574707357155.0,5071726030242.0
