row_label_raw,row_label_full,col_0,Nhà cửa VND,Tổng cộng VND,numeric__Nhà cửa VND,numeric__Tổng cộng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,
Ngày 31 tháng 12 năm 2023,Ngày 31 tháng 12 năm 2023,Ngày 31 tháng 12 năm 2023,-,-,,
- Chuyển từ tài sản cố định,Ngày 31 tháng 12 năm 2023 > - Chuyển từ tài sản cố định,- Chuyển từ tài sản cố định,238.924.536.904,238.924.536.904,238924536904.0,238924536904.0
Ngày 31 tháng 12 năm 2024,Ngày 31 tháng 12 năm 2023 > Ngày 31 tháng 12 năm 2024,Ngày 31 tháng 12 năm 2024,238.924.536.904,238.924.536.904,238924536904.0,238924536904.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,
Ngày 31 tháng 12 năm 2023,Ngày 31 tháng 12 năm 2023,Ngày 31 tháng 12 năm 2023,-,-,,
- Chuyển từ tài sản cố định,Ngày 31 tháng 12 năm 2023 > - Chuyển từ tài sản cố định,- Chuyển từ tài sản cố định,123.652.279.773,123.652.279.773,123652279773.0,123652279773.0
- Khấu hao trong năm,Ngày 31 tháng 12 năm 2023 > - Khấu hao trong năm,- Khấu hao trong năm,9.556.981.468,9.556.981.468,9556981468.0,9556981468.0
Ngày 31 tháng 12 năm 2024,Ngày 31 tháng 12 năm 2023 > Ngày 31 tháng 12 năm 2024,Ngày 31 tháng 12 năm 2024,133.209.261.241,133.209.261.241,133209261241.0,133209261241.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,
Ngày 31 tháng 12 năm 2023,Ngày 31 tháng 12 năm 2023,Ngày 31 tháng 12 năm 2023,-,-,,
Ngày 31 tháng 12 năm 2024,Ngày 31 tháng 12 năm 2023 > Ngày 31 tháng 12 năm 2024,Ngày 31 tháng 12 năm 2024,105.715.275.663,105.715.275.663,105715275663.0,105715275663.0
