row_label_raw,row_label_full,col_0,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2024 VND,numeric__Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2024 VND
Thu nhập từ cho thuê BĐSĐT,Thu nhập từ cho thuê BĐSĐT,Thu nhập từ cho thuê BĐSĐT,74.282.566.720,74282566720.0
Chi phí trực tiếp của các BĐSĐT tạo thu nhập cho thuê trong năm,Chi phí trực tiếp của các BĐSĐT tạo thu nhập cho thuê trong năm,Chi phí trực tiếp của các BĐSĐT tạo thu nhập cho thuê trong năm,(26.809.151.760),-26809151760.0
