row_label_raw,row_label_full,col_0,Quá hạn,Không xác định kỳ hạn,Đến 1 năm,Từ 1 – 3 năm,Từ 3 – 5 năm,Từ 5 – 15 năm,Trên 15 năm,Tổng cộng,numeric__Quá hạn,numeric__Không xác định kỳ hạn,numeric__Đến 1 năm,numeric__Từ 1 – 3 năm,numeric__Từ 3 – 5 năm,numeric__Từ 5 – 15 năm,numeric__Trên 15 năm,numeric__Tổng cộng
Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,,,,,,,,
Tiền và các khoản tương đương tiền,Tài sản tài chính > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,-,-,2.755.479,-,-,-,-,2.755.479,,,2755479.0,,,,,2755479.0
Chứng khoán kinh doanh,Tài sản tài chính > Chứng khoán kinh doanh,Chứng khoán kinh doanh,-,62.063,-,-,-,-,-,62.063,,62063.0,,,,,,62063.0
- Chứng chỉ quỹ,Tài sản tài chính > - Chứng chỉ quỹ,- Chứng chỉ quỹ,-,62.063,-,-,-,-,-,62.063,,62063.0,,,,,,62063.0
Đầu tư tài chính khác,Tài sản tài chính > Đầu tư tài chính khác,Đầu tư tài chính khác,-,480.680,-,-,-,-,-,480.680,,480680.0,,,,,,480680.0
Các khoản phải thu (trình bày lại),Tài sản tài chính > Các khoản phải thu (trình bày lại),Các khoản phải thu (trình bày lại),-,-,1.276.486,-,-,-,-,1.276.486,,,1276486.0,,,,,1276486.0
- Phải thu các bên liên quan,Tài sản tài chính > - Phải thu các bên liên quan,- Phải thu các bên liên quan,-,-,62.976,-,-,-,-,62.976,,,62976.0,,,,,62976.0
- Phải thu cổ tức và lợi nhuận,Tài sản tài chính > - Phải thu cổ tức và lợi nhuận,- Phải thu cổ tức và lợi nhuận,-,-,1.203.404,-,-,-,-,1.203.404,,,1203404.0,,,,,1203404.0
- Phải thu khác,Tài sản tài chính > - Phải thu khác,- Phải thu khác,-,-,10.106,-,-,-,-,10.106,,,10106.0,,,,,10106.0
TỔNG CỘNG,Tài sản tài chính > TỔNG CỘNG,TỔNG CỘNG,-,542.743,4.031.965,-,-,-,-,4.574.708,,542743.0,4031965.0,,,,,4574708.0
Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,,,,,,,,
Phải trả các bên liên quan,Nợ phải trả tài chính > Phải trả các bên liên quan,Phải trả các bên liên quan,-,-,23.803,-,-,-,-,23.803,,,23803.0,,,,,23803.0
Phải trả thương mại,Nợ phải trả tài chính > Phải trả thương mại,Phải trả thương mại,-,-,10.561,-,-,-,-,10.561,,,10561.0,,,,,10561.0
Phải trả khác,Nợ phải trả tài chính > Phải trả khác,Phải trả khác,-,-,50.164,-,-,-,-,50.164,,,50164.0,,,,,50164.0
Vay và nợ,Nợ phải trả tài chính > Vay và nợ,Vay và nợ,-,-,13.393,1.386,-,-,-,14.779,,,13393.0,1386.0,,,,14779.0
TỔNG CỘNG,Nợ phải trả tài chính > TỔNG CỘNG,TỔNG CỘNG,-,-,97.921,1.386,-,-,-,99.307,,,97921.0,1386.0,,,,99307.0
