row_label_raw,row_label_full,col_0,Vốn góp của chủ sở hữu VND,Thặng dư vốn cổ phần VND,Quỹ đầu tư phát triển VND,Lợi nhuận sau thuế chưa phân phối VND,Tổng cộng VND,numeric__Vốn góp của chủ sở hữu VND,numeric__Thặng dư vốn cổ phần VND,numeric__Quỹ đầu tư phát triển VND,numeric__Lợi nhuận sau thuế chưa phân phối VND,numeric__Tổng cộng VND
Năm 2023 (trình bày lại),Năm 2023 (trình bày lại),Năm 2023 (trình bày lại),Năm 2023 (trình bày lại),Năm 2023 (trình bày lại),Năm 2023 (trình bày lại),Năm 2023 (trình bày lại),Năm 2023 (trình bày lại),,,,,
Ngày 31 tháng 12 năm 2022,Năm 2023 (trình bày lại) > Ngày 31 tháng 12 năm 2022,Ngày 31 tháng 12 năm 2022,7.423.227.640.000,7.310.458.742.807,1.502.797.419.738,1.065.643.971.849(708.175.916.856),17.302.127.774.394(708.175.916.856),7423227640000.0,7310458742807.0,1502797419738.0,,
- Chi trả cổ tức cho cổ đông,- Chi trả cổ tức cho cổ đông,- Chi trả cổ tức cho cổ đông,-,-,-,1.065.643.971.849(708.175.916.856),17.302.127.774.394(708.175.916.856),,,,,
- Trích Quỹ khen thưởng phúc lợi và Quỹ thưởng cho Người Quản lý,- Chi trả cổ tức cho cổ đông > - Trích Quỹ khen thưởng phúc lợi và Quỹ thưởng cho Người Quản lý,- Trích Quỹ khen thưởng phúc lợi và Quỹ thưởng cho Người Quản lý,-,-,-,(37.748.127.469),(37.748.127.469),,,,-37748127469.0,-37748127469.0
- Trích Quỹ Đầu tư phát triển,- Chi trả cổ tức cho cổ đông > - Trích Quỹ Đầu tư phát triển,- Trích Quỹ Đầu tư phát triển,-,-,319.677.901.150,(319.677.901.150),-,,,319677901150.0,-319677901150.0,
- Lợi nhuận trong năm,- Chi trả cổ tức cho cổ đông > - Lợi nhuận trong năm,- Lợi nhuận trong năm,-,-,-,1.116.130.992.599,1.116.130.992.599,,,,1116130992599.0,1116130992599.0
Ngày 31 tháng 12 năm 2023(trình bày lại),- Chi trả cổ tức cho cổ đông > Ngày 31 tháng 12 năm 2023(trình bày lại),Ngày 31 tháng 12 năm 2023(trình bày lại),7.423.227.640.000,7.310.458.742.807,1.822.475.320.888,1.116.173.018.973,17.672.334.722.668,7423227640000.0,7310458742807.0,1822475320888.0,1116173018973.0,17672334722668.0
Năm 2024,Năm 2024,Năm 2024,Năm 2024,Năm 2024,Năm 2024,Năm 2024,Năm 2024,,,,,
Ngày 31 tháng 12 năm 2023(trình bày lại),Năm 2024 > Ngày 31 tháng 12 năm 2023(trình bày lại),Ngày 31 tháng 12 năm 2023(trình bày lại),7.423.227.640.000,7.310.458.742.807,1.822.475.320.888,1.116.173.018.973(745.069.356.247),17.672.334.722.668(745.069.356.247),7423227640000.0,7310458742807.0,1822475320888.0,,
- Chi trả cổ tức cho cổ đông,- Chi trả cổ tức cho cổ đông,- Chi trả cổ tức cho cổ đông,-,-,-,1.116.173.018.973(745.069.356.247),17.672.334.722.668(745.069.356.247),,,,,
- Trích Quỹ khen thưởng phúc lợi và Quỹ thưởng cho người Quản lý (*),- Chi trả cổ tức cho cổ đông > - Trích Quỹ khen thưởng phúc lợi và Quỹ thưởng cho người Quản lý (*),- Trích Quỹ khen thưởng phúc lợi và Quỹ thưởng cho người Quản lý (*),-,-,-,(36.187.556.080),(36.187.556.080),,,,-36187556080.0,-36187556080.0
- Trích Quỹ Đầu tư phát triển (*),- Chi trả cổ tức cho cổ đông > - Trích Quỹ Đầu tư phát triển (*),- Trích Quỹ Đầu tư phát triển (*),-,-,334.829.549.816,(334.829.549.816),-,,,334829549816.0,-334829549816.0,
- Lợi nhuận trong năm,- Chi trả cổ tức cho cổ đông > - Lợi nhuận trong năm,- Lợi nhuận trong năm,-,-,-,1.180.182.814.370,1.180.182.814.370,,,,1180182814370.0,1180182814370.0
Ngày 31 tháng 12 năm 2024,- Chi trả cổ tức cho cổ đông > Ngày 31 tháng 12 năm 2024,Ngày 31 tháng 12 năm 2024,7.423.227.640.000,7.310.458.742.807,2.157.304.870.704,1.180.269.371.200,18.071.260.624.711,7423227640000.0,7310458742807.0,2157304870704.0,1180269371200.0,18071260624711.0
