row_label_raw,row_label_full,Tiền vay nhận được,33,15.336.837.302.041,9.811.194.654.378,numeric__33,numeric__15.336.837.302.041,numeric__9.811.194.654.378
Tiền chỉ trả nợ gốc vay và mua lại trái phiếu,Tiền chỉ trả nợ gốc vay và mua lại trái phiếu,Tiền chỉ trả nợ gốc vay và mua lại trái phiếu,34,(15.121.605.870.913),(10.887.460.095.024),34.0,-15121605870913.0,-10887460095024.0
Tiền trả cổ tức,Tiền trả cổ tức,Tiền trả cổ tức,35,(5.020.368.405),(2.518.284.673),35.0,-5020368405.0,-2518284673.0
Lưu chuyển tiền thuần từ các hoạt động tài chính,Lưu chuyển tiền thuần từ các hoạt động tài chính,Lưu chuyển tiền thuần từ các hoạt động tài chính,40,210.211.062.723,(1.078.783.725.319),40.0,210211062723.0,-1078783725319.0
