row_label_raw,row_label_full,col_0,Doanh thu bán ra bên ngoài,Doanh thu bán ra bên ngoài_1,numeric__Doanh thu bán ra bên ngoài,numeric__Doanh thu bán ra bên ngoài_1
,,,2017VND,2016VND,,
Việt Nam,Việt Nam,Việt Nam,103.719.797.779,69.768.129.691,103719797779.0,69768129691.0
Bắc Mỹ,Bắc Mỹ,Bắc Mỹ,7.443.990.655.443,5.924.015.256.229,7443990655443.0,5924015256229.0
Châu Âu,Châu Âu,Châu Âu,1.080.549.186.084,1.027.955.917.877,1080549186084.0,1027955917877.0
Nhật Bản,Nhật Bản,Nhật Bản,3.624.793.042.248,2.484.827.426.704,3624793042248.0,2484827426704.0
Hàn Quốc,Hàn Quốc,Hàn Quốc,1.247.584.725.209,890.885.706.045,1247584725209.0,890885706045.0
Các vùng địa lý khác,Các vùng địa lý khác,Các vùng địa lý khác,2.164.647.592.474,1.575.961.103.116,2164647592474.0,1575961103116.0
,,,15.665.284.999.237,11.973.413.539.662,15665284999237.0,11973413539662.0
