row_label_raw,row_label_full,Cho năm kết thúc ngày31 tháng 12 năm 2017,Nuôi trồng sản phẩm thủy sản VND,Chế biến sản phẩm thủy sản VND,Kinh doanh sản phẩm thủy sản VND,Bộ phận kinh doanh khác VND,Loại trừ VND,Hợp nhất VND,numeric__Nuôi trồng sản phẩm thủy sản VND,numeric__Chế biến sản phẩm thủy sản VND,numeric__Kinh doanh sản phẩm thủy sản VND,numeric__Bộ phận kinh doanh khác VND,numeric__Loại trừ VND,numeric__Hợp nhất VND
Doanh thu bán hàng ra bên ngoài,Doanh thu bán hàng ra bên ngoài,Doanh thu bán hàng ra bên ngoài,10.080.000,8.803.643.437.741,6.790.355.279.813,71.276.201.683,-,15.665.284.999.237,10080000.0,8803643437741.0,6790355279813.0,71276201683.0,,15665284999237.0
Doanh thu giữa các bộ phận,Doanh thu giữa các bộ phận,Doanh thu giữa các bộ phận,921.883.711.359,7.190.920.831.575,5.217.810.431.353,165.578.005.495,(13.496.192.979.782),-,921883711359.0,7190920831575.0,5217810431353.0,165578005495.0,-13496192979782.0,
Tổng doanh thu của bộ phận,Tổng doanh thu của bộ phận,Tổng doanh thu của bộ phận,921.893.791.359,15.994.564.269.316,12.008.165.711.166,236.854.207.178,(13.496.192.979.782),15.665.284.999.237,921893791359.0,15994564269316.0,12008165711166.0,236854207178.0,-13496192979782.0,15665284999237.0
Kết quả kinh doanh của bộ phận,Kết quả kinh doanh của bộ phận,Kết quả kinh doanh của bộ phận,(36.845.866.788),734.660.514.828,214.114.863.993,28.694.337.196,(10.511.466.133),930.112.383.096,-36845866788.0,734660514828.0,214114863993.0,28694337196.0,-10511466133.0,930112383096.0
Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,,,,,,142.113.369.593,,,,,,142113369593.0
Chi phí tài chính,Chi phí tài chính,Chi phí tài chính,,,,,,(280.049.253.163),,,,,,-280049253163.0
Phần lỗ trong công ty liên kết,Phần lỗ trong công ty liên kết,Phần lỗ trong công ty liên kết,,,,,,(232.980.924),,,,,,-232980924.0
Kết quả từ hoạt động kinh doanh,Kết quả từ hoạt động kinh doanh,Kết quả từ hoạt động kinh doanh,,,,,,791.943.518.602,,,,,,791943518602.0
Thu nhập khác,Thu nhập khác,Thu nhập khác,,,,,,3.624.897.650,,,,,,3624897650.0
Chi phí khác,Chi phí khác,Chi phí khác,,,,,,(3.368.196.325),,,,,,-3368196325.0
Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,,,,,,(78.037.145.473),,,,,,-78037145473.0
Lợi nhuận thuần sau thuế,Lợi nhuận thuần sau thuế,Lợi nhuận thuần sau thuế,,,,,,714.163.074.454,,,,,,714163074454.0
