row_label_raw,row_label_full,Ngân hàng TMCP Công Thương Việt Nam - Chi nhánh Cà Mau,Loại tiên > Ngân hàng TMCP Công Thương Việt Nam - Chi nhánh Cà Mau,Lãi suất năm > 2017 > Ngân hàng TMCP Công Thương Việt Nam - Chi nhánh Cà Mau,Lãi suất năm > 2016 > Ngân hàng TMCP Công Thương Việt Nam - Chi nhánh Cà Mau,31/12/2017 VND > Ngân hàng TMCP Công Thương Việt Nam - Chi nhánh Cà Mau,1/1/2017 VND > Ngân hàng TMCP Công Thương Việt Nam - Chi nhánh Cà Mau,numeric__Loại tiên > Ngân hàng TMCP Công Thương Việt Nam - Chi nhánh Cà Mau,numeric__Lãi suất năm > 2017 > Ngân hàng TMCP Công Thương Việt Nam - Chi nhánh Cà Mau,numeric__Lãi suất năm > 2016 > Ngân hàng TMCP Công Thương Việt Nam - Chi nhánh Cà Mau,numeric__31/12/2017 VND > Ngân hàng TMCP Công Thương Việt Nam - Chi nhánh Cà Mau,numeric__1/1/2017 VND > Ngân hàng TMCP Công Thương Việt Nam - Chi nhánh Cà Mau
Khoản vay 1,Khoản vay 1,Khoản vay 1,USD,"1,5% - 2,0%","1,5%",1.469.201.913.706,509.452.670.714,,,0.015,1469201913706.0,509452670714.0
Khoản vay 2,Khoản vay 2,Khoản vay 2,USD,"2,0% - 2,2%","1,5%",974.028.399.706,599.337.540.834,,,0.015,974028399706.0,599337540834.0
Khoản vay 3,Khoản vay 3,Khoản vay 3,USD,"2,0%",-,55.661.639.210,-,,0.02,,55661639210.0,
Khoản vay 4,Khoản vay 4,Khoản vay 4,USD,"1,5%","1,5%",-,10.505.069.491,,0.015,0.015,,10505069491.0
Ngân hàng TMCP Ngoại Thương Việt Nam - Chi nhánh Cà Mau,Ngân hàng TMCP Ngoại Thương Việt Nam - Chi nhánh Cà Mau,Ngân hàng TMCP Ngoại Thương Việt Nam - Chi nhánh Cà Mau,Ngân hàng TMCP Ngoại Thương Việt Nam - Chi nhánh Cà Mau,Ngân hàng TMCP Ngoại Thương Việt Nam - Chi nhánh Cà Mau,Ngân hàng TMCP Ngoại Thương Việt Nam - Chi nhánh Cà Mau,Ngân hàng TMCP Ngoại Thương Việt Nam - Chi nhánh Cà Mau,Ngân hàng TMCP Ngoại Thương Việt Nam - Chi nhánh Cà Mau,,,,,
Khoản vay 1,Ngân hàng TMCP Ngoại Thương Việt Nam - Chi nhánh Cà Mau > Khoản vay 1,Khoản vay 1,USD,"2,0% - 3,0%","1,5% - 1,8%",407.618.902.877,320.099.032.139,,,,407618902877.0,320099032139.0
Khoản vay 2,Ngân hàng TMCP Ngoại Thương Việt Nam - Chi nhánh Cà Mau > Khoản vay 2,Khoản vay 2,VND,"4,7% - 5,0%","4,7% - 5,0%",270.377.089.221,198.929.054.610,,,,270377089221.0,198929054610.0
Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - Chi nhánh Cà Mau,Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - Chi nhánh Cà Mau,Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - Chi nhánh Cà Mau,Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - Chi nhánh Cà Mau,Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - Chi nhánh Cà Mau,Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - Chi nhánh Cà Mau,Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - Chi nhánh Cà Mau,Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - Chi nhánh Cà Mau,,,,,
Khoản vay 1,Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - Chi nhánh Cà Mau > Khoản vay 1,Khoản vay 1,USD,"2,0% - 2,4%",-,294.413.679.512,-,,,,294413679512.0,
Ngân hàng TMCP Quốc tế Việt Nam - Chi nhánh Cà Mau,Ngân hàng TMCP Quốc tế Việt Nam - Chi nhánh Cà Mau,Ngân hàng TMCP Quốc tế Việt Nam - Chi nhánh Cà Mau,Ngân hàng TMCP Quốc tế Việt Nam - Chi nhánh Cà Mau,Ngân hàng TMCP Quốc tế Việt Nam - Chi nhánh Cà Mau,Ngân hàng TMCP Quốc tế Việt Nam - Chi nhánh Cà Mau,Ngân hàng TMCP Quốc tế Việt Nam - Chi nhánh Cà Mau,Ngân hàng TMCP Quốc tế Việt Nam - Chi nhánh Cà Mau,,,,,
Khoản vay 1,Ngân hàng TMCP Quốc tế Việt Nam - Chi nhánh Cà Mau > Khoản vay 1,Khoản vay 1,USD,"2,0%","1,5%",-,48.071.657.197,,0.02,0.015,,48071657197.0
Khoản vay 2,Ngân hàng TMCP Quốc tế Việt Nam - Chi nhánh Cà Mau > Khoản vay 2,Khoản vay 2,USD,"1,5%","1,5%",-,82.764.127.226,,0.015,0.015,,82764127226.0
Ngân hàng Citibank – Bắc Mỹ (*),Ngân hàng TMCP Quốc tế Việt Nam - Chi nhánh Cà Mau > Ngân hàng Citibank – Bắc Mỹ (*),Ngân hàng Citibank – Bắc Mỹ (*),USD,0%,0%,4.542.000.000,53.464.850.000,,0.0,0.0,4542000000.0,53464850000.0
,,,,,,3.475.843.624.232,1.822.624.002.211,,,,3475843624232.0,1822624002211.0
