row_label_raw,row_label_full,col_0,Nhà cửa VND,Máy móc và thiết bị VND,Phương tiện vận chuyển VND,Thiết bị văn phòng VND,Tổng VND,numeric__Nhà cửa VND,numeric__Máy móc và thiết bị VND,numeric__Phương tiện vận chuyển VND,numeric__Thiết bị văn phòng VND,numeric__Tổng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,732.678.258.354,1.117.627.877.672,152.427.792.484,20.557.034.353,2.023.290.962.863,732678258354.0,1117627877672.0,152427792484.0,20557034353.0,2023290962863.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,916.728.727,55.374.988.291,4.798.196.910,239.649.091,61.329.563.019,916728727.0,55374988291.0,4798196910.0,239649091.0,61329563019.0
Chuyển từ xây dựng cơ bản dở dang,Nguyên giá > Chuyển từ xây dựng cơ bản dở dang,Chuyển từ xây dựng cơ bản dở dang,-,-,4.456.000.000,-,4.456.000.000,,,4456000000.0,,4456000000.0
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,-,-,(1.803.818.182),-,(1.803.818.182),,,-1803818182.0,,-1803818182.0
Chênh lệch tỷ giá hối đoái,Nguyên giá > Chênh lệch tỷ giá hối đoái,Chênh lệch tỷ giá hối đoái,(22.697.805),-,-,(1.178.217),(23.876.022),-22697805.0,,,-1178217.0,-23876022.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,733.572.289.276,1.173.002.865.963,159.878.171.212,20.795.505.227,2.087.248.831.678,733572289276.0,1173002865963.0,159878171212.0,20795505227.0,2087248831678.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,268.158.707.798,643.496.768.225,86.522.239.809,12.713.386.009,1.010.891.101.841,268158707798.0,643496768225.0,86522239809.0,12713386009.0,1010891101841.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,29.060.573.665,111.842.635.361,15.504.449.070,2.063.413.908,158.471.072.004,29060573665.0,111842635361.0,15504449070.0,2063413908.0,158471072004.0
Thanh lý,Giá trị hao mòn lũy kế > Thanh lý,Thanh lý,-,-,(1.464.359.861),-,(1.464.359.861),,,-1464359861.0,,-1464359861.0
Chênh lệch tỷ giá hối đoái,Giá trị hao mòn lũy kế > Chênh lệch tỷ giá hối đoái,Chênh lệch tỷ giá hối đoái,(5.832.586),-,-,(1.178.217),(7.010.803),-5832586.0,,,-1178217.0,-7010803.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,297.213.448.877,755.339.403.586,100.562.329.018,14.775.621.700,1.167.890.803.181,297213448877.0,755339403586.0,100562329018.0,14775621700.0,1167890803181.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,464.519.550.556,474.131.109.447,65.905.552.675,7.843.648.344,1.012.399.861.022,464519550556.0,474131109447.0,65905552675.0,7843648344.0,1012399861022.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,436.358.840.399,417.663.462.377,59.315.842.194,6.019.883.527,919.358.028.497,436358840399.0,417663462377.0,59315842194.0,6019883527.0,919358028497.0
