row_label_raw,row_label_full,col_0,Quyền sử dụngđất không xácđịnh thời hạnVND,Quyền sử dụngđất có xác địnhthời hạnVND,Phần mềmmáy tínhVND,TổngVND,numeric__Quyền sử dụngđất không xácđịnh thời hạnVND,numeric__Quyền sử dụngđất có xác địnhthời hạnVND,numeric__Phần mềmmáy tínhVND,numeric__TổngVND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,18.948.576.507,110.923.425.700,30.150.276.330,160.022.278.537,18948576507.0,110923425700.0,30150276330.0,160022278537.0
Chuyển sang chi phí trả trước dài hạn,Nguyên giá > Chuyển sang chi phí trả trước dài hạn,Chuyển sang chi phí trả trước dài hạn,-,(88.742.326.115),-,(88.742.326.115),,-88742326115.0,,-88742326115.0
Chênh lệch tỷ giáhối đoái,Nguyên giá > Chênh lệch tỷ giáhối đoái,Chênh lệch tỷ giáhối đoái,(26.845.037),-,-,(26.845.037),-26845037.0,,,-26845037.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,18.921.731.470,22.181.099.585,30.150.276.330,71.253.107.385,18921731470.0,22181099585.0,30150276330.0,71253107385.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,-,11.941.905.291,4.611.939.353,16.553.844.644,,11941905291.0,4611939353.0,16553844644.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,-,1.300.967.027,2.441.244.253,3.742.211.280,,1300967027.0,2441244253.0,3742211280.0
Chuyển sang chi phí trả trước dài hạn,Giá trị hao mòn lũy kế > Chuyển sang chi phí trả trước dài hạn,Chuyển sang chi phí trả trước dài hạn,-,(8.496.532.487),-,(8.496.532.487),,-8496532487.0,,-8496532487.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,-,4.746.339.831,7.053.183.606,11.799.523.437,,4746339831.0,7053183606.0,11799523437.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,18.948.576.507,98.981.520.409,25.538.336.977,143.468.433.893,18948576507.0,98981520409.0,25538336977.0,143468433893.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,18.921.731.470,17.434.759.754,23.097.092.724,59.453.583.948,18921731470.0,17434759754.0,23097092724.0,59453583948.0
