row_label_raw,row_label_full,Cho năm kết thúc ngày31 tháng 12 năm 2016,Nuôi trồng sản phẩm thủy sản VND,Chế biến sản phẩm thủy sản VND,Kinh doanh sản phẩm thủy sản VND,Bộ phận kinh doanh khác VND,Loại trừ VND,Hợp nhất VND,numeric__Nuôi trồng sản phẩm thủy sản VND,numeric__Chế biến sản phẩm thủy sản VND,numeric__Kinh doanh sản phẩm thủy sản VND,numeric__Bộ phận kinh doanh khác VND,numeric__Loại trừ VND,numeric__Hợp nhất VND
Doanh thu bán hàng ra bên ngoài,Doanh thu bán hàng ra bên ngoài,Doanh thu bán hàng ra bên ngoài,3.184.655.500,6.704.217.677.968,5.201.974.245.143,64.036.961.051,-,11.973.413.539.662,3184655500.0,6704217677968.0,5201974245143.0,64036961051.0,,11973413539662.0
Doanh thu giữa các bộ phận,Doanh thu giữa các bộ phận,Doanh thu giữa các bộ phận,87.002.428.525,5.244.106.656.219,2.556.249.464.028,82.098.953.380,(7.969.457.502.152),-,87002428525.0,5244106656219.0,2556249464028.0,82098953380.0,-7969457502152.0,
Tổng doanh thu của bộ phận,Tổng doanh thu của bộ phận,Tổng doanh thu của bộ phận,90.187.084.025,11.948.324.334.187,7.758.223.709.171,146.135.914.431,(7.969.457.502.152),11.973.413.539.662,90187084025.0,11948324334187.0,7758223709171.0,146135914431.0,-7969457502152.0,11973413539662.0
Kết quả kinh doanh của bộ phận,Kết quả kinh doanh của bộ phận,Kết quả kinh doanh của bộ phận,(84.190.945.350),290.717.272.192,817.593.283,(318.548.121),(13.239.632.356),193.785.739.648,-84190945350.0,290717272192.0,817593283.0,-318548121.0,-13239632356.0,193785739648.0
Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,,,,,,141.658.188.222,,,,,,141658188222.0
Chi phí tài chính,Chi phí tài chính,Chi phí tài chính,,,,,,(310.702.276.587),,,,,,-310702276587.0
Kết quả từ hoạt động kinh doanh,Kết quả từ hoạt động kinh doanh,Kết quả từ hoạt động kinh doanh,,,,,,24.741.651.283,,,,,,24741651283.0
Thu nhập khác,Thu nhập khác,Thu nhập khác,,,,,,78.709.686.820,,,,,,78709686820.0
Chi phí khác,Chi phí khác,Chi phí khác,,,,,,(2.571.621.875),,,,,,-2571621875.0
Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,,,,,,(18.988.615.374),,,,,,-18988615374.0
Lợi nhuận thuần sau thuế,Lợi nhuận thuần sau thuế,Lợi nhuận thuần sau thuế,,,,,,81.891.100.854,,,,,,81891100854.0
