row_label_raw,row_label_full,Thuế giá trị gia tăng,1/1/2017 VND > 887.066.076,Số phải nộp VND > 159.884.288.513,Số đã nộp VND > (44.824.768.932),Cán trừ VND > (114.711.026.892),Chênh lệch tỷ giá hối đoái VND > -,31/12/2017 VND > 1.235.558.765,numeric__1/1/2017 VND > 887.066.076,numeric__Số phải nộp VND > 159.884.288.513,numeric__Số đã nộp VND > (44.824.768.932),numeric__Cán trừ VND > (114.711.026.892),numeric__Chênh lệch tỷ giá hối đoái VND > -,numeric__31/12/2017 VND > 1.235.558.765
Thuế xuất nhập khẩu,Thuế xuất nhập khẩu,Thuế xuất nhập khẩu,7.837.060,182.683.354,(204.915.711),14.115.402,279.895,-,7837060.0,182683354.0,-204915711.0,14115402.0,279895.0,
Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,1.161.687.924,79.211.363.515,(36.756.729.716),(12.208.353.422),-,31.407.968.301,1161687924.0,79211363515.0,-36756729716.0,-12208353422.0,,31407968301.0
Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,791.245.455,7.576.225.704,(7.650.972.242),145.182.299,-,861.681.216,791245455.0,7576225704.0,-7650972242.0,145182299.0,,861681216.0
Thuế khác,Thuế khác,Thuế khác,1.440.000,469.716.966,(436.362.446),-,(98.800),34.695.720,1440000.0,469716966.0,-436362446.0,,-98800.0,34695720.0
,,,2.849.276.515,247.324.278.052,(89.873.749.047),(126.760.082.613),181.095,33.539.904.002,2849276515.0,247324278052.0,-89873749047.0,-126760082613.0,181095.0,33539904002.0
