row_label_raw,row_label_full,col_0,Vốn cổ phần VND,Thặng dư vốn cổ phần VND,Cổ phiếu quỹ VND,Chênh lệch tỷ giá hối đoái VND,Quỹ đầu tư phát triển VND,Lợi nhuận chưa phân phối VND,Lợi ích cổ đông không kiểm soát VND,Tổng VND,numeric__Vốn cổ phần VND,numeric__Thặng dư vốn cổ phần VND,numeric__Cổ phiếu quỹ VND,numeric__Chênh lệch tỷ giá hối đoái VND,numeric__Quỹ đầu tư phát triển VND,numeric__Lợi nhuận chưa phân phối VND,numeric__Lợi ích cổ đông không kiểm soát VND,numeric__Tổng VND
Số dư tại ngày 1 tháng 1 năm 2016,Số dư tại ngày 1 tháng 1 năm 2016,Số dư tại ngày 1 tháng 1 năm 2016,700.000.000.000,177.876.869.236,(80.162.090.861),115.856.340.820,74.079.253.264,774.411.832.544,481.497.772.329,2.243.559.977.332,700000000000.0,177876869236.0,-80162090861.0,115856340820.0,74079253264.0,774411832544.0,481497772329.0,2243559977332.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,72.084.426.856,9.806.673.998,81.891.100.854,,,,,,72084426856.0,9806673998.0,81891100854.0
Phân bổ vào các quỹ,Phân bổ vào các quỹ,Phân bổ vào các quỹ,-,-,-,-,598.454.543,(598.454.543),-,-,,,,,598454543.0,-598454543.0,,
Cổ tức,Cổ tức,Cổ tức,-,-,-,-,-,-,(1.797.913.682),(1.797.913.682),,,,,,,-1797913682.0,-1797913682.0
Sử dụng các quỹ,Sử dụng các quỹ,Sử dụng các quỹ,-,-,-,-,(42.433.609.710),-,-,(42.433.609.710),,,,,-42433609710.0,,,-42433609710.0
Chênh lệch tỷ giá hối đoái,Chênh lệch tỷ giá hối đoái,Chênh lệch tỷ giá hối đoái,-,-,-,10.599.178.188,-,-,1.152.627.728,11.751.805.916,,,,10599178188.0,,,1152627728.0,11751805916.0
Số dư tại ngày 1 tháng 1 năm 2017,Số dư tại ngày 1 tháng 1 năm 2017,Số dư tại ngày 1 tháng 1 năm 2017,700.000.000.000,177.876.869.236,(80.162.090.861),126.455.519.008,32.244.098.097,845.897.804.857,490.659.160.373,2.292.971.360.710,700000000000.0,177876869236.0,-80162090861.0,126455519008.0,32244098097.0,845897804857.0,490659160373.0,2292971360710.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,639.019.613.866,75.143.460.588,714.163.074.454,,,,,,639019613866.0,75143460588.0,714163074454.0
Phân bổ vào các quỹ,Phân bổ vào các quỹ,Phân bổ vào các quỹ,-,-,-,-,27.211.779.524,(27.211.779.524),-,-,,,,,27211779524.0,-27211779524.0,,
Phân bổ vào quỹ khen thưởng và phúc lợi,Phân bổ vào quỹ khen thưởng và phúc lợi,Phân bổ vào quỹ khen thưởng và phúc lợi,-,-,-,-,-,(5.442.355.905),-,(5.442.355.905),,,,,,-5442355905.0,,-5442355905.0
Cổ tức,Cổ tức,Cổ tức,-,-,-,-,-,-,(3.980.368.405),(3.980.368.405),,,,,,,-3980368405.0,-3980368405.0
Sử dụng các quỹ,Sử dụng các quỹ,Sử dụng các quỹ,-,-,-,-,(5.080.977.616),-,-,(5.080.977.616),,,,,-5080977616.0,,,-5080977616.0
Chênh lệch tỷ giá hối đoái,Chênh lệch tỷ giá hối đoái,Chênh lệch tỷ giá hối đoái,-,-,-,(912.241.089),-,-,(93.463.486),(1.005.704.575),,,,-912241089.0,,,-93463486.0,-1005704575.0
Số dư tại ngày 31 tháng 12 năm 2017,Số dư tại ngày 31 tháng 12 năm 2017,Số dư tại ngày 31 tháng 12 năm 2017,700.000.000.000,177.876.869.236,(80.162.090.861),125.543.277.919,54.374.900.005,1.452.263.283.294,561.728.789.070,2.991.625.028.663,700000000000.0,177876869236.0,-80162090861.0,125543277919.0,54374900005.0,1452263283294.0,561728789070.0,2991625028663.0
