row_label_raw,row_label_full,col_0,Công ty Cổ phần Đầu tư và Phát triển Thương mại Văn Phú,Công ty Cổ phần Đầu tư BOT Hà Nội – Bắc Giang,Công ty Cổ phần In và Văn hóa phẩm,Công ty TNHH BT Hà Đông,Công ty TNHH Đầu tư Côn Khuống,Công ty Cổ phần Đầu tư – Kinh doanh Bất động sản Trần Việt,Công ty Cổ phần Kinh doanh Địa ốc Văn Phú,Tổng cộng,numeric__Công ty Cổ phần Đầu tư và Phát triển Thương mại Văn Phú,numeric__Công ty Cổ phần Đầu tư BOT Hà Nội – Bắc Giang,numeric__Công ty Cổ phần In và Văn hóa phẩm,numeric__Công ty TNHH BT Hà Đông,numeric__Công ty TNHH Đầu tư Côn Khuống,numeric__Công ty Cổ phần Đầu tư – Kinh doanh Bất động sản Trần Việt,numeric__Công ty Cổ phần Kinh doanh Địa ốc Văn Phú,numeric__Tổng cộng
Giá trị đầu tư:,Giá trị đầu tư:,Giá trị đầu tư:,Giá trị đầu tư:,Giá trị đầu tư:,Giá trị đầu tư:,Giá trị đầu tư:,Giá trị đầu tư:,Giá trị đầu tư:,Giá trị đầu tư:,Giá trị đầu tư:,,,,,,,,
Số đầu năm,Giá trị đầu tư: > Số đầu năm,Số đầu năm,278.006.400.000,163.786.400.000,33.777.503.175,50.902.886.097,-,-,2.160.000.000,528.633.189.272,278006400000.0,163786400000.0,33777503175.0,50902886097.0,,,2160000000.0,528633189272.0
Phân loại sang công ty liên kết sau khi thoái vốn công ty con (Thuyết minh số 4),Giá trị đầu tư: > Phân loại sang công ty liên kết sau khi thoái vốn công ty con (Thuyết minh số 4),Phân loại sang công ty liên kết sau khi thoái vốn công ty con (Thuyết minh số 4),-,-,-,-,370.673.708.408,-,-,370.673.708.408,,,,,370673708408.0,,,370673708408.0
Góp vốn,Giá trị đầu tư: > Góp vốn,Góp vốn,-,-,-,1.500.000.000,-,27.440.000.000,-,28.940.000.000,,,,1500000000.0,,27440000000.0,,28940000000.0
Số cuối năm,Giá trị đầu tư: > Số cuối năm,Số cuối năm,278.006.400.000,163.786.400.000,33.777.503.175,52.402.886.097,370.673.708.408,27.440.000.000,2.160.000.000,928.246.897.680,278006400000.0,163786400000.0,33777503175.0,52402886097.0,370673708408.0,27440000000.0,2160000000.0,928246897680.0
"Phần chia lãi/(lỗ) sau khi mua công ty liên doanh, liên kết:","Phần chia lãi/(lỗ) sau khi mua công ty liên doanh, liên kết:","Phần chia lãi/(lỗ) sau khi mua công ty liên doanh, liên kết:","Phần chia lãi/(lỗ) sau khi mua công ty liên doanh, liên kết:","Phần chia lãi/(lỗ) sau khi mua công ty liên doanh, liên kết:","Phần chia lãi/(lỗ) sau khi mua công ty liên doanh, liên kết:","Phần chia lãi/(lỗ) sau khi mua công ty liên doanh, liên kết:","Phần chia lãi/(lỗ) sau khi mua công ty liên doanh, liên kết:","Phần chia lãi/(lỗ) sau khi mua công ty liên doanh, liên kết:","Phần chia lãi/(lỗ) sau khi mua công ty liên doanh, liên kết:","Phần chia lãi/(lỗ) sau khi mua công ty liên doanh, liên kết:",,,,,,,,
Số đầu năm,"Phần chia lãi/(lỗ) sau khi mua công ty liên doanh, liên kết: > Số đầu năm",Số đầu năm,191.559.172,37.475.148.268,(5.568.160.199),-,-,-,(2.160.000.000),29.938.547.241,191559172.0,37475148268.0,-5568160199.0,,,,-2160000000.0,29938547241.0
"Phần lãi/(lỗ) từ công ty liên doanh, liên kết trong năm","Phần chia lãi/(lỗ) sau khi mua công ty liên doanh, liên kết: > Phần lãi/(lỗ) từ công ty liên doanh, liên kết trong năm","Phần lãi/(lỗ) từ công ty liên doanh, liên kết trong năm",(1.286.264.872),7.407.490.509,1.059.088.695,-,-,(5.197.197),-,7.175.117.135,-1286264872.0,7407490509.0,1059088695.0,,,-5197197.0,,7175117135.0
Số cuối năm,"Phần chia lãi/(lỗ) sau khi mua công ty liên doanh, liên kết: > Số cuối năm",Số cuối năm,(1.094.705.700),44.882.638.777,(4.509.071.504),-,-,(5.197.197),(2.160.000.000),37.113.664.376,-1094705700.0,44882638777.0,-4509071504.0,,,-5197197.0,-2160000000.0,37113664376.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,,,
Số đầu năm,Giá trị còn lại > Số đầu năm,Số đầu năm,278.197.959.172,201.261.548.268,28.209.342.976,50.902.886.097,-,-,-,558.571.736.513,278197959172.0,201261548268.0,28209342976.0,50902886097.0,,,,558571736513.0
Số cuối năm,Giá trị còn lại > Số cuối năm,Số cuối năm,276.911.694.300,208.669.038.777,29.268.431.671,52.402.886.097,370.673.708.408,27.434.802.803,-,965.360.562.056,276911694300.0,208669038777.0,29268431671.0,52402886097.0,370673708408.0,27434802803.0,,965360562056.0
