row_label_raw,row_label_full,Các bên liên quan > Phải trả dài hạn khác (Thuyết minh số 20),Mối quan hệ > Phải trả dài hạn khác (Thuyết minh số 20),Nội dung nghiệp vụ > Phải trả dài hạn khác (Thuyết minh số 20),Số cuối năm > Phải trả dài hạn khác (Thuyết minh số 20),Số đầu năm > Phải trả dài hạn khác (Thuyết minh số 20),numeric__Mối quan hệ > Phải trả dài hạn khác (Thuyết minh số 20),numeric__Nội dung nghiệp vụ > Phải trả dài hạn khác (Thuyết minh số 20),numeric__Số cuối năm > Phải trả dài hạn khác (Thuyết minh số 20),numeric__Số đầu năm > Phải trả dài hạn khác (Thuyết minh số 20)
Công ty Cổ phần Tập đoàn Phú Mỹ,Công ty Cổ phần Tập đoàn Phú Mỹ,Công ty Cổ phần Tập đoàn Phú Mỹ,Cùng thành viên Hội đồngQuản trị,Nhận góp vốn hợp tác đầu tư,1.297.290.000,1.297.290.000,,,1297290000.0,1297290000.0
Công ty Cổ phần In và Văn hóa phẩm,Công ty Cổ phần In và Văn hóa phẩm,Công ty Cổ phần In và Văn hóa phẩm,Công ty liên kết,Phải trả chia sẻ lợi nhuận hợp tác kinh doanh,12.291.523.923,51.723.280.427,,,12291523923.0,51723280427.0
,,,,,13.588.813.923,53.020.570.427,,,13588813923.0,53020570427.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,,,,
