row_label_raw,row_label_full,col_0,Số đầu năm > Giá trị,Số đầu năm > Số có khả năng trả nợ,Số phát sinh trong năm > Tăng,Số phát sinh trong năm > Giảm,Số cuối năm > Giá trị,Số cuối năm > Số có khả năng trả nợ,numeric__Số đầu năm > Giá trị,numeric__Số đầu năm > Số có khả năng trả nợ,numeric__Số phát sinh trong năm > Tăng,numeric__Số phát sinh trong năm > Giảm,numeric__Số cuối năm > Giá trị,numeric__Số cuối năm > Số có khả năng trả nợ
Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,,,,,,
Vay ngân hàng(Thuyết minh số 21.1),Vay ngắn hạn > Vay ngân hàng(Thuyết minh số 21.1),Vay ngân hàng(Thuyết minh số 21.1),820.358.810.709,820.358.810.709,889.584.483.933,(1.053.397.221.681),656.546.072.961,656.546.072.961,820358810709.0,820358810709.0,889584483933.0,-1053397221681.0,656546072961.0,656546072961.0
Vay đổi tượng khác(Thuyết minh số 21.3),Vay ngắn hạn > Vay đổi tượng khác(Thuyết minh số 21.3),Vay đổi tượng khác(Thuyết minh số 21.3),183.500.000.000,183.500.000.000,124.100.000.000,(272.700.000.000),34.900.000.000,34.900.000.000,183500000000.0,183500000000.0,124100000000.0,-272700000000.0,34900000000.0,34900000000.0
Vay ngân hàng dài hạn đến hạn trả(Thuyết minh số 21.2),Vay ngắn hạn > Vay ngân hàng dài hạn đến hạn trả(Thuyết minh số 21.2),Vay ngân hàng dài hạn đến hạn trả(Thuyết minh số 21.2),293.118.350.526,293.118.350.526,295.595.017.817,(207.594.950.001),381.118.418.342,381.118.418.342,293118350526.0,293118350526.0,295595017817.0,-207594950001.0,381118418342.0,381118418342.0
Trải phiếu phát hành dài hạn đến hạn trả(Thuyết minh số 21.4),Vay ngắn hạn > Trải phiếu phát hành dài hạn đến hạn trả(Thuyết minh số 21.4),Trải phiếu phát hành dài hạn đến hạn trả(Thuyết minh số 21.4),398.381.028.463,398.381.028.463,201.309.149.122,(400.000.000.000),199.690.177.585,199.690.177.585,398381028463.0,398381028463.0,201309149122.0,-400000000000.0,199690177585.0,199690177585.0
,,,1.695.358.189.698,1.695.358.189.698,1.510.588.650.872,(1.933.692.171.682),1.272.254.668.888,1.272.254.668.888,1695358189698.0,1695358189698.0,1510588650872.0,-1933692171682.0,1272254668888.0,1272254668888.0
Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,,,,,,
Vay ngân hàng(Thuyết minh số 21.2),Vay dài hạn > Vay ngân hàng(Thuyết minh số 21.2),Vay ngân hàng(Thuyết minh số 21.2),1.868.904.257.972,1.868.904.257.972,116.389.450.476,(693.097.729.878),1.292.195.978.570,1.292.195.978.570,1868904257972.0,1868904257972.0,116389450476.0,-693097729878.0,1292195978570.0,1292195978570.0
Trải phiếu phát hành(Thuyết minh số 21.4),Vay dài hạn > Trải phiếu phát hành(Thuyết minh số 21.4),Trải phiếu phát hành(Thuyết minh số 21.4),697.672.954.299,697.672.954.299,577.472.235.837,(802.733.139.423),472.412.050.713,472.412.050.713,697672954299.0,697672954299.0,577472235837.0,-802733139423.0,472412050713.0,472412050713.0
,,,2.566.577.212.271,2.566.577.212.271,693.861.686.313,(1.495.830.869.301),1.764.608.029.283,1.764.608.029.283,2566577212271.0,2566577212271.0,693861686313.0,-1495830869301.0,1764608029283.0,1764608029283.0
TỔNG CỘNG,Vay dài hạn > TỔNG CỘNG,TỔNG CỘNG,4.261.935.401.969,4.261.935.401.969,2.204.450.337.185,(3.429.523.040.983),3.036.862.698.171,3.036.862.698.171,4261935401969.0,4261935401969.0,2204450337185.0,-3429523040983.0,3036862698171.0,3036862698171.0
