row_label_raw,row_label_full,col_0,Vốn chủ sở hữu thuộc cổ đông công ty mẹ,Vốn chủ sở hữu thuộc cổ đông công ty mẹ_1,Vốn chủ sở hữu thuộc cổ đông công ty mẹ_2,Vốn chủ sở hữu thuộc cổ đông công ty mẹ_3,Lợi nhuận sau thuế chưa phân phối,Lợi ích cổ đông không kiểm soát,Tổng cộng,numeric__Vốn chủ sở hữu thuộc cổ đông công ty mẹ,numeric__Vốn chủ sở hữu thuộc cổ đông công ty mẹ_1,numeric__Vốn chủ sở hữu thuộc cổ đông công ty mẹ_2,numeric__Vốn chủ sở hữu thuộc cổ đông công ty mẹ_3,numeric__Lợi nhuận sau thuế chưa phân phối,numeric__Lợi ích cổ đông không kiểm soát,numeric__Tổng cộng
,,,Vốn cổ phần,Quỹ đầu tư phát triển,Quỹ khác thuộc vốn chủ sở hữu,Lợi nhuận sau thuế chưa phân phối,Lợi nhuận sau thuế chưa phân phối,Lợi ích cổ đông không kiểm soát,Tổng cộng,,,,,,,
Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2019,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2019,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2019,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2019,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2019,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2019,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2019,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2019,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2019,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2019,,,,,,,
Ngày 31 tháng 12 năm 2018,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2019 > Ngày 31 tháng 12 năm 2018,Ngày 31 tháng 12 năm 2018,1.600.000.000.000,15.177.859.740,7.588.929.869,624.167.654.292,210.634.385.388,2.457.568.829.289,,1600000000000.0,15177859740.0,7588929869.0,624167654292.0,210634385388.0,2457568829289.0,
- Lợi nhuận thuần trong năm,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2019 > - Lợi nhuận thuần trong năm,- Lợi nhuận thuần trong năm,-,-,-,506.343.401.394,4.542.001.777,510.885.403.171,,,,,506343401394.0,4542001777.0,510885403171.0,
- Chia cổ tức,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2019 > - Chia cổ tức,- Chia cổ tức,-,-,-,(256.000.000.000),-,(256.000.000.000),,,,,-256000000000.0,,-256000000000.0,
"- Trích quỹ khen thưởng, phúc lợi (i)","Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2019 > - Trích quỹ khen thưởng, phúc lợi (i)","- Trích quỹ khen thưởng, phúc lợi (i)",-,-,-,(23.047.992.170),(33.488.679),(23.081.480.849),,,,,-23047992170.0,-33488679.0,-23081480849.0,
- Tăng khác,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2019 > - Tăng khác,- Tăng khác,-,-,-,-,1.795.079.008,1.795.079.008,,,,,,1795079008.0,1795079008.0,
Ngày 31 tháng 12 năm 2019,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2019 > Ngày 31 tháng 12 năm 2019,Ngày 31 tháng 12 năm 2019,1.600.000.000.000,15.177.859.740,7.588.929.869,851.463.063.516,216.937.977.494,2.691.167.830.619,,1600000000000.0,15177859740.0,7588929869.0,851463063516.0,216937977494.0,2691167830619.0,
Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2020,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2020,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2020,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2020,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2020,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2020,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2020,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2020,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2020,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2020,,,,,,,
Ngày 31 tháng 12 năm 2019,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2020 > Ngày 31 tháng 12 năm 2019,Ngày 31 tháng 12 năm 2019,1.600.000.000.000,15.177.859.740,7.588.929.869,851.463.063.516,216.937.977.494,2.691.167.830.619,,1600000000000.0,15177859740.0,7588929869.0,851463063516.0,216937977494.0,2691167830619.0,
- Lợi nhuận thuần trong năm,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2020 > - Lợi nhuận thuần trong năm,- Lợi nhuận thuần trong năm,-,-,-,300.922.029.670,5.881.752.662,306.803.782.332,,,,,300922029670.0,5881752662.0,306803782332.0,
- Phát hành cổ phiếu trả cổ tức (ii),Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2020 > - Phát hành cổ phiếu trả cổ tức (ii),- Phát hành cổ phiếu trả cổ tức (ii),399.999.000.000,-,-,(399.999.000.000),-,-,,399999000000.0,,,-399999000000.0,,,
"- Trích quỹ khen thưởng, phúc lợi (i)","Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2020 > - Trích quỹ khen thưởng, phúc lợi (i)","- Trích quỹ khen thưởng, phúc lợi (i)",-,-,-,(17.020.000.000),-,(17.020.000.000),,,,,-17020000000.0,,-17020000000.0,
- Giảm do bán công ty con,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2020 > - Giảm do bán công ty con,- Giảm do bán công ty con,-,-,-,-,(2.305.367.885),(2.305.367.885),,,,,,-2305367885.0,-2305367885.0,
- Giảm khác,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2020 > - Giảm khác,- Giảm khác,-,-,-,-,(20.421.769.419),(20.421.769.419),,,,,,-20421769419.0,-20421769419.0,
Ngày 31 tháng 12 năm 2020,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2020 > Ngày 31 tháng 12 năm 2020,Ngày 31 tháng 12 năm 2020,1.999.999.000.000,15.177.859.740,7.588.929.869,735.366.093.186,200.092.592.852,2.958.224.475.647,,1999999000000.0,15177859740.0,7588929869.0,735366093186.0,200092592852.0,2958224475647.0,
