row_label_raw,row_label_full,col_0,Số cuối năm > Giá trị,Số cuối năm > Dự phòng,Đơn vị tính: VND > Số đầu năm > Giá trị,Đơn vị tính: VND > Số đầu năm > Dự phòng,numeric__Số cuối năm > Giá trị,numeric__Số cuối năm > Dự phòng,numeric__Đơn vị tính: VND > Số đầu năm > Giá trị,numeric__Đơn vị tính: VND > Số đầu năm > Dự phòng
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,,,
Tạm ứng để phục vụ phát triển các dự án,Ngắn hạn > Tạm ứng để phục vụ phát triển các dự án,Tạm ứng để phục vụ phát triển các dự án,320.903.080.267,-,344.061.343.557,(45.194.600.000),320903080267.0,,344061343557.0,-45194600000.0
Tiền lãi cho vay dự thu,Ngắn hạn > Tiền lãi cho vay dự thu,Tiền lãi cho vay dự thu,105.902.256.287,-,47.784.966.334,-,105902256287.0,,47784966334.0,
Khoản tạm ứng cá nhân để mua cổ phần,Ngắn hạn > Khoản tạm ứng cá nhân để mua cổ phần,Khoản tạm ứng cá nhân để mua cổ phần,50.000.000.000,-,50.000.000.000,-,50000000000.0,,50000000000.0,
Tạm ứng cho nhân viên khác,Ngắn hạn > Tạm ứng cho nhân viên khác,Tạm ứng cho nhân viên khác,49.526.614.188,-,43.523.673.006,-,49526614188.0,,43523673006.0,
Đặt cọc thực hiện hợp đồng (i),Ngắn hạn > Đặt cọc thực hiện hợp đồng (i),Đặt cọc thực hiện hợp đồng (i),232.000.000.000,-,-,-,232000000000.0,,,
Khoản ứng vốn cho Công ty Cổ phần Sông Đà Nha Trang,Ngắn hạn > Khoản ứng vốn cho Công ty Cổ phần Sông Đà Nha Trang,Khoản ứng vốn cho Công ty Cổ phần Sông Đà Nha Trang,-,-,20.000.000.000,-,,,20000000000.0,
"Ký quỹ, ký cược ngắn hạn","Ngắn hạn > Ký quỹ, ký cược ngắn hạn","Ký quỹ, ký cược ngắn hạn",275.955.420,-,269.100.000,-,275955420.0,,269100000.0,
Phải thu khác,Ngắn hạn > Phải thu khác,Phải thu khác,13.354.626.997,-,16.769.234.046,-,13354626997.0,,16769234046.0,
TỔNG CỘNG,Ngắn hạn > TỔNG CỘNG,TỔNG CỘNG,771.962.533.159,-,522.408.316.943,(45.194.600.000),771962533159.0,,522408316943.0,-45194600000.0
Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,,,,
Ứng vốn bồi thường và giải phóng mặt bằng (ii),Dài hạn > Ứng vốn bồi thường và giải phóng mặt bằng (ii),Ứng vốn bồi thường và giải phóng mặt bằng (ii),1.195.595.518.593,-,1.078.465.670.287,-,1195595518593.0,,1078465670287.0,
Đặt cọc hợp tác đầu tư (iii),Dài hạn > Đặt cọc hợp tác đầu tư (iii),Đặt cọc hợp tác đầu tư (iii),460.000.000.000,-,32.000.000.000,-,460000000000.0,,32000000000.0,
"Ký quỹ, ký cược dài hạn (iv)","Dài hạn > Ký quỹ, ký cược dài hạn (iv)","Ký quỹ, ký cược dài hạn (iv)",45.029.591.900,-,10.509.398.900,-,45029591900.0,,10509398900.0,
Phải thu dài hạn khác,Dài hạn > Phải thu dài hạn khác,Phải thu dài hạn khác,7.943.164.988,-,12.696.719.663,-,7943164988.0,,12696719663.0,
TỔNG CỘNG,Dài hạn > TỔNG CỘNG,TỔNG CỘNG,1.708.568.275.481,-,1.133.671.788.850,-,1708568275481.0,,1133671788850.0,
