row_label_raw,row_label_full,Các bên liên quan > Phải thu ngắn hạn của khách hàng (Thuyết minh số 7.1),Mối quan hệ > Phải thu ngắn hạn của khách hàng (Thuyết minh số 7.1),Nội dung nghiệp vụ > Phải thu ngắn hạn của khách hàng (Thuyết minh số 7.1),Số cuối năm > Phải thu ngắn hạn của khách hàng (Thuyết minh số 7.1),Số đầu năm > Phải thu ngắn hạn của khách hàng (Thuyết minh số 7.1),numeric__Mối quan hệ > Phải thu ngắn hạn của khách hàng (Thuyết minh số 7.1),numeric__Nội dung nghiệp vụ > Phải thu ngắn hạn của khách hàng (Thuyết minh số 7.1),numeric__Số cuối năm > Phải thu ngắn hạn của khách hàng (Thuyết minh số 7.1),numeric__Số đầu năm > Phải thu ngắn hạn của khách hàng (Thuyết minh số 7.1)
Công ty Cổ phần Kinh doanh Địa ốc Văn Phú,Công ty Cổ phần Kinh doanh Địa ốc Văn Phú,Công ty Cổ phần Kinh doanh Địa ốc Văn Phú,Công ty liên kết,Phải thu cung cấp dịch vụ,131.424.000,-,,,131424000.0,
Công ty TNHH Nông dược Trường Minh,Công ty TNHH Nông dược Trường Minh,Công ty TNHH Nông dược Trường Minh,Công ty có cùng thành viên quản lý chủ chốt từ ngày 29 tháng,Phải thu cung cấp dịch vụ,882.153.742,-,,,882153742.0,
Công ty Cổ phần Đầu tư Văn Phú – Land,Công ty Cổ phần Đầu tư Văn Phú – Land,Công ty Cổ phần Đầu tư Văn Phú – Land,Cùng thành viên ban Tổng Giám đốc,Phải thu cung cấp dịch vụ,-,2.236.892.000,,,,2236892000.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,,,1.013.577.742,2.236.892.000,,,1013577742.0,2236892000.0
