row_label_raw,row_label_full,Bên tư vấn phát hành > Công ty TNHH Chứng khoán Ngân hàng TMCP Ngoại thương Việt Nam > Công ty Cổ phần Chứng khoán Bảo Việt > Công ty TNHH Chứng khoán Ngân hàng TMCP Ngoại thương Việt Nam,Số cuối năm (VND) > 199.690.177.585 > 177.006.849.315 > 99.828.050.713 > 195.577.150.685,Ngày đáo hạn > Gốc trái phiếu đáo hạn tháng 3 năm 2021. Lãi được thanh toán 6 tháng một lần kể từ ngày phát hành. > Gốc trái phiếu đáo hạn tháng 7 năm 2022. Lãi được thanh toán 6 tháng một lần kể từ ngày phát hành. > Gốc trái phiếu đáo hạn tháng 3 năm 2022. Lãi được thanh toán 6 tháng một lần kể từ ngày phát hành. > Gốc trái phiếu đáo hạn tháng 12 năm 2022. Lãi được thanh toán 6 tháng một lần kể từ ngày phát hành.,"Lãi suất áp dụng năm nay > 9,5%/năm – 9,7%/năm > 10.5%/năm > 9%/năm > 10,3%/năm",Tài sản đảm bảo > 10.000.000 cổ phiếu phổ thông của Công ty. > (vii) > 13.500.000 cổ phiếu phổ thông của Công ty.,numeric__Số cuối năm (VND) > 199.690.177.585 > 177.006.849.315 > 99.828.050.713 > 195.577.150.685,numeric__Ngày đáo hạn > Gốc trái phiếu đáo hạn tháng 3 năm 2021. Lãi được thanh toán 6 tháng một lần kể từ ngày phát hành. > Gốc trái phiếu đáo hạn tháng 7 năm 2022. Lãi được thanh toán 6 tháng một lần kể từ ngày phát hành. > Gốc trái phiếu đáo hạn tháng 3 năm 2022. Lãi được thanh toán 6 tháng một lần kể từ ngày phát hành. > Gốc trái phiếu đáo hạn tháng 12 năm 2022. Lãi được thanh toán 6 tháng một lần kể từ ngày phát hành.,"numeric__Lãi suất áp dụng năm nay > 9,5%/năm – 9,7%/năm > 10.5%/năm > 9%/năm > 10,3%/năm",numeric__Tài sản đảm bảo > 10.000.000 cổ phiếu phổ thông của Công ty. > (vii) > 13.500.000 cổ phiếu phổ thông của Công ty.
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,672.102.228.298,,,,672102228298.0,,,
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,,,
- Trái phiếu dài hạn đến hạn trả,Trong đó: > - Trái phiếu dài hạn đến hạn trả,- Trái phiếu dài hạn đến hạn trả,199.690.177.585,,,,199690177585.0,,,
- Trái phiếu dài hạn,Trong đó: > - Trái phiếu dài hạn,- Trái phiếu dài hạn,472.412.050.713,,,,472412050713.0,,,
