row_label_raw,row_label_full,STT,Tên Công ty,Tỷ lệ lợi ích (%),Tỷ lệ biểu quyết (%),Trụ sở chính,Hoạt động chính,numeric__Tên Công ty,numeric__Tỷ lệ lợi ích (%),numeric__Tỷ lệ biểu quyết (%),numeric__Trụ sở chính,numeric__Hoạt động chính
1,1,1,Công ty TNHH MTV Đầu tư Văn Phú - Giảng Võ,100%,100%,"Số 104 Thái Thịnh, Phường Trung Liệt, Quận Đồng Đa, Thành phố Hà Nội",Kinh doanh bất động sản,,1.0,1.0,,
2,2,2,Công ty Cổ phần Đầu tư Văn Phú số 1,67%,67%,"Số 104 Thái Thịnh, Phường Trung Liệt, Quận Đồng Đa, Thành phố Hà Nội","Kinh doanh bất động sản, xây lắp",,0.67,0.67,,
3,3,3,Công ty Cổ phần Đầu tư Văn Phú số 2,"78,50%","78,50%","Số 104 Thái Thịnh, Phường Trung Liệt, Quận Đồng Đa, Thành phố Hà Nội",Kinh doanh bất động sản,,0.785,0.785,,
4,4,4,Công ty TNHH Văn Phú - CGM,100%,100%,"Số 104 Thái Thịnh, Phường Trung Liệt, Quận Đồng Đa, Thành phố Hà Nội","Thi công xây lắp, kinh doanh bất động sản",,1.0,1.0,,
5,5,5,Công ty Cổ phần Văn Phú Bắc Ái,60%,60%,"Số 129 Đình Tiên Hoàng, Phường 3, Quận Bình Thạnh, Thành phố Hồ Chí Minh",Kinh doanh bất động sản,,0.6,0.6,,
6,6,6,Công ty Cổ phần Văn Phú Homes,"62,64% (**)",70%,"Số 104 Thái Thịnh, Phường Trung Liệt, Quận Đồng Đa, Thành phố Hà Nội","Tư vấn, môi giới, đấu giá bất động sản",,,0.7,,
7,7,7,Công ty TNHH Văn Phú Resort – Lộc Bình,100%,100%,"Đường số 7, Khu đồ thị mới An Cựu, Phường An Đồng, Thành phố Huế, Tỉnh Thừa Thiên Huế",Kinh doanh bất động sản,,1.0,1.0,,
8,8,8,Công ty TNHH Dịch vụ Du lịch Lâm Viên,100%,100%,"Lô 7 Khu đô thị An Cựu City, Phường An Đồng, Thành phố Huế, Tỉnh Thừa Thiên Huế",Dịch vụ lưu trú ngắn ngày,,1.0,1.0,,
9,9,9,Công ty Cổ phần Union Success Việt Nam (*),"54,95%",70%,"Số 119 Phố Mới, xã Tân Dương, Huyện Thủy Nguyên, Thành phố Hải Phòng",Kinh doanh bất động sản,,0.5495,0.7,,
10,10,10,Công ty TNHH Đầu tư Văn Phú – Phạm Hùng,(**),65%,"Số 104 Thái Thịnh, Phường Trung Liệt, Quận Đồng Đa, Thành phố Hà Nội",Kinh doanh bất động sản,,,0.65,,
11,11,11,Công ty Cổ phần Kinh doanh và quản lý khách sạn Lilas,(**),60%,"Số 177 Trung Kính, Phường Yên Hòa, Quận Cầu Giấy, Thành phố Hà Nội",Dịch vụ lưu trú ngắn ngày,,,0.6,,
