row_label_raw,row_label_full,col_0,Số cuối năm > Giá gốc,Số cuối năm > Giá trị có thể thu hồi,Đơn vị tính: VND Số đầu năm > Giá gốc,Đơn vị tính: VND Số đầu năm > Giá trị có thể thu hồi,numeric__Số cuối năm > Giá gốc,numeric__Số cuối năm > Giá trị có thể thu hồi,numeric__Đơn vị tính: VND Số đầu năm > Giá gốc,numeric__Đơn vị tính: VND Số đầu năm > Giá trị có thể thu hồi
Một đối tác cá nhân (*),Một đối tác cá nhân (*),Một đối tác cá nhân (*),-,-,90.389.200.000,45.194.600.000,,,90389200000.0,45194600000.0
Công ty Cổ phần Kinh doanh Dịch vụ cao cấp Dầu khí Việt Nam (PVR),Công ty Cổ phần Kinh doanh Dịch vụ cao cấp Dầu khí Việt Nam (PVR),Công ty Cổ phần Kinh doanh Dịch vụ cao cấp Dầu khí Việt Nam (PVR),10.000.000.000,-,10.000.000.000,-,10000000000.0,,10000000000.0,
Khách hàng cá nhân số 1,Khách hàng cá nhân số 1,Khách hàng cá nhân số 1,21.500.000.000,17.337.500.000,-,-,21500000000.0,17337500000.0,,
Các đối tượng khác,Các đối tượng khác,Các đối tượng khác,80.976.604.257,76.886.578.368,607.504.257,-,80976604257.0,76886578368.0,607504257.0,
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,112.476.604.257,94.224.078.368,100.996.704.257,45.194.600.000,112476604257.0,94224078368.0,100996704257.0,45194600000.0
