row_label_raw,row_label_full,Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTC ngày 22 tháng 12 năm 2014 của Bộ Tài chính),Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTC ngày 22 tháng 12 năm 2014 của Bộ Tài chính)_1,Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTC ngày 22 tháng 12 năm 2014 của Bộ Tài chính)_2,Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTC ngày 22 tháng 12 năm 2014 của Bộ Tài chính)_3,Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTC ngày 22 tháng 12 năm 2014 của Bộ Tài chính)_4,numeric__Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTC ngày 22 tháng 12 năm 2014 của Bộ Tài chính)_1,numeric__Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTC ngày 22 tháng 12 năm 2014 của Bộ Tài chính)_2,numeric__Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTC ngày 22 tháng 12 năm 2014 của Bộ Tài chính)_3,numeric__Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTC ngày 22 tháng 12 năm 2014 của Bộ Tài chính)_4
Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,,,,
STT,STT,STT,Tên công ty,Hoạt động chính,Tỷ lệ lợi ích tại31/12/2019,1/1/2019,,,,
Công ty liên kết sở hữu trực tiếp,Công ty liên kết sở hữu trực tiếp,Công ty liên kết sở hữu trực tiếp,Công ty liên kết sở hữu trực tiếp,Công ty liên kết sở hữu trực tiếp,Công ty liên kết sở hữu trực tiếp,Công ty liên kết sở hữu trực tiếp,,,,
1,1,1,Ngân hàng Thương mại Cổ phần Kỹ thương Việt Nam (“Techcombank”),Ngân hàng,(f),(f),,,,
Công ty liên kết sở hữu gián tiếp,Công ty liên kết sở hữu gián tiếp,Công ty liên kết sở hữu gián tiếp,Công ty liên kết sở hữu gián tiếp,Công ty liên kết sở hữu gián tiếp,Công ty liên kết sở hữu gián tiếp,Công ty liên kết sở hữu gián tiếp,,,,
1,Công ty liên kết sở hữu gián tiếp > 1,1,Công ty Cổ phần Thực phẩm Cholimex (“Cholimex”),(v),Sản xuất và kinh doanh gia vị,"32,8%",,,,0.32799999999999996
2,Công ty liên kết sở hữu gián tiếp > 2,2,Công ty Cổ phần Bao bì Thuận Phát (“Thuận Phát”),(vi),Sản xuất bao bì,"25,0%",,,,0.25
3,Công ty liên kết sở hữu gián tiếp > 3,3,Công ty Cổ phần Chế biến Súc sản Long Bình (“Abattoir”),(vi),Đạm động vật,"25,0%",,,,0.25
4,Công ty liên kết sở hữu gián tiếp > 4,4,Công ty Cổ phần Sản xuất Thương mại Dịch vụ Đồng Nai (“Donatraco”),(vi),Đạm động vật,"21,3%",,,,0.213
5,Công ty liên kết sở hữu gián tiếp > 5,5,Công ty Cổ phần Việt Nam Kỹ nghệ Súc sản (“Vissan”),(vi),Sản xuất thực phẩm và bán lẻ,"24,9%",,,,0.249
