row_label_raw,row_label_full,col_0,Tài sản khai khoáng Triệu VND,Nhà cửa và vật kiến trúc Triệu VND,Nâng cấp tài sản thuê Triệu VND,Thiết bị văn phòng Triệu VND,Máy móc và thiết bị Triệu VND,Phương tiện vận chuyển Triệu VND,Tổng Triệu VND,numeric__Tài sản khai khoáng Triệu VND,numeric__Nhà cửa và vật kiến trúc Triệu VND,numeric__Nâng cấp tài sản thuê Triệu VND,numeric__Thiết bị văn phòng Triệu VND,numeric__Máy móc và thiết bị Triệu VND,numeric__Phương tiện vận chuyển Triệu VND,numeric__Tổng Triệu VND
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,921.462,1.525.182,58.972,93.517,5.461.186,48.130,8.108.449,921462.0,1525182.0,58972.0,93517.0,5461186.0,48130.0,8108449.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,205.869,506.778,12.967,18.276,1.326.863,17.806,2.088.559,205869.0,506778.0,12967.0,18276.0,1326863.0,17806.0,2088559.0
Chuyển sang chi phí trả trước dài hạn,Giá trị hao mòn lũy kế > Chuyển sang chi phí trả trước dài hạn,Chuyển sang chi phí trả trước dài hạn,-,(88),-,(63),(196),(1),(348),,-88.0,,-63.0,-196.0,-1.0,-348.0
Thanh lý,Giá trị hao mòn lũy kế > Thanh lý,Thanh lý,-,(22.748),-,(754),(67.396),(13.674),(104.572),,-22748.0,,-754.0,-67396.0,-13674.0,-104572.0
Xóa số,Giá trị hao mòn lũy kế > Xóa số,Xóa số,-,(1.373),(3.181),(2.466),(7.921),-,(14.941),,-1373.0,-3181.0,-2466.0,-7921.0,,-14941.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,1.127.331,2.007.751,68.758,108.510,6.712.536,52.261,10.077.147,1127331.0,2007751.0,68758.0,108510.0,6712536.0,52261.0,10077147.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,4.104.830,6.877.536,31.521,54.816,12.678.926,50.578,23.798.207,4104830.0,6877536.0,31521.0,54816.0,12678926.0,50578.0,23798207.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,3.968.596,11.298.876,18.732,155.368,13.624.925,104.384,29.170.881,3968596.0,11298876.0,18732.0,155368.0,13624925.0,104384.0,29170881.0
