row_label_raw,row_label_full,col_0,Mã số,Thuyết minh,31/12/2019 Triệu VND,1/1/2019 Triệu VND,numeric__Mã số,numeric__Thuyết minh,numeric__31/12/2019 Triệu VND,numeric__1/1/2019 Triệu VND
VỐN CHỦ SỞ HỮU (400 = 410),VỐN CHỦ SỞ HỮU (400 = 410),VỐN CHỦ SỞ HỮU (400 = 410),400,,51.888.407,34.079.678,400.0,,51888407.0,34079678.0
Vốn chủ sở hữu,Vốn chủ sở hữu,Vốn chủ sở hữu,410,21,51.888.407,34.079.678,410.0,21.0,51888407.0,34079678.0
Vốn cổ phần,Vốn cổ phần,Vốn cổ phần,411,22,11.689.464,11.631.495,411.0,22.0,11689464.0,11631495.0
Thặng dư vốn cổ phần,Thặng dư vốn cổ phần,Thặng dư vốn cổ phần,412,22,11.084.357,11.084.417,412.0,22.0,11084357.0,11084417.0
Vốn khác của chủ sở hữu,Vốn khác của chủ sở hữu,Vốn khác của chủ sở hữu,414,,(8.563.690),(9.426.958),414.0,,-8563690.0,-9426958.0
Chênh lệch tỷ giá hối đoái,Chênh lệch tỷ giá hối đoái,Chênh lệch tỷ giá hối đoái,417,,11.033,4.402,417.0,,11033.0,4402.0
Lợi nhuận sau thuế chưa phân phối,Lợi nhuận sau thuế chưa phân phối,Lợi nhuận sau thuế chưa phân phối,421,,28.558.952,16.193.388,421.0,,28558952.0,16193388.0
- Lợi nhuận sau thuế chưa phân phối lũy kế đến cuối năm trước,- Lợi nhuận sau thuế chưa phân phối lũy kế đến cuối năm trước,- Lợi nhuận sau thuế chưa phân phối lũy kế đến cuối năm trước,421a,,15.330.120,12.350.048,,,15330120.0,12350048.0
- Lợi nhuận sau thuế năm nay,- Lợi nhuận sau thuế năm nay,- Lợi nhuận sau thuế năm nay,421b,,13.228.832,3.843.340,,,13228832.0,3843340.0
Lợi ích cổ đông không kiểm soát,Lợi ích cổ đông không kiểm soát,Lợi ích cổ đông không kiểm soát,429,,9.108.291,4.592.934,429.0,,9108291.0,4592934.0
TỔNG NGUỒN VỐN (440 = 300 + 400),TỔNG NGUỒN VỐN (440 = 300 + 400),TỔNG NGUỒN VỐN (440 = 300 + 400),440,,97.297.251,64.578.613,440.0,,97297251.0,64578613.0
