row_label_raw,row_label_full,col_0,Quyền sử dụng đất Triệu VND,Phần mềm vi tính Triệu VND,Thương hiệu Triệu VND,Quan hệ khách hàng Triệu VND,Tài nguyên nước khoáng Triệu VND,Quyền khai thác mỏ Triệu VND,Công nghệ Triệu VND,Quyền khai thác nguồn nước khoáng Triệu VND,Tổng Triệu VND,numeric__Quyền sử dụng đất Triệu VND,numeric__Phần mềm vi tính Triệu VND,numeric__Thương hiệu Triệu VND,numeric__Quan hệ khách hàng Triệu VND,numeric__Tài nguyên nước khoáng Triệu VND,numeric__Quyền khai thác mỏ Triệu VND,numeric__Công nghệ Triệu VND,numeric__Quyền khai thác nguồn nước khoáng Triệu VND,numeric__Tổng Triệu VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,332.769,450.578,2.413.459,3.074.214,412.698,588.373,669.433,74.274,8.015.798,332769.0,450578.0,2413459.0,3074214.0,412698.0,588373.0,669433.0,74274.0,8015798.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,-,1.878,1.439,-,-,-,-,614,3.931,,1878.0,1439.0,,,,,614.0,3931.0
Tăng từ hợp nhất kinh doanh (Thuyết minh 5),Nguyên giá > Tăng từ hợp nhất kinh doanh (Thuyết minh 5),Tăng từ hợp nhất kinh doanh (Thuyết minh 5),3.613.370,169.290,-,2.966.000,-,-,-,-,6.748.660,3613370.0,169290.0,,2966000.0,,,,,6748660.0
Chuyển từ chi phí xây dựng cơ bản,Chuyển từ chi phí xây dựng cơ bản,Chuyển từ chi phí xây dựng cơ bản,Chuyển từ chi phí xây dựng cơ bản,Chuyển từ chi phí xây dựng cơ bản,Chuyển từ chi phí xây dựng cơ bản,Chuyển từ chi phí xây dựng cơ bản,Chuyển từ chi phí xây dựng cơ bản,Chuyển từ chi phí xây dựng cơ bản,Chuyển từ chi phí xây dựng cơ bản,Chuyển từ chi phí xây dựng cơ bản,Chuyển từ chi phí xây dựng cơ bản,,,,,,,,,
đở dang,Chuyển từ chi phí xây dựng cơ bản > đở dang,đở dang,-,12.406,-,-,-,-,-,-,12.406,,12406.0,,,,,,,12406.0
Xóa số,Chuyển từ chi phí xây dựng cơ bản > Xóa số,Xóa số,-,(186),-,-,-,-,-,-,(186),,-186.0,,,,,,,-186.0
Khác,Chuyển từ chi phí xây dựng cơ bản > Khác,Khác,-,-,-,-,-,-,-,(2.766),(2.766),,,,,,,,-2766.0,-2766.0
Số dư cuối năm,Chuyển từ chi phí xây dựng cơ bản > Số dư cuối năm,Số dư cuối năm,3.946.139,633.966,2.414.898,6.040.214,412.698,588.373,669.433,72.122,14.777.843,3946139.0,633966.0,2414898.0,6040214.0,412698.0,588373.0,669433.0,72122.0,14777843.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,56.074,207.542,762.690,858.626,73.398,127.569,506.526,17.816,2.610.241,56074.0,207542.0,762690.0,858626.0,73398.0,127569.0,506526.0,17816.0,2610241.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,10.054,56.061,151.417,143.838,21.935,30.550,130.243,3.444,547.542,10054.0,56061.0,151417.0,143838.0,21935.0,30550.0,130243.0,3444.0,547542.0
Xóa số,Giá trị hao mòn lũy kế > Xóa số,Xóa số,-,(183),-,-,-,-,-,-,(183),,-183.0,,,,,,,-183.0
Khác,Giá trị hao mòn lũy kế > Khác,Khác,-,-,-,-,-,-,-,(575),(575),,,,,,,,-575.0,-575.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,66.128,263.420,914.107,1.002.464,95.333,158.119,636.769,20.685,3.157.025,66128.0,263420.0,914107.0,1002464.0,95333.0,158119.0,636769.0,20685.0,3157025.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,276.695,243.036,1.650.769,2.215.588,339.300,460.804,162.907,56.458,5.405.557,276695.0,243036.0,1650769.0,2215588.0,339300.0,460804.0,162907.0,56458.0,5405557.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,3.880.011,370.546,1.500.791,5.037.750,317.365,430.254,32.664,51.437,11.620.818,3880011.0,370546.0,1500791.0,5037750.0,317365.0,430254.0,32664.0,51437.0,11620818.0
