row_label_raw,row_label_full,col_0,Giá trị ghi số trước thời điểm hợp nhất kinh doanhTriệu VND,Các điều chỉnh giá trị hợp lýTriệu VND,Giá trị ghi nhận tại thời điểm hợp nhất kinh doanhTriệu VND,numeric__Giá trị ghi số trước thời điểm hợp nhất kinh doanhTriệu VND,numeric__Các điều chỉnh giá trị hợp lýTriệu VND,numeric__Giá trị ghi nhận tại thời điểm hợp nhất kinh doanhTriệu VND
Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,644.123,-,644.123,644123.0,,644123.0
Các khoản phải thu ngắn hạn,Các khoản phải thu ngắn hạn,Các khoản phải thu ngắn hạn,891.761,-,891.761,891761.0,,891761.0
Hàng tồn kho,Hàng tồn kho,Hàng tồn kho,3.721.679,-,3.721.679,3721679.0,,3721679.0
Tài sản ngắn hạn khác,Tài sản ngắn hạn khác,Tài sản ngắn hạn khác,451.590,-,451.590,451590.0,,451590.0
Phải thu dài hạn khác,Phải thu dài hạn khác,Phải thu dài hạn khác,254.737,-,254.737,254737.0,,254737.0
Tài sản cố định hữu hình – thuần,Tài sản cố định hữu hình – thuần,Tài sản cố định hữu hình – thuần,4.879.835,447.618,5.327.453,4879835.0,447618.0,5327453.0
Tài sản cố định vô hình – thuần,Tài sản cố định vô hình – thuần,Tài sản cố định vô hình – thuần,190.742,6.557.918,6.748.660,190742.0,6557918.0,6748660.0
Chi phí xây dựng cơ bản dở dang,Chi phí xây dựng cơ bản dở dang,Chi phí xây dựng cơ bản dở dang,624.069,-,624.069,624069.0,,624069.0
Chi phí trả trước dài hạn,Chi phí trả trước dài hạn,Chi phí trả trước dài hạn,2.410.417,-,2.410.417,2410417.0,,2410417.0
Lợi thế thương mại,Lợi thế thương mại,Lợi thế thương mại,1.476.708,(1.476.708),-,1476708.0,-1476708.0,
Phải trả người bán,Phải trả người bán,Phải trả người bán,(3.355.584),-,(3.355.584),-3355584.0,,-3355584.0
Chi phí phải trả,Chi phí phải trả,Chi phí phải trả,(1.479.933),-,(1.479.933),-1479933.0,,-1479933.0
Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,(3.608.763),-,(3.608.763),-3608763.0,,-3608763.0
Nợ ngắn hạn khác,Nợ ngắn hạn khác,Nợ ngắn hạn khác,(418.496),-,(418.496),-418496.0,,-418496.0
Vay dài hạn,Vay dài hạn,Vay dài hạn,(1.106.416),-,(1.106.416),-1106416.0,,-1106416.0
Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,-,(1.208.695),(1.208.695),,-1208695.0,-1208695.0
Lợi ích cố đông không kiểm soát,Lợi ích cố đông không kiểm soát,Lợi ích cố đông không kiểm soát,(103.192),(530.913),(634.105),-103192.0,-530913.0,-634105.0
Tài sản thuần có thể xác định được,Tài sản thuần có thể xác định được,Tài sản thuần có thể xác định được,5.473.277,3.789.220,9.262.497,5473277.0,3789220.0,9262497.0
Tài sản thuần được hợp nhất,Tài sản thuần được hợp nhất,Tài sản thuần được hợp nhất,,,5.428.705,,,5428705.0
Lợi thế thương mại phát sinh từ hợp nhất kinh doanh (Thuyết minh 15),Lợi thế thương mại phát sinh từ hợp nhất kinh doanh (Thuyết minh 15),Lợi thế thương mại phát sinh từ hợp nhất kinh doanh (Thuyết minh 15),,,3.578.372,,,3578372.0
Giá phí hợp nhất kinh doanh,Giá phí hợp nhất kinh doanh,Giá phí hợp nhất kinh doanh,,,9.007.077,,,9007077.0
Giá trị hợp lý của quyền chọn,Giá trị hợp lý của quyền chọn,Giá trị hợp lý của quyền chọn,,,(8.987.556),,,-8987556.0
Chi phí giao dịch,Chi phí giao dịch,Chi phí giao dịch,,,(19.521),,,-19521.0
Khoản tiền thu được từ hợp nhất kinh doanh,Khoản tiền thu được từ hợp nhất kinh doanh,Khoản tiền thu được từ hợp nhất kinh doanh,,,644.123,,,644123.0
